cell_id,lat,lon,land_use_hint,max_utci_c,mean_utci_c,max_wbgt_proxy_c,moderate_wbgt_hours,high_wbgt_hours,strong_utci_hours,gvi_percent,svf,shade_fraction,building_density,road_fraction,elderly_proxy,outdoor_exposure_proxy,hazard_score,vulnerability_score,exposure_score,risk_priority_score,rank
TP_015,1.3324,103.8537,HDB/residential,39.239315368419796,32.580246399707015,31.0162930132749,1,0,41,9.92,0.565,0.378,0.512,0.467,0.237,0.72,0.39002740843787076,0.9111111111111111,0.9333333333333333,0.5913725487870354,1
TP_041,1.3412,103.8511,mixed,40.2144802000822,32.700921508736364,31.033227927420974,1,0,42,11.95,0.772,0.335,0.496,0.348,0.238,0.625,0.39193258627930405,0.9333333333333333,0.7333333333333333,0.5676648701598351,2
TP_009,1.3302,103.8563,HDB/residential,39.23472352090185,32.54671887489527,31.006177475760325,1,0,41,10.19,0.635,0.408,0.545,0.348,0.198,0.815,0.38888941046748093,0.7,1.0,0.5521114344898382,3
TP_035,1.339,103.8511,HDB/residential,39.46900663032519,32.741992285520496,31.090952712895778,1,0,43,5.54,0.559,0.362,0.556,0.301,0.263,0.484,0.39842662464521944,1.0,0.4444444444444444,0.5436911739467027,4
TP_021,1.3346,103.8511,mixed,37.720509718126976,31.86368855570353,30.593188778038147,0,0,39,17.24,0.478,0.491,0.455,0.363,0.221,0.758,0.3229837375292916,0.8222222222222222,0.9777777777777777,0.5360276950459386,5
TP_042,1.3412,103.8537,HDB/residential,38.19623718338006,32.1334097063447,30.748296405101343,0,0,40,15.68,0.447,0.433,0.526,0.32,0.229,0.612,0.34043334557390104,0.8666666666666667,0.6888888888888889,0.5137353409224854,6
TP_001,1.328,103.8511,HDB/residential,38.86146002519765,32.122480224232824,30.738325058147062,0,0,40,19.08,0.726,0.44,0.516,0.289,0.259,0.442,0.33931156904154447,0.9777777777777777,0.37777777777777777,0.4919287283613131,7
TP_011,1.3302,103.8615,mixed,38.453922814053186,32.05998322229925,30.66417289920474,0,0,39,18.53,0.507,0.398,0.486,0.329,0.226,0.569,0.3309694511605332,0.8444444444444444,0.6,0.4894232819417528,8
TP_026,1.3346,103.8641,HDB/residential,39.48668980635501,32.374493365503646,30.82330546968119,0,0,41,16.28,0.666,0.349,0.514,0.375,0.206,0.592,0.34887186533913406,0.7333333333333333,0.6444444444444445,0.48163388984359645,9
TP_044,1.3412,103.8589,mixed,38.834736320202175,32.45066094130605,30.870758117821886,0,0,41,9.05,0.385,0.326,0.471,0.289,0.196,0.627,0.35421028825496215,0.6444444444444445,0.7555555555555555,0.48116593427363213,10
TP_038,1.339,103.8589,HDB/residential,39.20841425951808,32.400219224124776,30.871558825412095,0,0,41,14.59,0.606,0.372,0.547,0.295,0.217,0.523,0.35430036785886065,0.8,0.4888888888888889,0.476999561405827,11
TP_007,1.3302,103.8511,HDB/residential,38.84484314301222,32.29570408592644,30.768615949801603,0,0,40,12.47,0.496,0.361,0.515,0.159,0.232,0.462,0.34271929435268034,0.8888888888888888,0.4,0.47693040694310623,12
TP_019,1.3324,103.8641,HDB/residential,38.78338144024451,32.63414248544797,31.042727451832075,1,0,43,4.74,0.372,0.37,0.508,0.393,0.193,0.572,0.3930012827755529,0.5777777777777777,0.6222222222222222,0.469883017543065,13
TP_010,1.3302,103.8589,HDB/residential,40.062030756103205,32.98877147653001,31.228693245570053,3,0,43,2.0,0.601,0.321,0.5,0.395,0.185,0.391,0.45281132345996433,0.5333333333333333,0.3333333333333333,0.45340968721184455,14
TP_027,1.3368,103.8485,HDB/residential,38.87065111950388,32.446143243721096,31.037009920276493,1,0,41,13.65,0.666,0.468,0.52,0.55,0.164,0.621,0.3923580604755499,0.4,0.7111111111111111,0.4419286641615076,15
TP_022,1.3346,103.8537,mixed,38.928985194093485,32.49559110174492,30.893680284925253,0,0,41,6.56,0.435,0.348,0.5,0.21,0.194,0.549,0.35678903205409096,0.6,0.5333333333333333,0.4392091998735364,16
TP_006,1.3302,103.8485,HDB/residential,39.556068216710884,32.67985273503648,31.01956021705758,1,0,43,10.14,0.495,0.295,0.528,0.344,0.157,0.657,0.3903949688634223,0.3111111111111111,0.8222222222222222,0.4369337695842107,17
TP_024,1.3346,103.8589,HDB/residential,38.98374874335174,32.28969145106842,30.758969007553013,0,0,40,13.36,0.537,0.356,0.501,0.327,0.158,0.733,0.341634013349714,0.3333333333333333,0.9555555555555556,0.43181308827682263,18
TP_040,1.339,103.8641,HDB/residential,38.14962749969119,32.07645297296694,30.75936714854627,0,0,39,17.2,0.551,0.482,0.532,0.395,0.196,0.514,0.3416788042114556,0.6444444444444445,0.4666666666666667,0.43006308083332473,19
