run_id,cell_id,scenario,hour_sgt,forcing_label,target_version,reference_domain_version_future,selection_status,raw_output_root_expected,output_dir_expected,tmrt_output_expected,do_not_commit_raw_output,reuse_existing_n24_label,b5_primary_target,b5_primary_modifier_delta,b5_normalized_modifier,execution_status_hint,source_existing_summary,notes
v12_n150_base_TP_0037_h10,TP_0037,base,10,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0037/solweig_base/solweig_outputs_h10,data/solweig/v12_n150_tiles/TP_0037/solweig_base/solweig_outputs_h10/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_base_TP_0037_h12,TP_0037,base,12,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0037/solweig_base/solweig_outputs_h12,data/solweig/v12_n150_tiles/TP_0037/solweig_base/solweig_outputs_h12/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_base_TP_0037_h13,TP_0037,base,13,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0037/solweig_base/solweig_outputs_h13,data/solweig/v12_n150_tiles/TP_0037/solweig_base/solweig_outputs_h13/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_base_TP_0037_h15,TP_0037,base,15,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0037/solweig_base/solweig_outputs_h15,data/solweig/v12_n150_tiles/TP_0037/solweig_base/solweig_outputs_h15/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_base_TP_0037_h16,TP_0037,base,16,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0037/solweig_base/solweig_outputs_h16,data/solweig/v12_n150_tiles/TP_0037/solweig_base/solweig_outputs_h16/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_overhead_TP_0037_h10,TP_0037,overhead_as_canopy,10,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0037/solweig_overhead_as_canopy/solweig_outputs_h10,data/solweig/v12_n150_tiles/TP_0037/solweig_overhead_as_canopy/solweig_outputs_h10/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_overhead_TP_0037_h12,TP_0037,overhead_as_canopy,12,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0037/solweig_overhead_as_canopy/solweig_outputs_h12,data/solweig/v12_n150_tiles/TP_0037/solweig_overhead_as_canopy/solweig_outputs_h12/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_overhead_TP_0037_h13,TP_0037,overhead_as_canopy,13,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0037/solweig_overhead_as_canopy/solweig_outputs_h13,data/solweig/v12_n150_tiles/TP_0037/solweig_overhead_as_canopy/solweig_outputs_h13/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_overhead_TP_0037_h15,TP_0037,overhead_as_canopy,15,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0037/solweig_overhead_as_canopy/solweig_outputs_h15,data/solweig/v12_n150_tiles/TP_0037/solweig_overhead_as_canopy/solweig_outputs_h15/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_overhead_TP_0037_h16,TP_0037,overhead_as_canopy,16,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0037/solweig_overhead_as_canopy/solweig_outputs_h16,data/solweig/v12_n150_tiles/TP_0037/solweig_overhead_as_canopy/solweig_outputs_h16/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_base_TP_0059_h10,TP_0059,base,10,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0059/solweig_base/solweig_outputs_h10,data/solweig/v12_n150_tiles/TP_0059/solweig_base/solweig_outputs_h10/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_base_TP_0059_h12,TP_0059,base,12,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0059/solweig_base/solweig_outputs_h12,data/solweig/v12_n150_tiles/TP_0059/solweig_base/solweig_outputs_h12/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_base_TP_0059_h13,TP_0059,base,13,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0059/solweig_base/solweig_outputs_h13,data/solweig/v12_n150_tiles/TP_0059/solweig_base/solweig_outputs_h13/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_base_TP_0059_h15,TP_0059,base,15,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0059/solweig_base/solweig_outputs_h15,data/solweig/v12_n150_tiles/TP_0059/solweig_base/solweig_outputs_h15/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_base_TP_0059_h16,TP_0059,base,16,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0059/solweig_base/solweig_outputs_h16,data/solweig/v12_n150_tiles/TP_0059/solweig_base/solweig_outputs_h16/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_overhead_TP_0059_h10,TP_0059,overhead_as_canopy,10,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0059/solweig_overhead_as_canopy/solweig_outputs_h10,data/solweig/v12_n150_tiles/TP_0059/solweig_overhead_as_canopy/solweig_outputs_h10/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_overhead_TP_0059_h12,TP_0059,overhead_as_canopy,12,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0059/solweig_overhead_as_canopy/solweig_outputs_h12,data/solweig/v12_n150_tiles/TP_0059/solweig_overhead_as_canopy/solweig_outputs_h12/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_overhead_TP_0059_h13,TP_0059,overhead_as_canopy,13,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0059/solweig_overhead_as_canopy/solweig_outputs_h13,data/solweig/v12_n150_tiles/TP_0059/solweig_overhead_as_canopy/solweig_outputs_h13/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_overhead_TP_0059_h15,TP_0059,overhead_as_canopy,15,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0059/solweig_overhead_as_canopy/solweig_outputs_h15,data/solweig/v12_n150_tiles/TP_0059/solweig_overhead_as_canopy/solweig_outputs_h15/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_overhead_TP_0059_h16,TP_0059,overhead_as_canopy,16,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0059/solweig_overhead_as_canopy/solweig_outputs_h16,data/solweig/v12_n150_tiles/TP_0059/solweig_overhead_as_canopy/solweig_outputs_h16/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
v12_n150_base_TP_0088_h10,TP_0088,base,10,b7_future_same_formal_hotday_forcing_as_n24,systemb_target_family_v0_1_b5,n150_training_future,retained_n24,data/solweig/v12_n150_tiles,data/solweig/v12_n150_tiles/TP_0088/solweig_base/solweig_outputs_h10,data/solweig/v12_n150_tiles/TP_0088/solweig_base/solweig_outputs_h10/Tmrt_average.tif,True,True,tmrt_p90_c,delta_tmrt_p90_c,m_rad_pct01,completed_n24_existing,outputs/v12_solweig_n24_execution/n24_focus_tmrt_summary.csv,Reuse completed N24 summary; no rerun in B6/B7 manifest.
