cell_id,open_pixel_fraction,building_pixel_fraction,n_total_pixels,n_open_pixels,svf_umep_mean_open,svf_umep_p10_open,svf_umep_p90_open,shade_fraction_umep_10_16_open,shade_fraction_umep_13_15_open,shade_fraction_umep_peak_open,shade_fraction_umep_1000_open,shade_fraction_umep_1100_open,shade_fraction_umep_1200_open,shade_fraction_umep_1300_open,shade_fraction_umep_1400_open,shade_fraction_umep_1500_open,shade_fraction_umep_1600_open,svf_umep_mean_all,dsm_mean_height_all,dsm_max_height,dsm_mean_height_buildings_only,umep_dsm_resolution_m,umep_shadow_date,umep_shadow_time_window
TP_0001,1.0,0.0,2500,2500,0.9983468055725098,0.9972111582756042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983468055725098,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0002,1.0,0.0,2500,2500,0.9971833229064941,0.9930278658866882,0.9986055493354797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971833229064941,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0003,0.9436,0.056400000000000006,2500,2359,0.9541479349136353,0.8770392537117004,0.991633415222168,0.019802579656243324,0.0002826056443154812,0.06909707188606262,0.06867316365242004,0.04578211158514023,0.022891055792570114,0.0,0.0004239084373693913,0.0004239084373693913,0.0004239084373693913,0.9565136432647705,0.7049999833106995,12.5,12.5,2,20260320,10:00-16:00 LST (UTC+8)
TP_0004,0.7764,0.22360000000000002,2500,1941,0.8102448582649231,0.5309926271438599,0.9708266854286194,0.03231029585003853,0.021638330072164536,0.12055641412734985,0.04018547013401985,0.026275115087628365,0.012879958376288414,0.0,0.015971148386597633,0.04894384369254112,0.08191654086112976,0.8521134853363037,2.7950000762939453,12.5,12.5,2,20260320,10:00-16:00 LST (UTC+8)
TP_0005,0.8832,0.11680000000000001,2500,2208,0.8975189924240112,0.7143546938896179,0.9833765625953674,0.03319099172949791,0.01766304299235344,0.11775362491607666,0.05887681245803833,0.03894927352666855,0.018568839877843857,0.0,0.012681159190833569,0.04030797258019447,0.06295289844274521,0.9081385731697083,1.3726400136947632,12.5,11.752055168151855,2,20260320,10:00-16:00 LST (UTC+8)
TP_0006,1.0,0.0,2500,2500,0.9823764562606812,0.9715876579284668,0.9903486967086792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9823764562606812,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0007,1.0,0.0,2500,2500,0.9892590045928955,0.9848806858062744,0.993137538433075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892590045928955,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0008,1.0,0.0,2500,2500,0.9933406114578247,0.9889543056488037,0.995816707611084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933406114578247,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0009,1.0,0.0,2500,2500,0.99399334192276,0.991633415222168,0.995816707611084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99399334192276,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0010,1.0,0.0,2500,2500,0.9890015721321106,0.9861654043197632,0.991633415222168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9890015721321106,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0011,0.9496,0.0504,2500,2374,0.9278581738471985,0.8209085464477539,0.987450122833252,0.034601036459207535,0.016147151589393616,0.10025274008512497,0.06739679723978043,0.04549283906817436,0.024431340396404266,0.0,0.012215670198202133,0.036225780844688416,0.05644482001662254,0.9313730597496033,0.7559999823570251,15.0,15.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0012,1.0,0.0,2500,2500,0.9871552586555481,0.9846612811088562,0.9902390241622925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9871552586555481,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
