artifact_id,group,relative_path,found,source_root_id,source_path,byte_size,modified_utc,readable,missing_reason
systema_frozen_handoff,System A,docs/handoff/OpenHeat_SystemA_FROZEN_HANDOFF_2026-05-27_CN.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\docs\handoff\OpenHeat_SystemA_FROZEN_HANDOFF_2026-05-27_CN.md,1478,2026-05-27T18:28:52.645175+00:00,yes,
systema_development_dossier_doc,System A,docs/v11/OpenHeat_SystemA_development_dossier_2026-05-27_CN.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\docs\v11\OpenHeat_SystemA_development_dossier_2026-05-27_CN.md,9689,2026-05-27T18:28:52.613398+00:00,yes,
systema_l1h8_status,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/A_L1H8_STATUS.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\A_L1H8_STATUS.md,3212,2026-05-27T18:28:52.681227+00:00,yes,
systema_l1h8_report,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_report.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\a_l1h8_report.md,28001,2026-05-27T18:28:52.613398+00:00,yes,
systema_l1h8_evidence_inventory,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_evidence_inventory.csv,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\a_l1h8_evidence_inventory.csv,7293,2026-05-27T18:28:52.574769+00:00,yes,
systema_l1h8_timeline,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_timeline.csv,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\a_l1h8_timeline.csv,2651,2026-05-27T18:28:52.574769+00:00,yes,
systema_l1h8_lane_status_matrix,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_lane_status_matrix.csv,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\a_l1h8_lane_status_matrix.csv,3147,2026-05-27T18:28:52.574769+00:00,yes,
systema_l1h8_output_contract_summary,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_output_contract_summary.csv,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\a_l1h8_output_contract_summary.csv,4202,2026-05-27T18:28:52.576773+00:00,yes,
systema_l1h8_model_evidence_summary,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_model_evidence_summary.csv,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\a_l1h8_model_evidence_summary.csv,2141,2026-05-27T18:28:52.576773+00:00,yes,
systema_l1h8_level2_boundary_summary,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_level2_boundary_summary.csv,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\a_l1h8_level2_boundary_summary.csv,904,2026-05-27T18:28:52.576773+00:00,yes,
