cell_id,hazard_score_proxy_v07,rank_proxy_v07_hazard_score,hazard_score_umep_veg_v08,rank_umep_veg_v08_hazard_score,rank_change_proxy_minus_umep
TP_0581,0.7072333393399866,20.0,0.5125007770161768,298.0,-278.0
TP_0448,0.6849354000431287,42.0,0.47663378657977,363.0,-321.0
TP_0726,0.6703133608798808,56.0,0.5158370375221303,294.0,-238.0
TP_0633,0.6562540003436025,71.0,0.3188105831434559,596.0,-525.0
TP_0030,0.667086127527749,59.0,0.6999326886780332,33.0,26.0
TP_0662,0.6604122269634284,66.0,0.6218035356974613,147.0,-81.0
TP_0410,0.6566559360608307,70.0,0.3325371980135747,572.0,-502.0
TP_0923,0.6491295858044722,81.0,0.7132669931111668,17.0,64.0
TP_0827,0.642261713682263,92.0,0.2338636714910443,722.0,-630.0
TP_0849,0.6434013889860405,88.0,0.7208228685872438,8.0,80.0
TP_0353,0.6305929210945334,110.0,0.3415162750940941,562.0,-452.0
TP_0732,0.6329736576022619,107.0,0.5828930579430133,203.0,-96.0
TP_0468,0.6296388889072683,112.0,0.1858128411091034,792.0,-680.0
TP_0778,0.6247736047720939,118.0,0.3986662421584589,477.0,-359.0
TP_0638,0.6393890129846036,97.0,0.715620184359219,14.0,83.0
TP_0088,0.7347481119820316,1.0,0.7471534438014392,1.0,0.0
TP_0454,0.6167361511152959,134.0,0.3945186499135936,481.0,-347.0
TP_0171,0.7310598280843189,2.0,0.7042330656991791,26.0,-24.0
TP_0575,0.7304931302204867,3.0,0.7113938494899958,20.0,-17.0
TP_0986,0.6413642334388382,94.0,0.7183850444334857,10.0,84.0
TP_0820,0.6270738267728632,116.0,0.7126581961056525,19.0,97.0
TP_0693,0.6226784665381322,122.0,0.4351871813675976,415.0,-293.0
TP_0796,0.6202905693555946,128.0,0.5270168135682649,278.0,-150.0
TP_0144,0.7288794602415766,4.0,0.6849351007056598,54.0,-50.0
TP_0257,0.623042164307208,121.0,0.1786110205400015,805.0,-684.0
TP_0460,0.7271411774432955,5.0,0.7168590116224683,11.0,-6.0
TP_0588,0.7241746097065888,6.0,0.569833490758376,221.0,-215.0
TP_0577,0.6153081196024212,137.0,0.6853271172052787,52.0,85.0
TP_0439,0.6389982718630942,100.0,0.144560452380883,850.0,-750.0
TP_0985,0.6426213095559533,91.0,0.7204764652845331,9.0,82.0
TP_0348,0.6071411845459962,151.0,0.599026243025491,179.0,-28.0
TP_0574,0.717533999912525,8.0,0.6472860684544969,114.0,-106.0
TP_0922,0.623313988259607,120.0,0.6125299059510937,161.0,-41.0
TP_0589,0.7159464082296952,10.0,0.575372908782291,211.0,-201.0
TP_0586,0.7172123313973059,9.0,0.4964551340693293,329.0,-320.0
TP_0143,0.7195890811492236,7.0,0.5879911693688121,195.0,-188.0
TP_0389,0.603473838070695,156.0,0.5855261195512471,198.0,-42.0
TP_0953,0.6044549029506565,154.0,0.5283057124115652,277.0,-123.0
TP_0606,0.6105007468924584,144.0,0.6845945076127764,55.0,89.0
TP_0489,0.7145046039209324,11.0,0.6473871286000328,113.0,-102.0
TP_0876,0.6079773013570423,150.0,0.7129364355248445,18.0,132.0
TP_0001,0.6094931435097777,145.0,0.6177714595787427,156.0,-11.0
TP_0172,0.712202059244456,13.0,0.5018273874541812,318.0,-305.0
TP_0567,0.7073492393933094,19.0,0.4438418519004889,404.0,-385.0
TP_0200,0.7129246473395433,12.0,0.6749021275007864,71.0,-59.0
TP_0784,0.6207316239731813,126.0,0.2767448299445401,669.0,-543.0
TP_0608,0.5977090378001523,159.0,0.4905792606720444,341.0,-182.0
TP_0170,0.7084089300891955,17.0,0.393515652987204,482.0,-465.0
TP_0169,0.7093008316165258,16.0,0.4880050963984311,344.0,-328.0
TP_0590,0.7040176542876533,22.0,0.5437320615708523,253.0,-231.0
TP_0229,0.7102903973505706,15.0,0.6379429816552692,127.0,-112.0
TP_0665,0.6045417113944042,153.0,0.4086435799886314,456.0,-303.0
TP_0120,0.7032919187320994,23.0,0.698931484135732,34.0,-11.0
TP_0011,0.5901468836357739,173.0,0.6947913640703177,41.0,132.0
TP_0879,0.6221075562546372,124.0,0.693324270137611,43.0,81.0
TP_0585,0.7020720183548338,25.0,0.4893646435868521,342.0,-317.0
TP_0142,0.7103052402865861,14.0,0.6516140127314018,107.0,-93.0
TP_0591,0.6989660091971959,27.0,0.4186723529515537,447.0,-420.0
TP_0419,0.5855429893592038,180.0,0.5926678624459764,189.0,-9.0
TP_0566,0.6999782228295007,26.0,0.504003174288232,314.0,-288.0
TP_0480,0.5872219991545499,176.0,0.3390565474707961,564.0,-388.0
TP_0449,0.5784543931642576,194.0,0.4380140501260393,411.0,-217.0
TP_0476,0.5959346100933067,162.0,0.1926953966620805,785.0,-623.0
TP_0124,0.6933272340318996,33.0,0.2538403728347568,700.0,-667.0
TP_0089,0.7077222738057694,18.0,0.7237155569558886,6.0,12.0
TP_0924,0.5831124343293949,184.0,0.6089794215423507,166.0,18.0
TP_0431,0.702099579089354,24.0,0.6220268772257331,146.0,-122.0
TP_0394,0.6192002413980788,130.0,0.5692124724879836,222.0,-92.0
TP_0877,0.5891139097810999,175.0,0.6388128274401024,125.0,50.0
TP_0592,0.6926169294075316,34.0,0.4817746516926771,361.0,-327.0
TP_0388,0.5934481116069594,167.0,0.5349536394112713,265.0,-98.0
TP_0146,0.6064898829525828,152.0,0.1622564595962221,822.0,-670.0
TP_0903,0.5767901452309899,197.0,0.6545398988677632,100.0,97.0
TP_0984,0.6134356631949205,139.0,0.7162028418269001,12.0,127.0
TP_0846,0.5706590250787292,204.0,0.6315183425419187,135.0,69.0
TP_0587,0.6962314686555334,29.0,0.4281517393644353,427.0,-398.0
TP_0117,0.7040981561656056,21.0,0.6609066098789357,93.0,-72.0
TP_0568,0.6863601593277749,40.0,0.5179228791327937,291.0,-251.0
TP_0734,0.685235062312792,41.0,0.3178208729670365,599.0,-558.0
TP_0255,0.5967176848620404,161.0,0.1844714517407775,797.0,-636.0
TP_0632,0.6875179642439305,37.0,0.4939942363710392,335.0,-298.0
TP_0604,0.6945869133892829,32.0,0.4870999548117888,346.0,-314.0
TP_0396,0.563242707132977,215.0,0.3493914233066187,544.0,-329.0
TP_0664,0.5976363954301234,160.0,0.4201175271128141,442.0,-282.0
TP_0576,0.6873816110845642,38.0,0.5490139005580777,246.0,-208.0
TP_0237,0.5788851537447888,193.0,0.5518296476494144,243.0,-50.0
TP_0977,0.6844238758865228,43.0,0.4566530619254192,388.0,-345.0
TP_0573,0.6947657872170274,31.0,0.5729077703103184,218.0,-187.0
TP_0571,0.6872768086833625,39.0,0.6000420674331508,177.0,-138.0
