n,bias_pred_minus_obs,mae,rmse,p90_abs_error,station_id,station_name,official_wbgt_mean,official_wbgt_max,moderate_obs,high_obs,nearest_grid_distance_m,morphology_representativeness
95,-0.5891108316024238,0.7746543307821608,1.2957415441825408,2.479136120716866,S148,Pasir Ris Walk,27.15789473684211,31.1,1,0,11139.91285867082,regional_distance_not_representative
95,-0.5732580125454311,0.8055396360808728,1.2061010806256962,2.235260462236034,S124,Upper Changi Road North,27.10631578947368,30.4,0,0,13078.252030322366,regional_distance_not_representative
95,-0.7217424105497924,1.004191369470275,1.5694444213102614,3.0850804830659633,S149,Tampines Walk,27.29052631578949,31.6,6,0,8182.296725708703,regional_distance_not_representative
95,-0.7008782716148867,1.0301380626918366,1.4645297517754468,2.5308163289489825,S140,Choa Chu Kang Stadium,26.77578947368421,31.0,2,0,10762.214795057005,regional_distance_not_representative
95,-0.9999551973791146,1.0727559243006457,1.6249981312353785,3.1758654858883815,S145,MacRitchie Reservoir,26.91894736842106,31.7,9,0,684.7086894075007,local_grid_proxy
95,-0.7450337071632069,1.0992860338228472,1.5649541081908538,2.666479200749749,S150,Evans Road,27.01894736842105,30.9,0,0,2322.116184902212,nearby_grid_proxy
95,-1.0314045874043605,1.1931895009141709,1.7807178903617955,3.19106466570445,S180,Taman Jurong Greens,27.10631578947368,31.6,8,0,13537.003252304452,regional_distance_not_representative
95,-0.6256687663265768,1.198310294609664,1.559256654547958,2.734968907601401,S146,Jalan Bahar,26.76315789473684,31.2,1,0,16451.394925978457,regional_distance_not_representative
95,-1.2103519558254128,1.2625623848193839,1.7569387666860992,3.174414393290863,S153,Bukit Batok Street 22,27.285263157894736,31.5,5,0,10113.869960747512,regional_distance_not_representative
95,-1.263828223518156,1.277272284325844,1.8207587670659142,3.317169011201349,S184,Sengkang East Avenue,27.442105263157885,32.5,8,0,4745.580001504354,regional_distance_not_representative
95,-1.167418590435821,1.2784157470342847,2.125119197804721,4.420270112659068,S151,Outward Bound Singapore(Pulau ubin),27.461052631578948,32.2,17,0,10241.619577853113,regional_distance_not_representative
95,-1.255856879916965,1.292323252152213,1.778893759226622,3.1518577466379876,S143,Punggol North,27.27368421052633,32.5,11,0,7509.335568406901,regional_distance_not_representative
95,-1.2248808550971038,1.3128795400301059,2.051668144589789,3.970429287231539,S141,Yio Chu Kang Stadium,27.40315789473684,33.0,11,1,2969.0288274965383,nearby_grid_proxy
95,-1.3345435586932057,1.3345435586932057,1.8263527019894286,3.418611833453197,S132,Jurong West Street 93,27.41368421052631,31.4,11,0,16082.717807465553,regional_distance_not_representative
95,-1.3943106441243782,1.3967929640557288,2.0573824655616004,3.5779474515886873,S129,Bedok North Street 2,27.92736842105264,32.5,13,0,8278.941110279118,regional_distance_not_representative
95,-1.301916281869574,1.3979353037443807,2.215407670805725,4.336111340733941,S147,Marina Barrage,27.688421052631575,32.3,19,0,5141.519333518771,regional_distance_not_representative
95,-1.4177057555537846,1.4177057555537846,2.0337222320081847,3.444386389181165,S144,Upper Pickering Street,27.804210526315785,32.2,8,0,4448.814267699171,regional_distance_not_representative
95,-1.0302968650579438,1.4270238570721603,2.161775951072211,4.073002960007535,S187,Bukit Timah(West),27.304210526315796,32.5,15,0,4316.233959720183,regional_distance_not_representative
95,-0.6328184564845751,1.4449284348926297,1.7708799974341212,2.925252848357941,S139,Tuas Terminal Gateway,27.26842105263157,30.2,0,0,25807.341680248952,regional_distance_not_representative
95,-1.471349496636891,1.4740024794072548,1.9767166600092108,3.532240223528439,S130,West Coast Road,27.745263157894733,31.4,5,0,8691.30484408614,regional_distance_not_representative
95,-1.2209573463522183,1.4753645831965159,1.9353327345069054,3.5502201482478193,S125,Woodlands Street 13,27.048421052631582,32.2,8,0,10889.150865386011,regional_distance_not_representative
95,-0.9178499342212199,1.497486532785663,2.1223453259674243,3.7775376645012497,S135,Mandai Wildlife Reserve,26.83684210526316,32.7,16,0,8801.042515418221,regional_distance_not_representative
95,-1.265088797930676,1.5028916885007564,2.269899759445119,4.289732560462051,S126,Old Chua Chu Kang Road,27.339999999999993,32.5,22,0,12994.989985604709,regional_distance_not_representative
95,-1.4438282235181559,1.5438674520686297,2.4387802491424955,4.474180050193691,S128,Bishan Street,27.6221052631579,34.0,20,2,48.87154969433947,local_grid_proxy
95,-1.6682320713432586,1.6682320713432586,2.345948715397981,4.254516343727143,S127,Stadium Road,28.05473684210527,32.4,17,0,2675.8815246433346,nearby_grid_proxy
95,-1.6732012439549349,1.675355491772724,2.1435333107136922,3.5963558236477158,S137,Sakra Road,28.01684210526315,32.3,7,0,17553.316301998377,regional_distance_not_representative
94,-1.91638857829481,1.917839281757014,2.848726190409379,5.2130518893205995,S142,Sentosa Palawan Green,28.20425531914893,33.4,18,7,8819.104839190499,regional_distance_not_representative
