tp,fp,fn,tn,precision,recall,f1,model,split_type,period,threshold
0,0,268,2296,,0.0,,M0_raw_proxy,apparent,overall,31.0
0,0,10,2554,,0.0,,M0_raw_proxy,apparent,overall,33.0
0,0,268,703,,0.0,,M0_raw_proxy,apparent,daytime_09_18,31.0
0,0,10,961,,0.0,,M0_raw_proxy,apparent,daytime_09_18,33.0
0,0,205,226,,0.0,,M0_raw_proxy,apparent,peak_12_16,31.0
0,0,10,421,,0.0,,M0_raw_proxy,apparent,peak_12_16,33.0
0,0,0,1161,,,,M0_raw_proxy,apparent,night_00_07_20_23,31.0
0,0,0,1161,,,,M0_raw_proxy,apparent,night_00_07_20_23,33.0
0,0,268,2296,,0.0,,M0_raw_proxy,LOSO,overall,31.0
0,0,10,2554,,0.0,,M0_raw_proxy,LOSO,overall,33.0
0,0,268,703,,0.0,,M0_raw_proxy,LOSO,daytime_09_18,31.0
0,0,10,961,,0.0,,M0_raw_proxy,LOSO,daytime_09_18,33.0
0,0,205,226,,0.0,,M0_raw_proxy,LOSO,peak_12_16,31.0
0,0,10,421,,0.0,,M0_raw_proxy,LOSO,peak_12_16,33.0
0,0,0,1161,,,,M0_raw_proxy,LOSO,night_00_07_20_23,31.0
0,0,0,1161,,,,M0_raw_proxy,LOSO,night_00_07_20_23,33.0
0,0,268,2296,,0.0,,M1_global_bias,apparent,overall,31.0
0,0,10,2554,,0.0,,M1_global_bias,apparent,overall,33.0
0,0,268,703,,0.0,,M1_global_bias,apparent,daytime_09_18,31.0
0,0,10,961,,0.0,,M1_global_bias,apparent,daytime_09_18,33.0
0,0,205,226,,0.0,,M1_global_bias,apparent,peak_12_16,31.0
0,0,10,421,,0.0,,M1_global_bias,apparent,peak_12_16,33.0
0,0,0,1161,,,,M1_global_bias,apparent,night_00_07_20_23,31.0
0,0,0,1161,,,,M1_global_bias,apparent,night_00_07_20_23,33.0
0,0,268,2296,,0.0,,M1_global_bias,LOSO,overall,31.0
0,0,10,2554,,0.0,,M1_global_bias,LOSO,overall,33.0
0,0,268,703,,0.0,,M1_global_bias,LOSO,daytime_09_18,31.0
0,0,10,961,,0.0,,M1_global_bias,LOSO,daytime_09_18,33.0
0,0,205,226,,0.0,,M1_global_bias,LOSO,peak_12_16,31.0
0,0,10,421,,0.0,,M1_global_bias,LOSO,peak_12_16,33.0
0,0,0,1161,,,,M1_global_bias,LOSO,night_00_07_20_23,31.0
0,0,0,1161,,,,M1_global_bias,LOSO,night_00_07_20_23,33.0
8,13,260,2283,0.38095238095238093,0.029850746268656716,0.05536332179930796,M1b_period_bias,apparent,overall,31.0
0,0,10,2554,,0.0,,M1b_period_bias,apparent,overall,33.0
8,13,260,690,0.38095238095238093,0.029850746268656716,0.05536332179930796,M1b_period_bias,apparent,daytime_09_18,31.0
0,0,10,961,,0.0,,M1b_period_bias,apparent,daytime_09_18,33.0
8,11,197,215,0.42105263157894735,0.03902439024390244,0.07142857142857142,M1b_period_bias,apparent,peak_12_16,31.0
0,0,10,421,,0.0,,M1b_period_bias,apparent,peak_12_16,33.0
0,0,0,1161,,,,M1b_period_bias,apparent,night_00_07_20_23,31.0
0,0,0,1161,,,,M1b_period_bias,apparent,night_00_07_20_23,33.0
8,14,260,2282,0.36363636363636365,0.029850746268656716,0.055172413793103454,M1b_period_bias,LOSO,overall,31.0
0,0,10,2554,,0.0,,M1b_period_bias,LOSO,overall,33.0
8,14,260,689,0.36363636363636365,0.029850746268656716,0.055172413793103454,M1b_period_bias,LOSO,daytime_09_18,31.0
0,0,10,961,,0.0,,M1b_period_bias,LOSO,daytime_09_18,33.0
8,12,197,214,0.4,0.03902439024390244,0.07111111111111111,M1b_period_bias,LOSO,peak_12_16,31.0
0,0,10,421,,0.0,,M1b_period_bias,LOSO,peak_12_16,33.0
0,0,0,1161,,,,M1b_period_bias,LOSO,night_00_07_20_23,31.0
0,0,0,1161,,,,M1b_period_bias,LOSO,night_00_07_20_23,33.0
13,28,255,2268,0.3170731707317073,0.048507462686567165,0.08414239482200646,M2_linear_proxy,apparent,overall,31.0
0,0,10,2554,,0.0,,M2_linear_proxy,apparent,overall,33.0
13,28,255,675,0.3170731707317073,0.048507462686567165,0.08414239482200646,M2_linear_proxy,apparent,daytime_09_18,31.0
0,0,10,961,,0.0,,M2_linear_proxy,apparent,daytime_09_18,33.0
11,23,194,203,0.3235294117647059,0.05365853658536585,0.09205020920502092,M2_linear_proxy,apparent,peak_12_16,31.0
0,0,10,421,,0.0,,M2_linear_proxy,apparent,peak_12_16,33.0
0,0,0,1161,,,,M2_linear_proxy,apparent,night_00_07_20_23,31.0
0,0,0,1161,,,,M2_linear_proxy,apparent,night_00_07_20_23,33.0
11,29,257,2267,0.275,0.041044776119402986,0.07142857142857142,M2_linear_proxy,LOSO,overall,31.0
0,0,10,2554,,0.0,,M2_linear_proxy,LOSO,overall,33.0
11,29,257,674,0.275,0.041044776119402986,0.07142857142857142,M2_linear_proxy,LOSO,daytime_09_18,31.0
0,0,10,961,,0.0,,M2_linear_proxy,LOSO,daytime_09_18,33.0
9,24,196,202,0.2727272727272727,0.04390243902439024,0.07563025210084034,M2_linear_proxy,LOSO,peak_12_16,31.0
0,0,10,421,,0.0,,M2_linear_proxy,LOSO,peak_12_16,33.0
0,0,0,1161,,,,M2_linear_proxy,LOSO,night_00_07_20_23,31.0
0,0,0,1161,,,,M2_linear_proxy,LOSO,night_00_07_20_23,33.0
80,99,188,2197,0.44692737430167595,0.29850746268656714,0.35794183445190153,M3_regime_current_ridge,apparent,overall,31.0
0,0,10,2554,,0.0,,M3_regime_current_ridge,apparent,overall,33.0
80,99,188,604,0.44692737430167595,0.29850746268656714,0.35794183445190153,M3_regime_current_ridge,apparent,daytime_09_18,31.0
0,0,10,961,,0.0,,M3_regime_current_ridge,apparent,daytime_09_18,33.0
80,98,125,128,0.449438202247191,0.3902439024390244,0.4177545691906005,M3_regime_current_ridge,apparent,peak_12_16,31.0
0,0,10,421,,0.0,,M3_regime_current_ridge,apparent,peak_12_16,33.0
0,0,0,1161,,,,M3_regime_current_ridge,apparent,night_00_07_20_23,31.0
0,0,0,1161,,,,M3_regime_current_ridge,apparent,night_00_07_20_23,33.0
76,104,192,2192,0.4222222222222222,0.2835820895522388,0.3392857142857143,M3_regime_current_ridge,LOSO,overall,31.0
0,0,10,2554,,0.0,,M3_regime_current_ridge,LOSO,overall,33.0
76,104,192,599,0.4222222222222222,0.2835820895522388,0.3392857142857143,M3_regime_current_ridge,LOSO,daytime_09_18,31.0
0,0,10,961,,0.0,,M3_regime_current_ridge,LOSO,daytime_09_18,33.0
76,103,129,123,0.4245810055865922,0.37073170731707317,0.39583333333333337,M3_regime_current_ridge,LOSO,peak_12_16,31.0
0,0,10,421,,0.0,,M3_regime_current_ridge,LOSO,peak_12_16,33.0
0,0,0,1161,,,,M3_regime_current_ridge,LOSO,night_00_07_20_23,31.0
0,0,0,1161,,,,M3_regime_current_ridge,LOSO,night_00_07_20_23,33.0
75,78,193,2218,0.49019607843137253,0.2798507462686567,0.35629453681710216,M4_inertia_ridge,apparent,overall,31.0
0,0,10,2554,,0.0,,M4_inertia_ridge,apparent,overall,33.0
75,78,193,625,0.49019607843137253,0.2798507462686567,0.35629453681710216,M4_inertia_ridge,apparent,daytime_09_18,31.0
0,0,10,961,,0.0,,M4_inertia_ridge,apparent,daytime_09_18,33.0
75,77,130,149,0.4934210526315789,0.36585365853658536,0.42016806722689076,M4_inertia_ridge,apparent,peak_12_16,31.0
0,0,10,421,,0.0,,M4_inertia_ridge,apparent,peak_12_16,33.0
0,0,0,1161,,,,M4_inertia_ridge,apparent,night_00_07_20_23,31.0
0,0,0,1161,,,,M4_inertia_ridge,apparent,night_00_07_20_23,33.0
70,86,198,2210,0.44871794871794873,0.26119402985074625,0.330188679245283,M4_inertia_ridge,LOSO,overall,31.0
0,0,10,2554,,0.0,,M4_inertia_ridge,LOSO,overall,33.0
70,86,198,617,0.44871794871794873,0.26119402985074625,0.330188679245283,M4_inertia_ridge,LOSO,daytime_09_18,31.0
0,0,10,961,,0.0,,M4_inertia_ridge,LOSO,daytime_09_18,33.0
70,85,135,141,0.45161290322580644,0.34146341463414637,0.3888888888888889,M4_inertia_ridge,LOSO,peak_12_16,31.0
0,0,10,421,,0.0,,M4_inertia_ridge,LOSO,peak_12_16,33.0
0,0,0,1161,,,,M4_inertia_ridge,LOSO,night_00_07_20_23,31.0
0,0,0,1161,,,,M4_inertia_ridge,LOSO,night_00_07_20_23,33.0
70,62,198,2234,0.5303030303030303,0.26119402985074625,0.35,M5_inertia_morphology_ridge,apparent,overall,31.0
0,0,10,2554,,0.0,,M5_inertia_morphology_ridge,apparent,overall,33.0
70,62,198,641,0.5303030303030303,0.26119402985074625,0.35,M5_inertia_morphology_ridge,apparent,daytime_09_18,31.0
0,0,10,961,,0.0,,M5_inertia_morphology_ridge,apparent,daytime_09_18,33.0
70,62,135,164,0.5303030303030303,0.34146341463414637,0.41543026706231456,M5_inertia_morphology_ridge,apparent,peak_12_16,31.0
0,0,10,421,,0.0,,M5_inertia_morphology_ridge,apparent,peak_12_16,33.0
0,0,0,1161,,,,M5_inertia_morphology_ridge,apparent,night_00_07_20_23,31.0
0,0,0,1161,,,,M5_inertia_morphology_ridge,apparent,night_00_07_20_23,33.0
56,80,212,2216,0.4117647058823529,0.208955223880597,0.2772277227722772,M5_inertia_morphology_ridge,LOSO,overall,31.0
0,0,10,2554,,0.0,,M5_inertia_morphology_ridge,LOSO,overall,33.0
56,80,212,623,0.4117647058823529,0.208955223880597,0.2772277227722772,M5_inertia_morphology_ridge,LOSO,daytime_09_18,31.0
0,0,10,961,,0.0,,M5_inertia_morphology_ridge,LOSO,daytime_09_18,33.0
55,74,150,152,0.4263565891472868,0.2682926829268293,0.32934131736526945,M5_inertia_morphology_ridge,LOSO,peak_12_16,31.0
0,0,10,421,,0.0,,M5_inertia_morphology_ridge,LOSO,peak_12_16,33.0
0,0,0,1161,,,,M5_inertia_morphology_ridge,LOSO,night_00_07_20_23,31.0
0,0,0,1161,,,,M5_inertia_morphology_ridge,LOSO,night_00_07_20_23,33.0
