n,bias_pred_minus_obs,mae,rmse,p90_abs_error,model,split_type,period
2564,-1.1403595117184548,1.3247868577327044,1.949098725076459,3.5883584557595563,M0_raw_proxy,apparent,overall
971,-2.798616696966534,2.802353317414465,3.0809045889792914,4.506140882347513,M0_raw_proxy,apparent,daytime_09_18
431,-3.4074277145231164,3.4074277145231164,3.596782446732202,4.916920790598667,M0_raw_proxy,apparent,peak_12_16
1161,-0.12394252416792775,0.37395207640288064,0.4642904300778354,0.7327404764402523,M0_raw_proxy,apparent,night_00_07_20_23
2564,-1.1403595117184548,1.3247868577327044,1.949098725076459,3.5883584557595563,M0_raw_proxy,LOSO,overall
971,-2.798616696966534,2.802353317414465,3.0809045889792914,4.506140882347513,M0_raw_proxy,LOSO,daytime_09_18
431,-3.4074277145231164,3.4074277145231164,3.596782446732202,4.916920790598667,M0_raw_proxy,LOSO,peak_12_16
1161,-0.12394252416792775,0.37395207640288064,0.4642904300778354,0.7327404764402523,M0_raw_proxy,LOSO,night_00_07_20_23
2564,-4.489388580075516e-16,1.3211070841875991,1.5806853020534875,2.5019771102771404,M1_global_bias,apparent,overall
971,-1.6582571852480796,1.763560177000415,2.0998891785712566,3.3657813706290582,M1_global_bias,apparent,daytime_09_18
431,-2.2670682028046625,2.2826087735031657,2.542809189771937,3.7765612788802123,M1_global_bias,apparent,peak_12_16
1161,1.0164169875505267,1.0170322992374352,1.110543716719892,1.5294469164849147,M1_global_bias,apparent,night_00_07_20_23
2564,1.1961559328979311e-05,1.3217779476335438,1.5837966557666054,2.519017299649325,M1_global_bias,LOSO,overall
971,-1.6582263266423956,1.7646489397688114,2.1029847989603088,3.3774579715285995,M1_global_bias,LOSO,daytime_09_18
431,-2.266999236505515,2.2833760534085563,2.5460127743750576,3.7783194762107115,M1_global_bias,LOSO,peak_12_16
1161,1.0164174305712432,1.0173332544736782,1.1141015439563047,1.540248762957546,M1_global_bias,LOSO,night_00_07_20_23
2564,-8.646229857923216e-16,0.6511525047332728,0.9068543009253339,1.5973447544914643,M1b_period_bias,apparent,overall
971,-7.024933329862988e-16,1.0376153460972954,1.288300302667737,2.1363380741166758,M1b_period_bias,apparent,daytime_09_18
431,-0.6088110175565835,1.040778217747475,1.3026631162810032,2.147513444495658,M1b_period_bias,apparent,peak_12_16
1161,-1.3433602971519551e-15,0.36255563309928596,0.44744145333746627,0.6839423003278746,M1b_period_bias,apparent,night_00_07_20_23
2564,2.248319563940569e-05,0.6608427069244995,0.9161447096795217,1.604110686375781,M1b_period_bias,LOSO,overall
971,5.936860310998091e-05,1.0464748473617471,1.2985742856909814,2.14510069241776,M1b_period_bias,LOSO,daytime_09_18
431,-0.6086800209404402,1.0506456419782186,1.3149895655968338,2.1535050715939548,M1b_period_bias,LOSO,peak_12_16
1161,-2.845842998522365e-16,0.37405689758137495,0.4600227288598373,0.69828459474952,M1b_period_bias,LOSO,night_00_07_20_23
2564,4.4339640297042135e-16,0.9631511900909792,1.237493326713277,2.0054875753852257,M2_linear_proxy,apparent,overall
971,-0.6907586163042283,1.1790047256060554,1.504277121702862,2.536680051321813,M2_linear_proxy,apparent,daytime_09_18
431,-1.0918044299453438,1.4212093059413238,1.7616227230598969,2.9134470365375513,M2_linear_proxy,apparent,peak_12_16
1161,0.26161924258739677,0.7093974352562659,0.9013367406951328,1.5032132282659312,M2_linear_proxy,apparent,night_00_07_20_23
2564,-0.001399477383062605,0.9732800567723798,1.2494555703049557,2.024509323373144,M2_linear_proxy,LOSO,overall
971,-0.6895910102773817,1.1868590281405502,1.5132711029462427,2.5534644692345125,M2_linear_proxy,LOSO,daytime_09_18
431,-1.0901917811652562,1.4294163968837932,1.7713286504982062,2.9262660469411514,M2_linear_proxy,LOSO,peak_12_16
