model,split_type,hour_sgt_numeric,n,bias_pred_minus_obs,mae,official_wbgt_mean,pred_wbgt_mean
M0_raw_proxy,apparent,2.0,54,-0.20161264039180601,0.40353939285132967,25.559259259259267,25.35764661886745
M0_raw_proxy,apparent,2.25,27,-0.11649105478902312,0.40298116342835716,25.185185185185187,25.068694130396167
M0_raw_proxy,apparent,2.5,27,-0.0992229726312517,0.4058727519194694,25.15185185185185,25.052628879220592
M0_raw_proxy,apparent,2.75,27,-0.09309449519089631,0.38859804465626596,25.129629629629626,25.036535134438733
M0_raw_proxy,apparent,3.0,27,-0.07958676562036378,0.3713390215235486,25.1,25.02041323437964
M0_raw_proxy,apparent,3.25,27,-0.09346108166878417,0.3595841559251934,25.077777777777783,24.984316696108994
M0_raw_proxy,apparent,3.5,27,-0.12960332378650688,0.3697679583200235,25.07777777777778,24.948174453991268
M0_raw_proxy,apparent,3.75,27,-0.176901729906552,0.3940255461434261,25.088888888888885,24.911987158982335
M0_raw_proxy,apparent,4.0,27,-0.19831862419869495,0.3949539975611749,25.074074074074073,24.875755449875378
M0_raw_proxy,apparent,4.25,27,-0.16097452960826508,0.3879428981990583,25.033333333333335,24.872358803725067
M0_raw_proxy,apparent,4.5,27,-0.09771101225843769,0.3983570496944853,24.96666666666667,24.868955654408232
M0_raw_proxy,apparent,4.75,27,-0.07149103875315321,0.3984251169157064,24.93703703703704,24.865545998283885
M0_raw_proxy,apparent,5.0,27,-0.10824053910256987,0.38996739246360057,24.97037037037037,24.8621298312678
M0_raw_proxy,apparent,5.25,27,-0.08642653045693517,0.39087321901082306,24.937037037037037,24.850610506580104
M0_raw_proxy,apparent,5.5,27,-0.04240260242655291,0.40445166503911323,24.88148148148148,24.839078879054934
M0_raw_proxy,apparent,5.75,27,-0.00950178324074621,0.4116368151254959,24.837037037037035,24.827535253796295
M0_raw_proxy,apparent,6.0,27,0.0307947450284733,0.3891850979503703,24.78518518518518,24.815979930213665
M0_raw_proxy,apparent,6.25,27,0.05965953432369933,0.4123918023022502,24.777777777777775,24.837437312101475
M0_raw_proxy,apparent,6.5,27,0.0809804732550611,0.4310294315848522,24.777777777777782,24.858758251032835
M0_raw_proxy,apparent,6.75,27,0.10216135779712837,0.43758185986796544,24.777777777777782,24.879939135574908
M0_raw_proxy,apparent,7.0,27,0.12319846663212754,0.4349464750998397,24.77777777777778,24.900976244409904
M0_raw_proxy,apparent,7.25,27,0.2067160575223802,0.4126149958919572,24.866666666666667,25.07338272418904
M0_raw_proxy,apparent,7.5,27,0.20976447197061004,0.3893218319052186,25.037037037037038,25.24680150900765
M0_raw_proxy,apparent,7.75,27,0.05888396328516481,0.39756945927597953,25.362962962962964,25.421846926248126
M0_raw_proxy,apparent,8.0,27,-0.25941298507207927,0.476833807622841,25.85925925925926,25.599846274187183
M0_raw_proxy,apparent,8.25,27,-0.7016399322735836,0.782962278412665,26.57777777777778,25.876137845504193
M0_raw_proxy,apparent,8.5,27,-1.109209030142649,1.1324403659688709,27.25925925925926,26.150050229116605
M0_raw_proxy,apparent,8.75,27,-1.5632642557377867,1.5803444378335625,27.985185185185188,26.4219209294474
M0_raw_proxy,apparent,9.0,27,-1.7302772292929003,1.7302772292929003,28.422222222222224,26.691944992929322
M0_raw_proxy,apparent,9.25,27,-2.0165586864124587,2.0165586864124587,28.81851851851852,26.80195983210606
M0_raw_proxy,apparent,9.5,27,-2.143439674930733,2.149958654982943,29.05185185185185,26.90841217692112
M0_raw_proxy,apparent,9.75,27,-2.1737953885083416,2.1737953885083416,29.185185185185187,27.01138979667684
M0_raw_proxy,apparent,10.0,27,-2.166839349737359,2.166839349737359,29.277777777777775,27.110938428040416
