cell_id,cell_area_m2,inter_area_m2,overhead_fraction_cell,covered_walkway,elevated_rail,elevated_road,pedestrian_bridge,viaduct,other_overhead,overhead_confounding_flag
TP_0001,9999.999999838656,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0002,10000.000000078944,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0003,10000.000000041473,70.29872248011179,0.007029872247982024,1,0,0,0,0,0,clean_or_minor
TP_0004,10000.0,304.29269615863353,0.030429269615863352,1,0,0,0,0,0,moderate_confounding
TP_0005,10000.000000020373,137.18399839674976,0.013718399839647028,2,0,0,0,0,0,clean_or_minor
TP_0006,9999.999999900137,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0007,10000.0,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0008,10000.00000002492,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0009,9999.99999997708,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0010,10000.000000004366,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0011,10000.00000002583,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0012,9999.999999973443,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0013,9999.999999927786,102.3598725948247,0.010235987259556387,1,0,0,0,0,0,clean_or_minor
TP_0014,10000.000000233194,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0015,9999.999999758438,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0016,10000.000000065484,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0017,10000.000000085493,321.47035994275655,0.032147035994000824,0,0,0,2,1,0,moderate_confounding
TP_0018,9999.999999965803,420.70155108321075,0.04207015510846494,2,0,0,1,0,0,moderate_confounding
TP_0019,9999.999999988358,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0020,9999.999999934153,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0021,10000.000000021464,172.6119656424318,0.017261196564206133,1,0,0,0,0,0,clean_or_minor
TP_0022,9999.99999997508,331.379198085042,0.03313791980858678,1,0,0,0,0,0,moderate_confounding
TP_0023,10000.000000064938,410.14540201856283,0.04101454020158994,3,0,0,0,0,0,moderate_confounding
TP_0024,9999.999999937063,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0025,10000.000000027467,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0026,10000.000000119871,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0027,9999.999999860665,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0028,10000.000000014734,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0029,10000.00000002674,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0030,9999.999999880856,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0031,10000.00000004602,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0032,9999.99999999327,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0033,10000.000000018372,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0034,9999.9999999789,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0035,9999.99999993579,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0036,10000.000000033833,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0037,10000.000000058753,2178.8816348543,0.21788816348414983,2,0,0,0,0,0,major_confounding
TP_0038,10000.000000004366,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0039,9999.999999961074,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0040,9999.999999992178,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0041,10000.000000012005,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0042,10000.000000034925,60.70500904815108,0.006070500904793907,1,0,0,0,0,0,clean_or_minor
TP_0043,9999.999999990905,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0044,9999.999999939791,59.92126093847793,0.005992126093883871,0,0,0,1,0,0,clean_or_minor
TP_0045,10000.000000028194,353.19536303519925,0.03531953630342034,4,0,0,0,0,0,moderate_confounding
TP_0046,10000.00000011878,350.3664762428319,0.035036647623867025,4,0,0,0,0,0,moderate_confounding
TP_0047,9999.999999852298,97.5749421281381,0.009757494212957931,1,0,0,0,0,0,clean_or_minor
TP_0048,10000.00000001346,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0049,10000.000000038744,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0050,9999.999999987813,205.71959393540976,0.02057195939356605,2,0,0,0,0,0,moderate_confounding
TP_0051,10000.00000001055,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0052,9999.999999964348,583.9299510953718,0.05839299510974537,5,0,0,0,0,0,moderate_confounding
TP_0053,9999.999999981446,306.2968601409727,0.030629686014154098,5,0,0,0,0,0,moderate_confounding
TP_0054,10000.00000006712,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0055,10000.000000080763,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0056,9999.99999988322,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0057,10000.00000011496,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0058,9999.999999920328,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0059,9999.999999967986,1098.7556470927238,0.10987556470962415,0,0,3,0,0,0,major_confounding
TP_0060,9999.999999998181,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0061,10000.00000003256,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0062,9999.999999989268,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0063,10000.00000000764,149.80654812379348,0.014980654812367903,2,0,0,0,0,0,clean_or_minor
TP_0064,9999.99999996453,420.45616201153416,0.04204561620130255,3,0,0,0,0,0,moderate_confounding
TP_0065,10000.000000062028,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0066,9999.99999994343,144.6622946066724,0.014466229460749075,1,0,0,0,0,0,clean_or_minor
TP_0067,10000.00000018481,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0068,9999.999999849388,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0069,10000.000000011278,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0070,9999.99999997035,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0071,10000.000000061664,77.58453056068191,0.00775845305602035,0,0,0,2,0,0,clean_or_minor
TP_0072,9999.99999986885,156.66843901340172,0.01566684390154564,2,0,0,0,0,0,clean_or_minor
TP_0073,10000.000000033288,197.33758642300012,0.019733758642234322,5,0,0,0,0,0,clean_or_minor
TP_0074,10000.000000060027,629.324159903386,0.06293241598996084,8,0,0,0,0,0,moderate_confounding
TP_0075,10000.000000010368,233.00175043007448,0.02330017504298329,3,0,0,0,0,0,moderate_confounding
TP_0076,9999.999999886313,123.62825662936461,0.01236282566307701,2,0,0,0,0,0,clean_or_minor
TP_0077,10000.00000005075,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0078,9999.999999997817,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0079,10000.000000088585,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0080,10000.000000037107,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0081,9999.999999911233,126.77320155785307,0.012677320155897839,2,0,0,0,0,0,clean_or_minor
TP_0082,9999.999999929241,868.9689518479482,0.08689689518540969,8,0,0,0,0,0,moderate_confounding
TP_0083,10000.000000095497,355.844812608971,0.03558448126055728,4,0,0,0,0,0,moderate_confounding
TP_0084,9999.999999973443,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0085,9999.999999916145,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0086,10000.000000147156,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0087,9999.999999881584,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0088,10000.00000000764,7324.81831223162,0.7324818312226025,0,0,6,0,1,0,major_confounding
TP_0089,10000.000000034925,3765.952710493418,0.3765952710480266,0,0,5,0,1,0,major_confounding
TP_0090,9999.999999990905,748.4908672022659,0.07484908672029467,0,0,2,0,0,0,moderate_confounding
TP_0091,10000.000000019645,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0092,10000.00000004784,91.83107443078055,0.009183107443034123,0,0,0,1,0,0,clean_or_minor
TP_0093,9999.999999924694,91.56556341489132,0.009156556341558085,1,0,0,1,0,0,clean_or_minor
TP_0094,10000.000000088403,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0095,9999.999999899592,1586.305055586426,0.1586305055602354,0,0,0,0,1,0,major_confounding
TP_0096,10000.000000066939,1013.5919553334851,0.10135919553267002,0,0,0,0,1,0,major_confounding
TP_0097,9999.999999950342,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0098,10000.000000047294,170.08483069679033,0.017008483069598596,1,0,0,2,0,0,clean_or_minor
TP_0099,9999.999999927786,396.360543448092,0.03963605434509543,3,0,0,1,0,0,moderate_confounding
TP_0100,10000.000000023829,17.232444034384308,0.0017232444034343244,1,0,0,0,0,0,clean_or_minor
TP_0101,9999.999999979264,19.48867954318264,0.0019488679543223054,0,0,0,1,0,0,clean_or_minor
TP_0102,9999.99999999909,672.7692002322929,0.0672769200232354,4,0,0,1,0,0,moderate_confounding
TP_0103,10000.000000012733,126.7699439124714,0.012676994391231,2,0,0,0,0,0,clean_or_minor
TP_0104,10000.000000033288,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0105,9999.999999923057,537.1429707848057,0.053714297078893865,1,0,0,1,1,0,moderate_confounding
TP_0106,10000.00000008913,1466.252677695889,0.14662526776828202,0,0,0,1,1,0,major_confounding
TP_0107,9999.999999894499,603.5554675010077,0.06035554675073753,0,0,0,0,1,0,moderate_confounding
TP_0108,10000.000000121145,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0109,10000.00000006512,47.193353117048694,0.004719335311674137,1,0,0,0,0,0,clean_or_minor
