time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,wind_speed_10m_ms,source,source_lat,source_lon,forecast_timezone,forecast_spatial_note,location_id
2026-05-10 00:00:00+08:00,26.9,93,0.39,0.0,0.0,0.0,100,0.39,open-meteo,1.3005272,103.862564,Asia/Singapore,"Open-Meteo is used as neighbourhood background meteorology; intra-Toa Payoh spatial variation is generated by grid features/statistical downscaling, not by a 1-km Singapore forecast model.",background
2026-05-10 01:00:00+08:00,27.0,91,1.84,0.0,0.0,0.0,100,1.84,open-meteo,1.3005272,103.862564,Asia/Singapore,"Open-Meteo is used as neighbourhood background meteorology; intra-Toa Payoh spatial variation is generated by grid features/statistical downscaling, not by a 1-km Singapore forecast model.",background
2026-05-10 02:00:00+08:00,27.2,90,1.69,0.0,0.0,0.0,99,1.69,open-meteo,1.3005272,103.862564,Asia/Singapore,"Open-Meteo is used as neighbourhood background meteorology; intra-Toa Payoh spatial variation is generated by grid features/statistical downscaling, not by a 1-km Singapore forecast model.",background
2026-05-10 03:00:00+08:00,27.0,91,1.37,0.0,0.0,0.0,98,1.37,open-meteo,1.3005272,103.862564,Asia/Singapore,"Open-Meteo is used as neighbourhood background meteorology; intra-Toa Payoh spatial variation is generated by grid features/statistical downscaling, not by a 1-km Singapore forecast model.",background
2026-05-10 04:00:00+08:00,26.8,91,1.35,0.0,0.0,0.0,99,1.35,open-meteo,1.3005272,103.862564,Asia/Singapore,"Open-Meteo is used as neighbourhood background meteorology; intra-Toa Payoh spatial variation is generated by grid features/statistical downscaling, not by a 1-km Singapore forecast model.",background
2026-05-10 05:00:00+08:00,26.5,91,1.53,0.0,0.0,0.0,99,1.53,open-meteo,1.3005272,103.862564,Asia/Singapore,"Open-Meteo is used as neighbourhood background meteorology; intra-Toa Payoh spatial variation is generated by grid features/statistical downscaling, not by a 1-km Singapore forecast model.",background
2026-05-10 06:00:00+08:00,26.5,91,1.19,0.0,0.0,0.0,98,1.19,open-meteo,1.3005272,103.862564,Asia/Singapore,"Open-Meteo is used as neighbourhood background meteorology; intra-Toa Payoh spatial variation is generated by grid features/statistical downscaling, not by a 1-km Singapore forecast model.",background
2026-05-10 07:00:00+08:00,26.3,91,1.07,0.0,0.0,0.0,98,1.07,open-meteo,1.3005272,103.862564,Asia/Singapore,"Open-Meteo is used as neighbourhood background meteorology; intra-Toa Payoh spatial variation is generated by grid features/statistical downscaling, not by a 1-km Singapore forecast model.",background
2026-05-10 08:00:00+08:00,27.2,91,1.43,63.0,29.0,34.0,100,1.43,open-meteo,1.3005272,103.862564,Asia/Singapore,"Open-Meteo is used as neighbourhood background meteorology; intra-Toa Payoh spatial variation is generated by grid features/statistical downscaling, not by a 1-km Singapore forecast model.",background
2026-05-10 09:00:00+08:00,28.7,82,1.22,272.0,185.0,87.0,83,1.22,open-meteo,1.3005272,103.862564,Asia/Singapore,"Open-Meteo is used as neighbourhood background meteorology; intra-Toa Payoh spatial variation is generated by grid features/statistical downscaling, not by a 1-km Singapore forecast model.",background
