review_layer,qa_target_type,qa_category,qa_priority_score,building_id,cell_id,source_name,area_m2,height_m,height_source,height_confidence,height_warning,review_status,manual_decision,manual_height_m,manual_notes,source_priority,source_building_id,height_m_original,height_source_original,levels_original,building_type_original,confidence_original,raw_properties_json,candidate_id,geometry_source,is_ml_source,dedup_status,source_candidates,source_candidate_ids,n_source_candidates,best_iou,levels_promoted_from_source,levels_promoted_from_id,promoted_fields,type_promoted_from_source,type_promoted_from_id,height_promoted_from_source,height_promoted_from_id,lu_desc_v10,intersects_v09_tile,v09_tile_types,v09_tile_ids,matched_canonical_idx,match_idx,match_iou,match_candidate_overlap,match_existing_overlap,match_area_ratio,match_centroid_distance,old_dsm_area_m2,new_dsm_area_m2,osm_area_m2,osm_count_intersections,old_vs_osm_completeness,new_vs_osm_completeness,coverage_gain_vs_osm,new_minus_old_dsm_area_m2,hazard_rank_true_v08,risk_rank_v08_conditioned,risk_rank_v08_social_conditioned,hazard_score,max_utci_c,old_hazard_rank
building,building,large_low_confidence_building;transport_shelter_overhead_candidate;very_large_default_height_building,25.0,v10_bldg_000690,,osm,19921.192686517883,4.0,type_default_shelter,medium_low,possible_shelter_not_ground_up_building,todo,,,,3.0,osm_93037787,,height,,roof,,"{ ""osm_id"": ""93037787"", ""source_name"": ""osm"", ""building"": ""roof"", ""layer"": ""1"", ""raw_tags_json"": ""{ \""building\"": \""roof\"", \""building:use\"": \""MRT\"", \""layer\"": \""1\"", \""railway\"": \""workshop\"", \""source\"": \""Bing\"" }"", ""area_m2"": ""19921.192686517883"" }",cand_osm_000009,osm,False,accepted_new,osm,osm_93037787,1.0,0.0,,,,,,,,TRANSPORT FACILITIES,False,,,,,,,,,,,,,,,,,,,,,,,
building,building,critical_tile_building_review;large_low_confidence_building;transport_shelter_overhead_candidate;very_large_default_height_building,23.285,v10_bldg_000746,,osm,3284.928264863762,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,todo,,,,3.0,osm_132001469,,height,,yes,,"{ ""osm_id"": ""132001469"", ""source_name"": ""osm"", ""building"": ""yes"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""970\"", \""addr:postcode\"": \""318992\"", \""addr:street\"": \""Toa Payoh North\"", \""building\"": \""yes\"", \""source\"": \""Bing\"" }"", ""area_m2"": ""3284.928264863762"" }",cand_osm_000295,osm,False,accepted_new,osm,osm_132001469,1.0,0.0,,,,,,,,BUSINESS 1,True,social_risk_top,T03_social_risk_top,,,,,,,,,,,,,,,,,,,,,
building,building,critical_tile_building_review;large_low_confidence_building;transport_shelter_overhead_candidate;very_large_default_height_building,23.02,v10_bldg_000754,,osm,3019.6807792654854,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,todo,,,,3.0,osm_169525490,,height,,yes,,"{ ""osm_id"": ""169525490"", ""source_name"": ""osm"", ""building"": ""yes"", ""name"": ""Motor Image Toa Payoh (Subaru)"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""19\"", \""addr:postcode\"": \""319255\"", \""addr:street\"": \""Lorong 8 Toa Payoh\"", \""building\"": \""yes\"", \""name\"": \""Motor Image Toa Payoh (Subaru)\"", \""phone\"": \""+65 6703 8101\"", \""website\"": \""https:\\\/\\\/www.subaru.asia\\\/mig\\\/en\\\/home\\\/\"" }"", ""area_m2"": ""3019.6807792654854"" }",cand_osm_000382,osm,False,accepted_new,osm,osm_169525490,1.0,0.0,,,,,,,,BUSINESS 1,True,overhead_confounded_hazard_case,T06_overhead_confounded_hazard_case,,,,,,,,,,,,,,,,,,,,,
building,building,critical_tile_building_review;large_low_confidence_building;transport_shelter_overhead_candidate,22.807,v10_bldg_000764,,osm,2806.829500003192,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,todo,,,,3.0,osm_169525484,,height,,yes,,"{ ""osm_id"": ""169525484"", ""source_name"": ""osm"", ""building"": ""yes"", ""name"": ""Tesla Singapore - Toa Payoh"", ""raw_tags_json"": ""{ \""addr:street\"": \""Lorong 8 Toa Payoh\"", \""brand\"": \""Tesla\"", \""brand:wikidata\"": \""Q478214\"", \""building\"": \""yes\"", \""contact:email\"": \""singapore@tesla.com\"", \""contact:phone\"": \""+65 800 492 2289\"", \""name\"": \""Tesla Singapore - Toa Payoh\"", \""opening_hours\"": \""Mo 10:00-18:00; Tu-Su 10:00-19:00\"", \""operator\"": \""Nissan\"", \""service:vehicle:car_repair\"": \""yes\"", \""shop\"": \""car\"", \""website\"": \""https:\\\/\\\/www.tesla.com\\\/en_sg\"" }"", ""area_m2"": ""2806.829500003192"" }",cand_osm_000378,osm,False,accepted_new,osm,osm_169525484,1.0,0.0,,,,,,,,BUSINESS 1,True,overhead_confounded_hazard_case,T06_overhead_confounded_hazard_case,,,,,,,,,,,,,,,,,,,,,
building,building,critical_tile_building_review;large_low_confidence_building;transport_shelter_overhead_candidate,22.624,v10_bldg_000775,,osm,2623.7290752734393,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,todo,,,,3.0,osm_55622064,,height,,office,,"{ ""osm_id"": ""55622064"", ""source_name"": ""osm"", ""building"": ""office"", ""name"": ""Philips TP4"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""5\"", \""addr:street\"": \""Toa Payoh West\"", \""building\"": \""office\"", \""name\"": \""Philips TP4\"" }"", ""area_m2"": ""2623.7290752734393"" }",cand_osm_000002,osm,False,accepted_new,osm,osm_55622064,1.0,0.0,,,,,,,,BUSINESS 1,True,conservative_risk_top,T02_conservative_risk_top,,,,,,,,,,,,,,,,,,,,,
building,building,critical_tile_building_review;large_low_confidence_building;transport_shelter_overhead_candidate,22.503,v10_bldg_000786,,osm,2502.9815515725622,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,todo,,,,3.0,osm_169525486,,height,,yes,,"{ ""osm_id"": ""169525486"", ""source_name"": ""osm"", ""building"": ""yes"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""13\"", \""addr:street\"": \""Lorong 8 Toa Payoh\"", \""building\"": \""yes\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""2502.9815515725622"" }",cand_osm_000379,osm,False,accepted_new,osm,osm_169525486,1.0,0.0,,,,,,,,BUSINESS 1,True,overhead_confounded_hazard_case,T06_overhead_confounded_hazard_case,,,,,,,,,,,,,,,,,,,,,
building,building,critical_tile_building_review;large_low_confidence_building;transport_shelter_overhead_candidate,22.1,v10_bldg_000814,,osm,2100.478100020775,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,todo,,,,3.0,osm_169525481,,height,,yes,,"{ ""osm_id"": ""169525481"", ""source_name"": ""osm"", ""building"": ""yes"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""15\"", \""addr:street\"": \""Lorong 8 Toa Payoh\"", \""building\"": \""yes\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""2100.478100020775"" }",cand_osm_000377,osm,False,accepted_new,osm,osm_169525481,1.0,0.0,,,,,,,,BUSINESS 1,True,overhead_confounded_hazard_case,T06_overhead_confounded_hazard_case,,,,,,,,,,,,,,,,,,,,,
building,building,critical_tile_building_review;transport_shelter_overhead_candidate,22.0,v10_bldg_000695,,osm,12508.786350376533,9.0,osm_levels_x_3m:levels_original,medium_high,,todo,,,,3.0,osm_408630599,,height,3.0,retail,,"{ ""osm_id"": ""408630599"", ""source_name"": ""osm"", ""building"": ""retail"", ""building_levels"": ""3"", ""name"": ""The Poiz Mall"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:country\"": \""SG\"", \""addr:housenumber\"": \""51\"", \""addr:postcode\"": \""347697\"", \""addr:street\"": \""Upper Serangoon Road\"", \""building\"": \""retail\"", \""building:levels\"": \""3\"", \""email\"": \""contact@thepoizcentre.com.sg\"", \""name\"": \""The Poiz Mall\"", \""opening_hours\"": \""10:00-22:00\"", \""phone\"": \""+65 88663773\"", \""website\"": \""https:\\\/\\\/thepoizcentre.com.sg\\\/\"" }"", ""area_m2"": ""12508.786350376533"" }",cand_osm_001283,osm,False,accepted_new,osm,osm_408630599,1.0,0.0,,,,,,,,COMMERCIAL & RESIDENTIAL,True,clean_hazard_top,T01_clean_hazard_top,,,,,,,,,,,,,,,,,,,,,
building,building,critical_tile_building_review;large_low_confidence_building;transport_shelter_overhead_candidate,21.857,v10_bldg_000838,,osm,1857.4409540170327,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,todo,,,,3.0,osm_169525488,,height,,yes,,"{ ""osm_id"": ""169525488"", ""source_name"": ""osm"", ""building"": ""yes"", ""raw_tags_json"": ""{ \""building\"": \""yes\"" }"", ""area_m2"": ""1857.4409540170327"" }",cand_osm_000380,osm,False,accepted_new,osm,osm_169525488,1.0,0.0,,,,,,,,BUSINESS 1,True,overhead_confounded_hazard_case,T06_overhead_confounded_hazard_case,,,,,,,,,,,,,,,,,,,,,
building,building,critical_tile_building_review;transport_shelter_overhead_candidate,20.794,v10_bldg_000701,,osm,8794.443540060085,18.0,osm_levels_x_3m:levels_original,medium_high,,todo,,,,3.0,osm_55620267,,height,6.0,office,,"{ ""osm_id"": ""55620267"", ""source_name"": ""osm"", ""building"": ""office"", ""building_levels"": ""6"", ""roof_levels"": ""1"", ""layer"": ""1"", ""name"": ""Philips TP2"", ""raw_tags_json"": ""{ \""addr:housenumber\"": \""622\"", \""addr:postcode\"": \""319763\"", \""addr:street\"": \""Lorong 1 Toa Payoh\"", \""building\"": \""office\"", \""building:levels\"": \""6\"", \""layer\"": \""1\"", \""name\"": \""Philips TP2\"", \""roof:levels\"": \""1\"" }"", ""area_m2"": ""8794.443540060085"" }",cand_osm_000001,osm,False,accepted_new,osm,osm_55620267,1.0,0.0,,,,,,,,BUSINESS 1,True,conservative_risk_top,T02_conservative_risk_top,,,,,,,,,,,,,,,,,,,,,
building,building,large_low_confidence_building;transport_shelter_overhead_candidate;very_large_default_height_building,20.484,v10_bldg_000714,,osm,5484.18089295147,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,todo,,,,3.0,osm_550568842,,height,,yes,,"{ ""osm_id"": ""550568842"", ""source_name"": ""osm"", ""building"": ""yes"", ""name"": ""Block B"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""11\"", \""addr:postcode\"": \""319579\"", \""addr:street\"": \""Lorong 3 Toa Payoh\"", \""building\"": \""yes\"", \""name\"": \""Block B\"" }"", ""area_m2"": ""5484.18089295147"" }",cand_osm_002848,osm,False,accepted_new,osm,osm_550568842,1.0,0.0,,,,,,,,BUSINESS 1,False,,,,,,,,,,,,,,,,,,,,,,,
building,building,large_low_confidence_building;transport_shelter_overhead_candidate;very_large_default_height_building,18.977,v10_bldg_000732,,osm,3977.432408574922,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,todo,,,,3.0,osm_220821669,,height,,yes,,"{ ""osm_id"": ""220821669"", ""source_name"": ""osm"", ""building"": ""yes"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""49\"", \""addr:street\"": \""Jalan Pemimpin\"", \""building\"": \""yes\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""3977.432408574922"" }",cand_osm_000646,osm,False,accepted_new,osm,osm_220821669,1.0,0.0,,,,,,,,BUSINESS 1,False,,,,,,,,,,,,,,,,,,,,,,,
building,building,critical_tile_building_review;large_low_confidence_building;very_large_default_height_building,18.75,v10_bldg_000712,,osm,5750.200944475479,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,todo,,,,3.0,osm_1047369053,,height,,yes,,"{ ""osm_id"": ""1047369053"", ""source_name"": ""osm"", ""building"": ""yes"", ""raw_tags_json"": ""{ \""building\"": \""yes\"" }"", ""area_m2"": ""5750.200944475479"" }",cand_osm_003730,osm,False,accepted_new,osm,osm_1047369053,1.0,0.0,,,,,,,,RESERVE SITE,True,clean_shaded_reference;overhead_confounded_hazard_case,T05_clean_shaded_reference;T06_overhead_confounded_hazard_case,,,,,,,,,,,,,,,,,,,,,
building,building,large_low_confidence_building;transport_shelter_overhead_candidate;very_large_default_height_building,18.27,v10_bldg_000748,,osm,3269.8651097721618,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,todo,,,,3.0,osm_116950383,,height,,yes,,"{ ""osm_id"": ""116950383"", ""source_name"": ""osm"", ""building"": ""yes"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""1\"", \""addr:street\"": \""Sector C Sin Ming Ind Estate\"", \""building\"": \""yes\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""3269.8651097721618"" }",cand_osm_000219,osm,False,accepted_new,osm,osm_116950383,1.0,0.0,,,,,,,,BUSINESS 1,False,,,,,,,,,,,,,,,,,,,,,,,
