target_type,target_id,manual_decision,status
building,v10_bldg_000690,move_to_overhead_dsm_or_remove,applied
conflict,ura_619,merge_conflict,applied
conflict,ura_98,merge_conflict,applied
conflict,osm_271792805,merge_conflict,applied
conflict,osm_724661186,merge_conflict,applied
conflict,osm_103290607,merge_conflict,applied
conflict,osm_320899805,merge_conflict,applied
conflict,ura_417,merge_conflict,applied
conflict,osm_169227975,merge_conflict,applied
conflict,ura_187,merge_conflict,applied
conflict,osm_1025757368,merge_conflict,applied
conflict,osm_818020477,merge_conflict,applied
conflict,osm_818020475,merge_conflict,applied
conflict,osm_320899575,merge_conflict,applied
conflict,ura_161,merge_conflict,applied
conflict,ura_236,merge_conflict,applied
conflict,osm_170067545,merge_conflict,applied
conflict,ura_309,merge_conflict,applied
conflict,osm_724661187,merge_conflict,applied
conflict,osm_103406723,merge_conflict,applied
conflict,osm_103406722,merge_conflict,applied
manual_missing,v10_manual_missing_0001,append_manual_missing_building,applied
manual_missing,v10_manual_missing_0002,append_manual_missing_building,applied
manual_missing,v10_manual_missing_0003,append_manual_missing_building,applied
manual_missing,v10_manual_missing_0004,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5250,append_manual_missing_building,applied
manual_missing,v10_manual_missing_0005,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5252,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5253,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5254,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5255,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5256,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5257,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5258,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5259,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5260,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5261,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5262,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5263,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5264,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5265,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5266,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5267,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5268,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5269,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5270,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5271,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5272,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5273,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5274,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5275,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5276,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5277,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5278,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5279,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5280,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5281,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5282,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5283,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5284,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5285,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5286,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5287,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5288,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5289,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5290,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5291,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5292,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5293,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5294,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5295,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5296,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5297,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5298,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5299,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5300,append_manual_missing_building,applied
manual_missing,v10_manual_missing_0042,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5302,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5303,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5304,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5305,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5306,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5307,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5308,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5309,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5310,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5311,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5312,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5313,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5314,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5315,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5316,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5317,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5318,append_manual_missing_building,applied
manual_missing,v10_manual_missing_5319,append_manual_missing_building,applied
