cell_id,hazard_score_v08,rank_v08_hazard_score,hazard_score_v10,rank_v10_hazard_score,rank_change_v08_minus_v10,is_old_dsm_gap_false_positive_candidate
TP_0849,0.7208228685872438,8.0,0.680415625584943,66.0,-58.0,True
TP_0923,0.7132669931111668,17.0,0.6701012741397581,89.0,-72.0,True
TP_0027,0.7153817467720393,15.0,0.6869573012744764,50.0,-35.0,True
TP_0820,0.7126581961056525,19.0,0.6557376727327601,97.0,-78.0,True
TP_0876,0.7129364355248445,18.0,0.6284489329629591,143.0,-125.0,True
TP_0638,0.715620184359219,14.0,0.6778337451905151,70.0,-56.0,True
TP_0986,0.7183850444334857,10.0,0.7181390916669094,19.0,-9.0,True
TP_0011,0.6947913640703177,41.0,0.681447975637749,64.0,-23.0,True
TP_0012,0.7104770564056284,21.0,0.6836996350401505,58.0,-37.0,True
TP_0030,0.6999326886780332,33.0,0.7024794244297159,34.0,-1.0,True
TP_0985,0.7204764652845331,9.0,0.7011120066133673,35.0,-26.0,True
TP_0028,0.6977906087940797,39.0,0.6723345337471582,83.0,-44.0,True
TP_0760,0.7019943544850712,29.0,0.604341236615077,174.0,-145.0,True
TP_0847,0.7018966039421165,30.0,0.6362735574518856,127.0,-97.0,True
TP_0577,0.6853271172052787,52.0,0.6292557702255417,140.0,-88.0,False
TP_0606,0.6845945076127764,55.0,0.6371146226552846,125.0,-70.0,False
TP_0984,0.7162028418269001,12.0,0.6939741094522868,40.0,-28.0,True
TP_0788,0.679657570529504,63.0,0.5904849371410678,201.0,-138.0,False
TP_0758,0.6757024831740089,68.0,0.5941126357139839,197.0,-129.0,False
TP_0848,0.7039758316020766,27.0,0.6549222531988271,98.0,-71.0,True
TP_0902,0.701876905005116,31.0,0.6238474464791105,153.0,-122.0,True
TP_0819,0.6867759455104174,47.0,0.6252102456225794,150.0,-103.0,True
TP_0879,0.693324270137611,43.0,0.6085278896032958,171.0,-128.0,True
TP_0036,0.6655851827784549,82.0,0.6234829013989762,155.0,-73.0,False
TP_0042,0.7084148614847006,23.0,0.672531275080463,82.0,-59.0,True
TP_0452,0.682810042237929,59.0,0.7117349286712051,26.0,33.0,False
TP_0903,0.6545398988677632,100.0,0.594810586737079,196.0,-96.0,False
TP_0955,0.6929690333131605,44.0,0.587907630622908,203.0,-159.0,True
TP_0850,0.6888874165032199,45.0,0.62872935295281,141.0,-96.0,True
TP_0655,0.641504515386005,120.0,0.6827149947048892,63.0,57.0,False
TP_0983,0.7047586357461876,24.0,0.6778545016134121,68.0,-44.0,True
TP_0878,0.6860451337393648,50.0,0.5730906028279474,223.0,-173.0,True
TP_0088,0.7471534438014392,1.0,0.7540806862473973,1.0,0.0,False
TP_0931,0.6691986244436822,77.0,0.6420585517747692,120.0,-43.0,False
TP_0637,0.6835043426185201,56.0,0.6096408883561129,167.0,-111.0,False
TP_0846,0.6315183425419187,135.0,0.6018292089989955,179.0,-44.0,False
TP_0982,0.6649205578759015,85.0,0.6479675089810012,111.0,-26.0,False
TP_0752,0.6648442323089604,86.0,0.6004247661826513,181.0,-95.0,False
TP_0877,0.6388128274401024,125.0,0.5358077708276944,278.0,-153.0,False
TP_0605,0.6531004452589938,104.0,0.626279901222456,147.0,-43.0,False
TP_0956,0.6548757237390639,99.0,0.5511672962523205,257.0,-158.0,False
TP_0662,0.6218035356974613,147.0,0.5829287830172788,207.0,-60.0,False
TP_0078,0.6502476380455128,110.0,0.6878758310821961,47.0,63.0,False
TP_0957,0.6202592670973895,148.0,0.5829135983024084,208.0,-60.0,False
TP_0954,0.6862766989958594,49.0,0.6834287691890496,60.0,-11.0,True
TP_0001,0.6177714595787427,156.0,0.5938137601450649,198.0,-42.0,False
TP_0460,0.7168590116224683,11.0,0.7397577589624206,3.0,8.0,False
TP_0924,0.6089794215423507,166.0,0.5746733153793202,221.0,-55.0,False
TP_0116,0.7331545729845858,2.0,0.7135363447598606,23.0,-21.0,True
TP_0348,0.599026243025491,179.0,0.5669184515157067,229.0,-50.0,False
TP_0575,0.7113938494899958,20.0,0.7362715334723939,5.0,15.0,False
TP_0753,0.633687306739613,131.0,0.5609938844915336,239.0,-108.0,False
TP_0041,0.6596725550994448,96.0,0.5936048970128247,199.0,-103.0,False
TP_0564,0.7211238662880441,7.0,0.722061452970123,15.0,-8.0,True
TP_0922,0.6125299059510937,161.0,0.5651580665159144,233.0,-72.0,False
TP_0089,0.7237155569558886,6.0,0.7207604106011732,16.0,-10.0,False
TP_0171,0.7042330656991791,26.0,0.7315705557117919,6.0,20.0,False
TP_0875,0.6687157471731742,78.0,0.5759047819341303,218.0,-140.0,False
TP_0419,0.5926678624459764,189.0,0.5457891304238761,263.0,-74.0,False
TP_0653,0.6093296802974899,165.0,0.6392809790007434,123.0,42.0,False
TP_0034,0.5925337040643067,190.0,0.5965268647436822,187.0,3.0,False
TP_0684,0.6147249350960323,159.0,0.6485191909635676,109.0,50.0,False
TP_0696,0.6458432281553574,117.0,0.5281762623333317,289.0,-172.0,False
TP_0766,0.697917230041795,38.0,0.7255016667367133,10.0,28.0,False
TP_0389,0.5855261195512471,198.0,0.6223064335223449,156.0,42.0,False
TP_0761,0.6273149101642929,141.0,0.5652693462462633,232.0,-91.0,False
TP_0742,0.59794275904625,182.0,0.6299985651733809,139.0,43.0,False
TP_0120,0.698931484135732,34.0,0.7232450398772873,13.0,21.0,False
TP_0732,0.5828930579430133,203.0,0.5802259680939138,212.0,-9.0,False
TP_0873,0.5944053033130874,186.0,0.5554609693926986,253.0,-67.0,False
TP_0709,0.6063930831637139,171.0,0.6524736697075103,103.0,68.0,False
TP_0060,0.729530918584117,5.0,0.7047495648640012,32.0,-27.0,False
TP_0720,0.6503103431456031,109.0,0.5530647304704978,255.0,-146.0,False
TP_0315,0.7092979724405435,22.0,0.7228146165944079,14.0,8.0,True
TP_0782,0.6805511772110031,62.0,0.6406005820582005,122.0,-60.0,False
TP_0727,0.697932168222808,37.0,0.6523378980685537,104.0,-67.0,True
TP_0144,0.6849351007056598,54.0,0.7150522327173847,21.0,33.0,False
TP_0059,0.730192107045208,4.0,0.7381973430429909,4.0,0.0,False
TP_0003,0.7145702205039032,16.0,0.7197039341344056,18.0,-2.0,False
TP_0572,0.7024892878445922,28.0,0.7235961628168085,12.0,16.0,False
TP_0565,0.7156407219594539,13.0,0.7271600160094414,9.0,4.0,True
TP_0087,0.6189004170074257,152.0,0.6350502675549686,129.0,23.0,False
TP_0794,0.6768673853493639,66.0,0.6415079756217504,121.0,-55.0,False
TP_0104,0.5897459850668642,193.0,0.6237209419806028,154.0,39.0,False
TP_0200,0.6749021275007864,71.0,0.7038727013254489,33.0,38.0,False
TP_0373,0.6729407610450938,73.0,0.7281587064427889,8.0,65.0,False
TP_0786,0.6885785711332593,46.0,0.6757749320274462,74.0,-28.0,True
TP_0623,0.6262731919245433,143.0,0.6606931350951009,95.0,48.0,False
TP_0754,0.6011382194845541,176.0,0.5466379432683875,261.0,-85.0,False
TP_0756,0.6988817809230385,35.0,0.6340136897899865,133.0,-98.0,True
TP_0610,0.731807059007626,3.0,0.7430527677609041,2.0,1.0,False
TP_0904,0.6184106930706847,153.0,0.5378133888157907,275.0,-122.0,False
TP_0040,0.6123622545955675,162.0,0.4972383467785956,341.0,-179.0,False
TP_0713,0.571235231047164,219.0,0.5984851528281036,184.0,35.0,False
TP_0243,0.6852227238943891,53.0,0.6612370333689347,94.0,-41.0,False
TP_0501,0.6322654964643473,134.0,0.6628808760651643,93.0,41.0,False
TP_0908,0.5515814345413618,244.0,0.5292516921706526,287.0,-43.0,False
TP_0816,0.6832749643513284,57.0,0.671210976534788,86.0,-29.0,False
TP_0607,0.6697518301776544,75.0,0.6663733070942478,91.0,-16.0,False
TP_0344,0.6604017180542141,95.0,0.7312525891547828,7.0,88.0,False
TP_0787,0.6987412945333553,36.0,0.6732200133208733,79.0,-43.0,True
TP_0378,0.6856716245342569,51.0,0.7070836606786776,30.0,21.0,False
TP_0636,0.6000142632925849,178.0,0.5325775468258728,281.0,-103.0,False
TP_0237,0.5518296476494144,243.0,0.5758501616485647,219.0,24.0,False
TP_0234,0.6760476728663246,67.0,0.674062642689174,76.0,-9.0,False
TP_0654,0.5606688882014326,230.0,0.6042437739981494,175.0,55.0,False
TP_0574,0.6472860684544969,114.0,0.6765369777162383,73.0,41.0,False
TP_0656,0.5560619675039176,237.0,0.5961991074614758,190.0,47.0,False
TP_0473,0.6482483710621957,111.0,0.686647763292053,52.0,59.0,False
TP_0077,0.5832717895784276,202.0,0.6262125009510776,148.0,54.0,False
TP_0962,0.5870460337429539,197.0,0.6742484207866707,75.0,122.0,False
TP_0489,0.6473871286000328,113.0,0.6778478894354973,69.0,44.0,False
TP_0145,0.6698702350024501,74.0,0.6794354674427361,67.0,7.0,False
TP_0724,0.5749036806338536,212.0,0.4865104168409288,356.0,-144.0,False
TP_0142,0.6516140127314018,107.0,0.6773707960019909,72.0,35.0,False
TP_0117,0.6609066098789357,93.0,0.6906228146203893,43.0,50.0,False
TP_0394,0.5692124724879836,222.0,0.5783584265318235,214.0,8.0,False
TP_0953,0.5283057124115652,277.0,0.5179959286999287,308.0,-31.0,False
TP_0103,0.5635616493459923,224.0,0.5956303132410627,194.0,30.0,False
TP_0796,0.5270168135682649,278.0,0.5554979101423165,252.0,26.0,False
TP_0544,0.7001767306188182,32.0,0.7005686229380671,36.0,-4.0,False
TP_0925,0.6647694995157651,87.0,0.6739102688466493,77.0,10.0,False
TP_0258,0.652329158903589,106.0,0.6734749076369824,78.0,28.0,False
TP_0471,0.5376920344052826,261.0,0.5712700274110456,227.0,34.0,False
TP_0229,0.6379429816552692,127.0,0.6713350869654026,85.0,42.0,False
TP_0581,0.5125007770161768,298.0,0.5419312719080123,269.0,29.0,False
