n,mae,rmse,bias,r2,model,cv_scheme,n_folds,n_features,wbgt_ge_31_precision,wbgt_ge_31_recall,wbgt_ge_31_f1,wbgt_ge_31_tp,wbgt_ge_31_fp,wbgt_ge_31_fn,wbgt_ge_33_precision,wbgt_ge_33_recall,wbgt_ge_33_f1,wbgt_ge_33_tp,wbgt_ge_33_fp,wbgt_ge_33_fn
1674,1.472012317993481,2.09503101491062,-1.3504609966000118,0.14166795466596593,M0_raw_proxy,loso,27,0,,0.0,,0,0,204,,0.0,,0,0,15
1674,1.3222693968387491,1.6043544605465327,5.942412365974553e-17,0.4966442132268969,M1_global_bias,loso,27,0,,0.0,,0,0,204,,0.0,,0,0,15
1674,0.7876953786174439,1.0766898539250467,-6.791328418256632e-17,0.773297841743721,M1b_period_bias,loso,27,0,0.5663716814159292,0.3137254901960784,0.4037854889589905,64,49,140,,0.0,,0,0,15
1674,1.1246238584532224,1.4363246235596798,-0.0004479820197466116,0.596559377431712,M2_linear_proxy,loso,27,1,0.7333333333333333,0.10784313725490197,0.18803418803418806,22,8,182,,0.0,,0,0,15
1674,0.6483717248549112,0.8715916915883802,0.0014117796510573987,0.8514404493758808,M3_weather_ridge,loso,27,14,0.6730769230769231,0.5147058823529411,0.5833333333333334,105,51,99,0.0,0.0,,0,5,15
1674,0.6385250252038897,0.8615203579134916,0.001618638075090349,0.8548538561044305,M4_inertia_ridge,loso,27,18,0.6818181818181818,0.5882352941176471,0.631578947368421,120,56,84,,0.0,,0,0,15
1674,0.6824409157368426,0.9122512205350299,0.001403320186398088,0.8372566243975541,M5_v10_morphology_ridge,loso,27,15,0.7222222222222222,0.5735294117647058,0.639344262295082,117,45,87,,0.0,,0,0,15
1674,0.6824409157368398,0.9122512205350269,0.0014033201863892847,0.8372566243975552,M6_v10_overhead_ridge,loso,27,17,0.7222222222222222,0.5735294117647058,0.639344262295082,117,45,87,,0.0,,0,0,15
1674,0.6824409157368325,0.9122512205350195,0.001403320186408869,0.8372566243975579,M7_compact_weather_ridge,loso,27,8,0.7222222222222222,0.5735294117647058,0.639344262295082,117,45,87,,0.0,,0,0,15
1674,1.472012317993481,2.09503101491062,-1.3504609966000118,0.14166795466596593,M0_raw_proxy,time_block,5,0,,0.0,,0,0,204,,0.0,,0,0,15
1674,1.3182092461976818,1.627576835463837,-0.0824726033598858,0.4819670147895251,M1_global_bias,time_block,5,0,,0.0,,0,0,204,,0.0,,0,0,15
1674,0.8906391079763168,1.2182969365196388,-0.015623243617032805,0.709744326173333,M1b_period_bias,time_block,5,0,0.47706422018348627,0.2549019607843137,0.33226837060702874,52,57,152,0.0,0.0,,0,2,15
1674,1.1804201287476936,1.5080084704374195,-0.037554337210080155,0.5552847979212499,M2_linear_proxy,time_block,5,1,0.6481481481481481,0.1715686274509804,0.2713178294573643,35,19,169,0.0,0.0,,0,2,15
1674,0.7557932466296513,0.9871715852096129,0.013078716942801777,0.809427730536113,M3_weather_ridge,time_block,5,14,0.6107784431137725,0.5,0.549865229110512,102,65,102,,0.0,,0,0,15
1674,0.8141774934233972,1.0577795146065971,-0.20637996827671298,0.7811912335772428,M4_inertia_ridge,time_block,5,18,0.6491228070175439,0.3627450980392157,0.46540880503144655,74,40,130,,0.0,,0,0,15
1674,0.8133330744702856,1.102626011139339,0.05122163629761565,0.7622443313454816,M5_v10_morphology_ridge,time_block,5,15,0.5846153846153846,0.5588235294117647,0.5714285714285715,114,81,90,0.0,0.0,,0,2,15
1674,0.8133330744703428,1.1026260111394293,0.05122163629767165,0.7622443313454427,M6_v10_overhead_ridge,time_block,5,17,0.5846153846153846,0.5588235294117647,0.5714285714285715,114,81,90,0.0,0.0,,0,2,15
1674,0.8133330744703027,1.1026260111393662,0.05122163629763117,0.7622443313454699,M7_compact_weather_ridge,time_block,5,8,0.5846153846153846,0.5588235294117647,0.5714285714285715,114,81,90,0.0,0.0,,0,2,15
