dataset,model,operating_point,available,threshold_c,precision,recall,f1,tp,fp,fn
hourly_max,M3_weather_ridge,fixed_31,True,31.0,0.6730769230769231,0.5147058823529411,0.5833333333333334,105,51,99
hourly_max,M3_weather_ridge,best_F1,True,30.2,0.603225806451613,0.9166666666666666,0.7276264591439688,187,123,17
hourly_max,M3_weather_ridge,recall_90,True,30.2,0.603225806451613,0.9166666666666666,0.7276264591439688,187,123,17
hourly_max,M3_weather_ridge,precision_70,True,31.2,0.7011494252873564,0.29901960784313725,0.41924398625429554,61,26,143
hourly_max,M4_inertia_ridge,fixed_31,True,31.0,0.6818181818181818,0.5882352941176471,0.631578947368421,120,56,84
hourly_max,M4_inertia_ridge,best_F1,True,30.7,0.6826086956521739,0.7696078431372549,0.7235023041474655,157,73,47
hourly_max,M4_inertia_ridge,recall_90,True,30.0,0.5488505747126436,0.9362745098039216,0.6920289855072463,191,157,13
hourly_max,M4_inertia_ridge,precision_70,True,31.2,0.7027027027027027,0.38235294117647056,0.4952380952380953,78,33,126
hourly_max,M5_v10_morphology_ridge,fixed_31,True,31.0,0.7222222222222222,0.5735294117647058,0.639344262295082,117,45,87
hourly_max,M5_v10_morphology_ridge,best_F1,True,30.25,0.6204379562043796,0.8333333333333334,0.7112970711297072,170,104,34
hourly_max,M5_v10_morphology_ridge,recall_90,True,29.25,0.4921052631578947,0.9166666666666666,0.6404109589041096,187,193,17
hourly_max,M5_v10_morphology_ridge,precision_70,True,30.9,0.7125748502994012,0.5833333333333334,0.6415094339622641,119,48,85
hourly_max,M7_compact_weather_ridge,fixed_31,True,31.0,0.7222222222222222,0.5735294117647058,0.639344262295082,117,45,87
hourly_max,M7_compact_weather_ridge,best_F1,True,30.25,0.6204379562043796,0.8333333333333334,0.7112970711297072,170,104,34
hourly_max,M7_compact_weather_ridge,recall_90,True,29.25,0.4921052631578947,0.9166666666666666,0.6404109589041096,187,193,17
hourly_max,M7_compact_weather_ridge,precision_70,True,30.9,0.7125748502994012,0.5833333333333334,0.6415094339622641,119,48,85
