dataset,model,event_threshold_c,threshold_c,precision,recall,f1,tp,fp,fn,tn,n_pos,n_pred_pos
hourly_max,M3_weather_ridge,31.0,27.0,0.2901849217638691,1.0,0.44983461962513777,204,499,0,971,204,703
hourly_max,M3_weather_ridge,31.0,27.05,0.2918454935622318,1.0,0.4518272425249169,204,495,0,975,204,699
hourly_max,M3_weather_ridge,31.0,27.1,0.2935251798561151,1.0,0.45383759733036705,204,491,0,979,204,695
hourly_max,M3_weather_ridge,31.0,27.15,0.2952243125904486,1.0,0.4558659217877095,204,487,0,983,204,691
hourly_max,M3_weather_ridge,31.0,27.2,0.29694323144104806,1.0,0.45791245791245794,204,483,0,987,204,687
hourly_max,M3_weather_ridge,31.0,27.25,0.3022222222222222,1.0,0.4641638225255973,204,471,0,999,204,675
hourly_max,M3_weather_ridge,31.0,27.3,0.30402384500745155,1.0,0.4662857142857143,204,467,0,1003,204,671
hourly_max,M3_weather_ridge,31.0,27.35,0.3063063063063063,1.0,0.4689655172413793,204,462,0,1008,204,666
hourly_max,M3_weather_ridge,31.0,27.4,0.3124042879019908,1.0,0.47607934655775963,204,449,0,1021,204,653
hourly_max,M3_weather_ridge,31.0,27.45,0.3157894736842105,1.0,0.4799999999999999,204,442,0,1028,204,646
hourly_max,M3_weather_ridge,31.0,27.5,0.3177570093457944,1.0,0.48226950354609927,204,438,0,1032,204,642
hourly_max,M3_weather_ridge,31.0,27.55,0.31825273010920435,1.0,0.4828402366863905,204,437,0,1033,204,641
hourly_max,M3_weather_ridge,31.0,27.6,0.3202511773940345,1.0,0.4851367419738407,204,433,0,1037,204,637
hourly_max,M3_weather_ridge,31.0,27.65,0.3248407643312102,1.0,0.49038461538461536,204,424,0,1046,204,628
hourly_max,M3_weather_ridge,31.0,27.7,0.3274478330658106,1.0,0.49334945586457074,204,419,0,1051,204,623
hourly_max,M3_weather_ridge,31.0,27.75,0.32903225806451614,1.0,0.49514563106796117,204,416,0,1054,204,620
hourly_max,M3_weather_ridge,31.0,27.8,0.3333333333333333,1.0,0.5,204,408,0,1062,204,612
hourly_max,M3_weather_ridge,31.0,27.85,0.3371900826446281,1.0,0.5043263288009888,204,401,0,1069,204,605
hourly_max,M3_weather_ridge,31.0,27.9,0.3383084577114428,1.0,0.5055762081784386,204,399,0,1071,204,603
hourly_max,M3_weather_ridge,31.0,27.95,0.33943427620632277,1.0,0.506832298136646,204,397,0,1073,204,601
hourly_max,M3_weather_ridge,31.0,28.0,0.3411371237458194,1.0,0.5087281795511222,204,394,0,1076,204,598
hourly_max,M3_weather_ridge,31.0,28.05,0.3475298126064736,1.0,0.515802781289507,204,383,0,1087,204,587
hourly_max,M3_weather_ridge,31.0,28.1,0.34991423670668953,1.0,0.5184243964421855,204,379,0,1091,204,583
hourly_max,M3_weather_ridge,31.0,28.15,0.35111876075731496,1.0,0.5197452229299363,204,377,0,1093,204,581
hourly_max,M3_weather_ridge,31.0,28.2,0.35478260869565215,1.0,0.5237483953786906,204,371,0,1099,204,575
hourly_max,M3_weather_ridge,31.0,28.25,0.3591549295774648,1.0,0.5284974093264249,204,364,0,1106,204,568
hourly_max,M3_weather_ridge,31.0,28.3,0.35978835978835977,1.0,0.5291828793774319,204,363,0,1107,204,567
hourly_max,M3_weather_ridge,31.0,28.35,0.36428571428571427,1.0,0.5340314136125655,204,356,0,1114,204,560
hourly_max,M3_weather_ridge,31.0,28.4,0.3655913978494624,1.0,0.5354330708661417,204,354,0,1116,204,558
hourly_max,M3_weather_ridge,31.0,28.45,0.3675675675675676,1.0,0.5375494071146245,204,351,0,1119,204,555
hourly_max,M3_weather_ridge,31.0,28.5,0.3709090909090909,1.0,0.5411140583554377,204,346,0,1124,204,550
hourly_max,M3_weather_ridge,31.0,28.55,0.3711151736745887,0.9950980392156863,0.5406125166444741,203,344,1,1126,204,547
hourly_max,M3_weather_ridge,31.0,28.6,0.3808630393996248,0.9950980392156863,0.5508819538670285,203,330,1,1140,204,533
hourly_max,M3_weather_ridge,31.0,28.65,0.38846153846153847,0.9901960784313726,0.5580110497237569,202,318,2,1152,204,520
hourly_max,M3_weather_ridge,31.0,28.7,0.396078431372549,0.9901960784313726,0.5658263305322129,202,308,2,1162,204,510
hourly_max,M3_weather_ridge,31.0,28.75,0.4007936507936508,0.9901960784313726,0.5706214689265537,202,302,2,1168,204,504
hourly_max,M3_weather_ridge,31.0,28.8,0.40480961923847697,0.9901960784313726,0.5746799431009958,202,297,2,1173,204,499
hourly_max,M3_weather_ridge,31.0,28.85,0.4098360655737705,0.9803921568627451,0.5780346820809249,200,288,4,1182,204,488
hourly_max,M3_weather_ridge,31.0,28.9,0.4192872117400419,0.9803921568627451,0.5873715124816447,200,277,4,1193,204,477
hourly_max,M3_weather_ridge,31.0,28.95,0.423728813559322,0.9803921568627451,0.591715976331361,200,272,4,1198,204,472
hourly_max,M3_weather_ridge,31.0,29.0,0.42643923240938164,0.9803921568627451,0.5943536404160475,200,269,4,1201,204,469
hourly_max,M3_weather_ridge,31.0,29.05,0.4270386266094421,0.9754901960784313,0.5940298507462687,199,267,5,1203,204,466
hourly_max,M3_weather_ridge,31.0,29.1,0.4326086956521739,0.9754901960784313,0.5993975903614458,199,261,5,1209,204,460
hourly_max,M3_weather_ridge,31.0,29.15,0.4342105263157895,0.9705882352941176,0.6000000000000001,198,258,6,1212,204,456
hourly_max,M3_weather_ridge,31.0,29.2,0.43902439024390244,0.9705882352941176,0.6045801526717557,198,253,6,1217,204,451
hourly_max,M3_weather_ridge,31.0,29.25,0.4449438202247191,0.9705882352941176,0.6101694915254237,198,247,6,1223,204,445
hourly_max,M3_weather_ridge,31.0,29.3,0.45080091533180777,0.9656862745098039,0.6146645865834632,197,240,7,1230,204,437
hourly_max,M3_weather_ridge,31.0,29.35,0.45707656612529,0.9656862745098039,0.6204724409448819,197,234,7,1236,204,431
hourly_max,M3_weather_ridge,31.0,29.4,0.45901639344262296,0.9607843137254902,0.6212361331220286,196,231,8,1239,204,427
hourly_max,M3_weather_ridge,31.0,29.45,0.46208530805687204,0.9558823529411765,0.623003194888179,195,227,9,1243,204,422
hourly_max,M3_weather_ridge,31.0,29.5,0.4676258992805755,0.9558823529411765,0.6280193236714976,195,222,9,1248,204,417
hourly_max,M3_weather_ridge,31.0,29.55,0.47101449275362317,0.9558823529411765,0.6310679611650486,195,219,9,1251,204,414
hourly_max,M3_weather_ridge,31.0,29.6,0.4744525547445255,0.9558823529411765,0.6341463414634148,195,216,9,1254,204,411
hourly_max,M3_weather_ridge,31.0,29.65,0.4899497487437186,0.9558823529411765,0.6478405315614618,195,203,9,1267,204,398
hourly_max,M3_weather_ridge,31.0,29.7,0.5,0.9558823529411765,0.6565656565656566,195,195,9,1275,204,390
hourly_max,M3_weather_ridge,31.0,29.75,0.5091383812010444,0.9558823529411765,0.6643952299829643,195,188,9,1282,204,383
hourly_max,M3_weather_ridge,31.0,29.8,0.5145118733509235,0.9558823529411765,0.6689536878216125,195,184,9,1286,204,379
hourly_max,M3_weather_ridge,31.0,29.85,0.529891304347826,0.9558823529411765,0.6818181818181818,195,173,9,1297,204,368
hourly_max,M3_weather_ridge,31.0,29.9,0.5378151260504201,0.9411764705882353,0.6844919786096255,192,165,12,1305,204,357
hourly_max,M3_weather_ridge,31.0,29.95,0.5517241379310345,0.9411764705882353,0.6956521739130435,192,156,12,1314,204,348
hourly_max,M3_weather_ridge,31.0,30.0,0.5552325581395349,0.9362745098039216,0.6970802919708029,191,153,13,1317,204,344
hourly_max,M3_weather_ridge,31.0,30.05,0.5671641791044776,0.9313725490196079,0.7050092764378478,190,145,14,1325,204,335
hourly_max,M3_weather_ridge,31.0,30.1,0.5727272727272728,0.9264705882352942,0.7078651685393258,189,141,15,1329,204,330
