n,mae,rmse,bias,r2,model,cv_scheme,n_folds,n_features,wbgt_ge_31_precision,wbgt_ge_31_recall,wbgt_ge_31_f1,wbgt_ge_31_tp,wbgt_ge_31_fp,wbgt_ge_31_fn,wbgt_ge_33_precision,wbgt_ge_33_recall,wbgt_ge_33_f1,wbgt_ge_33_tp,wbgt_ge_33_fp,wbgt_ge_33_fn
1674,1.2081492566558878,1.731747449362388,-1.042087838495671,0.2687575257163529,M0_raw_proxy,loso,27,0,,0.0,,0,0,91,,0.0,,0,0,3
1674,1.098729120679947,1.3858852185088095,-3.3107726039001086e-16,0.5316755609206613,M1_global_bias,loso,27,0,,0.0,,0,0,91,,0.0,,0,0,3
1674,0.75797507690421,1.0232366161149675,-2.1222901307051977e-16,0.744703746343677,M1b_period_bias,loso,27,0,0.1724137931034483,0.054945054945054944,0.08333333333333333,5,24,86,,0.0,,0,0,3
1674,0.9884880643370954,1.27670576645979,-0.000511056418739435,0.6025578384944633,M2_linear_proxy,loso,27,1,0.0,0.0,,0,6,91,,0.0,,0,0,3
1674,0.6049700708565094,0.8113640851520437,0.000829230724521507,0.8394819571437072,M3_weather_ridge,loso,27,14,0.42857142857142855,0.06593406593406594,0.11428571428571428,6,8,85,,0.0,,0,0,3
1674,0.5932173011879792,0.7948979340981287,0.0013033991185942327,0.8459310819508341,M4_inertia_ridge,loso,27,18,0.23809523809523808,0.10989010989010989,0.15037593984962405,10,32,81,,0.0,,0,0,3
1674,0.6305890630133426,0.8403846023476867,0.0009458070674666608,0.8277939245337423,M5_v10_morphology_ridge,loso,27,15,0.20454545454545456,0.0989010989010989,0.13333333333333333,9,35,82,,0.0,,0,0,3
1674,0.6305890630133375,0.8403846023476808,0.0009458070674568135,0.8277939245337448,M6_v10_overhead_ridge,loso,27,17,0.20454545454545456,0.0989010989010989,0.13333333333333333,9,35,82,,0.0,,0,0,3
1674,0.6305890630133293,0.8403846023476728,0.0009458070674779514,0.8277939245337481,M7_compact_weather_ridge,loso,27,8,0.20454545454545456,0.0989010989010989,0.13333333333333333,9,35,82,,0.0,,0,0,3
1674,1.2081492566558878,1.731747449362388,-1.042087838495671,0.2687575257163529,M0_raw_proxy,time_block,5,0,,0.0,,0,0,91,,0.0,,0,0,3
1674,1.095001738671553,1.400775821795439,-0.06017568281717988,0.5215576992989648,M1_global_bias,time_block,5,0,,0.0,,0,0,91,,0.0,,0,0,3
1674,0.8740099156850748,1.1883750769178465,-0.015286155247885543,0.6556505717361296,M1b_period_bias,time_block,5,0,0.19047619047619047,0.17582417582417584,0.18285714285714286,16,68,75,,0.0,,0,0,3
1674,1.0571311480776298,1.3646492817739067,-0.020413164926705765,0.5459178834254733,M2_linear_proxy,time_block,5,1,0.20689655172413793,0.06593406593406594,0.09999999999999999,6,23,85,,0.0,,0,0,3
1674,0.7259961746547327,0.9485405092747912,0.06887041365651031,0.7806164487920167,M3_weather_ridge,time_block,5,14,0.3,0.16483516483516483,0.21276595744680848,15,35,76,,0.0,,0,0,3
1674,0.7526816008775834,0.9642948304388139,-0.16808859103313853,0.7732684415166654,M4_inertia_ridge,time_block,5,18,0.2222222222222222,0.04395604395604396,0.07339449541284404,4,14,87,,0.0,,0,0,3
1674,0.7745599020138594,1.0594972088050694,0.04967835985118354,0.7262892025085725,M5_v10_morphology_ridge,time_block,5,15,0.2641509433962264,0.3076923076923077,0.28426395939086296,28,78,63,,0.0,,0,0,3
1674,0.7745599020139188,1.0594972088051642,0.04967835985123804,0.7262892025085236,M6_v10_overhead_ridge,time_block,5,17,0.2641509433962264,0.3076923076923077,0.28426395939086296,28,78,63,,0.0,,0,0,3
1674,0.7745599020138773,1.0594972088050976,0.049678359851200296,0.7262892025085581,M7_compact_weather_ridge,time_block,5,8,0.2641509433962264,0.3076923076923077,0.28426395939086296,28,78,63,,0.0,,0,0,3
