model,cv_scheme,n_features,features
M0_raw_proxy,loso,0,
M1_global_bias,loso,0,
M2_linear_proxy,loso,1,raw_proxy_wbgt_radiative_fallback_c
M3_weather_ridge,loso,11,raw_proxy_wbgt_radiative_fallback_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;precipitation;hour_sin;hour_cos;is_daytime_07_19;is_peak_13_16
M4_inertia_ridge,loso,9,raw_proxy_wbgt_radiative_fallback_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;wetbulb_stull_c;hour_sin;hour_cos
M5_v10_morphology_ridge,loso,15,raw_proxy_wbgt_radiative_fallback_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin;hour_cos;morph_svf;morph_building_density;morph_road_fraction;morph_gvi_percent;morph_shade_fraction;v10_dsm_max_all_m;shade_fraction_base_v10
M6_v10_overhead_ridge,loso,17,raw_proxy_wbgt_radiative_fallback_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin;hour_cos;morph_svf;shade_fraction_base_v10;shade_fraction_overhead_sens;delta_shade_overhead_sens_minus_base;overhead_fraction_elevated_road;overhead_fraction_elevated_rail;overhead_area_pedestrian_bridge_m2;overhead_area_covered_walkway_m2;n_overhead_features
M0_raw_proxy,time_block,0,
M1_global_bias,time_block,0,
M2_linear_proxy,time_block,1,raw_proxy_wbgt_radiative_fallback_c
M3_weather_ridge,time_block,11,raw_proxy_wbgt_radiative_fallback_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;precipitation;hour_sin;hour_cos;is_daytime_07_19;is_peak_13_16
M4_inertia_ridge,time_block,9,raw_proxy_wbgt_radiative_fallback_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;wetbulb_stull_c;hour_sin;hour_cos
M5_v10_morphology_ridge,time_block,15,raw_proxy_wbgt_radiative_fallback_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin;hour_cos;morph_svf;morph_building_density;morph_road_fraction;morph_gvi_percent;morph_shade_fraction;v10_dsm_max_all_m;shade_fraction_base_v10
M6_v10_overhead_ridge,time_block,17,raw_proxy_wbgt_radiative_fallback_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin;hour_cos;morph_svf;shade_fraction_base_v10;shade_fraction_overhead_sens;delta_shade_overhead_sens_minus_base;overhead_fraction_elevated_road;overhead_fraction_elevated_rail;overhead_area_pedestrian_bridge_m2;overhead_area_covered_walkway_m2;n_overhead_features
