n,mae,rmse,bias,r2,model,cv_scheme,n_folds,n_features,wbgt_ge_31_precision,wbgt_ge_31_recall,wbgt_ge_31_f1,wbgt_ge_31_tp,wbgt_ge_31_fp,wbgt_ge_31_fn,wbgt_ge_33_precision,wbgt_ge_33_recall,wbgt_ge_33_f1,wbgt_ge_33_tp,wbgt_ge_33_fp,wbgt_ge_33_fn
10473,1.4897710854124848,2.0515681186921437,-1.180364616508477,0.21694210327214014,M0_raw_proxy,loso,27,0,,0.0,,0,0,1196,,0.0,,0,0,119
10473,1.348054454832719,1.6799248702845906,1.472902711634923e-06,0.4749487343062433,M1_global_bias,loso,27,0,,0.0,,0,0,1196,,0.0,,0,0,119
10473,1.0249940839910938,1.3934311516172435,1.8528146633859537e-06,0.6387623391956151,M1b_period_bias,loso,27,0,0.881578947368421,0.056020066889632104,0.10534591194968553,67,9,1129,,0.0,,0,0,119
10473,1.263969455354269,1.5920735126038545,-0.00027444460945938063,0.528427767632739,M2_linear_proxy,loso,27,1,0.864406779661017,0.042642140468227424,0.08127490039840637,51,8,1145,,0.0,,0,0,119
10473,0.9445122220194916,1.2822940007083508,0.0035266025746271312,0.6940875083860023,M3_weather_ridge,loso,27,14,0.770935960591133,0.2617056856187291,0.3907615480649189,313,93,883,,0.0,,0,0,119
10473,0.9365263076352396,1.2726708251248726,0.0036754882224505864,0.6986618155710229,M4_inertia_ridge,loso,27,18,0.7632135306553911,0.30183946488294316,0.43259436788496103,361,112,835,,0.0,,0,0,119
10473,0.9541575781352175,1.31297165069861,0.0038540026346338923,0.6792750924885738,M5_v10_morphology_ridge,loso,27,15,0.7878048780487805,0.270066889632107,0.40224159402241594,323,87,873,,0.0,,0,0,119
10473,0.9541575781352156,1.3129716506986089,0.0038540026346259464,0.6792750924885743,M6_v10_overhead_ridge,loso,27,17,0.7878048780487805,0.270066889632107,0.40224159402241594,323,87,873,,0.0,,0,0,119
10473,0.9541575781352172,1.3129716506986082,0.0038540026346248445,0.6792750924885746,M7_compact_weather_ridge,loso,27,8,0.7878048780487805,0.270066889632107,0.40224159402241594,323,87,873,,0.0,,0,0,119
10473,1.4897710854124848,2.0515681186921437,-1.180364616508477,0.21694210327214014,M0_raw_proxy,time_block,5,0,,0.0,,0,0,1196,,0.0,,0,0,119
10473,1.3670808458634185,1.7027674999365603,0.015050814059895721,0.46057298161387294,M1_global_bias,time_block,5,0,,0.0,,0,0,1196,,0.0,,0,0,119
10473,1.0805224576940085,1.4847234361210588,0.016475030073060573,0.5898779512463468,M1b_period_bias,time_block,5,0,0.5492957746478874,0.03260869565217391,0.061562746645619566,39,32,1157,,0.0,,0,0,119
10473,1.283330234773199,1.617571292981553,-0.014908366695473144,0.5132019248689487,M2_linear_proxy,time_block,5,1,0.8431372549019608,0.03595317725752508,0.06896551724137931,43,8,1153,,0.0,,0,0,119
10473,1.0761772674601022,1.4971926165821732,0.08743194934964224,0.5829603533512138,M3_weather_ridge,time_block,5,14,0.6357894736842106,0.2525083612040134,0.3614602034709754,302,173,894,,0.0,,0,0,119
10473,1.1162384552536746,1.5753758623161183,0.12806568792667095,0.5382675849119299,M4_inertia_ridge,time_block,5,18,0.6065573770491803,0.27842809364548493,0.38166189111747845,333,216,863,,0.0,,0,0,119
10473,1.0859240519985813,1.5136298615296488,0.0665780462151416,0.5737529712336756,M5_v10_morphology_ridge,time_block,5,15,0.6417910447761194,0.2516722408026756,0.36156156156156155,301,168,895,,0.0,,0,0,119
10473,1.0859240519986695,1.5136298615297838,0.06657804621516519,0.5737529712335996,M6_v10_overhead_ridge,time_block,5,17,0.6417910447761194,0.2516722408026756,0.36156156156156155,301,168,895,,0.0,,0,0,119
10473,1.085924051998607,1.5136298615296981,0.06657804621515293,0.573752971233648,M7_compact_weather_ridge,time_block,5,8,0.6417910447761194,0.2516722408026756,0.36156156156156155,301,168,895,,0.0,,0,0,119
