dataset,model,operating_point,available,threshold_c,precision,recall,f1,tp,fp,fn
hourly_max,M3_weather_ridge,fixed_31,True,31.0,0.770935960591133,0.2617056856187291,0.3907615480649189,313,93,883
hourly_max,M3_weather_ridge,best_F1,True,29.8,0.5164512338425382,0.7349498327759197,0.606625258799172,879,823,317
hourly_max,M3_weather_ridge,recall_90,True,28.9,0.4070996978851964,0.9013377926421404,0.5608740894901145,1078,1570,118
hourly_max,M3_weather_ridge,precision_70,True,30.75,0.7329931972789115,0.3603678929765886,0.4831838565022421,431,157,765
hourly_max,M4_inertia_ridge,fixed_31,True,31.0,0.7632135306553911,0.30183946488294316,0.43259436788496103,361,112,835
hourly_max,M4_inertia_ridge,best_F1,True,29.35,0.46701225259189444,0.8285953177257525,0.5973477998794455,991,1131,205
hourly_max,M4_inertia_ridge,recall_90,True,28.7,0.40022172949002216,0.9055183946488294,0.5550999487442337,1083,1623,113
hourly_max,M4_inertia_ridge,precision_70,True,30.75,0.7010869565217391,0.431438127090301,0.5341614906832298,516,220,680
hourly_max,M5_v10_morphology_ridge,fixed_31,True,31.0,0.7878048780487805,0.270066889632107,0.40224159402241594,323,87,873
hourly_max,M5_v10_morphology_ridge,best_F1,True,29.4,0.4713740458015267,0.8260869565217391,0.6002430133657352,988,1108,208
hourly_max,M5_v10_morphology_ridge,recall_90,True,28.9,0.42716146861429133,0.9046822742474916,0.5803164387235183,1082,1451,114
hourly_max,M5_v10_morphology_ridge,precision_70,True,30.85,0.7190226876090751,0.34448160535117056,0.46579988694177504,412,161,784
hourly_max,M7_compact_weather_ridge,fixed_31,True,31.0,0.7878048780487805,0.270066889632107,0.40224159402241594,323,87,873
hourly_max,M7_compact_weather_ridge,best_F1,True,29.4,0.4713740458015267,0.8260869565217391,0.6002430133657352,988,1108,208
hourly_max,M7_compact_weather_ridge,recall_90,True,28.9,0.42716146861429133,0.9046822742474916,0.5803164387235183,1082,1451,114
hourly_max,M7_compact_weather_ridge,precision_70,True,30.85,0.7190226876090751,0.34448160535117056,0.46579988694177504,412,161,784
