model,cv_scheme,n_features,features
M0_raw_proxy,loso,0,
M1_global_bias,loso,0,
M1b_period_bias,loso,0,
M2_linear_proxy,loso,1,wbgt_proxy_v09_c
M3_weather_ridge,loso,14,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;precipitation;direct_fraction;diffuse_fraction;shortwave_positive;hour_sin_v09;hour_cos_v09;is_daytime_v09;is_peak_heat_v09
M4_inertia_ridge,loso,18,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_lag_1h;shortwave_lag_2h;shortwave_3h_mean;cumulative_day_shortwave_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean;diffuse_fraction;direct_fraction;cloud_cover;hour_sin_v09;hour_cos_v09
M5_v10_morphology_ridge,loso,15,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin_v09;hour_cos_v09;morph_svf;morph_building_density;morph_road_fraction;morph_gvi_percent;morph_shade_fraction;v10_dsm_max_all_m;shade_fraction_base_v10
M6_v10_overhead_ridge,loso,17,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin_v09;hour_cos_v09;morph_svf;shade_fraction_base_v10;shade_fraction_overhead_sens;delta_shade_overhead_sens_minus_base;overhead_fraction_elevated_road;overhead_fraction_elevated_rail;overhead_area_pedestrian_bridge_m2;overhead_area_covered_walkway_m2;n_overhead_features
M7_compact_weather_ridge,loso,8,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin_v09;hour_cos_v09
M0_raw_proxy,time_block,0,
M1_global_bias,time_block,0,
M1b_period_bias,time_block,0,
M2_linear_proxy,time_block,1,wbgt_proxy_v09_c
M3_weather_ridge,time_block,14,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;precipitation;direct_fraction;diffuse_fraction;shortwave_positive;hour_sin_v09;hour_cos_v09;is_daytime_v09;is_peak_heat_v09
M4_inertia_ridge,time_block,18,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_lag_1h;shortwave_lag_2h;shortwave_3h_mean;cumulative_day_shortwave_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean;diffuse_fraction;direct_fraction;cloud_cover;hour_sin_v09;hour_cos_v09
M5_v10_morphology_ridge,time_block,15,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin_v09;hour_cos_v09;morph_svf;morph_building_density;morph_road_fraction;morph_gvi_percent;morph_shade_fraction;v10_dsm_max_all_m;shade_fraction_base_v10
M6_v10_overhead_ridge,time_block,17,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin_v09;hour_cos_v09;morph_svf;shade_fraction_base_v10;shade_fraction_overhead_sens;delta_shade_overhead_sens_minus_base;overhead_fraction_elevated_road;overhead_fraction_elevated_rail;overhead_area_pedestrian_bridge_m2;overhead_area_covered_walkway_m2;n_overhead_features
M7_compact_weather_ridge,time_block,8,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin_v09;hour_cos_v09
