dataset,model,rows,target_non_null,prediction_non_null,both_non_null,stations,stations_with_both_non_null,valid_rows_station_min,valid_rows_station_max
all_stations,M3_weather_ridge,40389,40389,40389,40389,27,27,1482,1497
all_stations,M4_inertia_ridge,40389,40389,40389,40389,27,27,1482,1497
all_stations,M5_v10_morphology_ridge,40389,40389,40389,40389,27,27,1482,1497
all_stations,M6_v10_overhead_ridge,40389,40389,40389,40389,27,27,1482,1497
all_stations,M7_compact_weather_ridge,40389,40389,40389,40389,27,27,1482,1497
no_S142,M3_weather_ridge,38893,38893,38893,38893,26,26,1482,1497
no_S142,M4_inertia_ridge,38893,38893,38893,38893,26,26,1482,1497
no_S142,M5_v10_morphology_ridge,38893,38893,38893,38893,26,26,1482,1497
no_S142,M6_v10_overhead_ridge,38893,38893,38893,38893,26,26,1482,1497
no_S142,M7_compact_weather_ridge,38893,38893,38893,38893,26,26,1482,1497
hourly_mean,M3_weather_ridge,10473,10473,10473,10473,27,27,385,388
hourly_mean,M4_inertia_ridge,10473,10473,10473,10473,27,27,385,388
hourly_mean,M5_v10_morphology_ridge,10473,10473,10473,10473,27,27,385,388
hourly_mean,M6_v10_overhead_ridge,10473,10473,10473,10473,27,27,385,388
hourly_mean,M7_compact_weather_ridge,10473,10473,10473,10473,27,27,385,388
hourly_max,M3_weather_ridge,10473,10473,10473,10473,27,27,385,388
hourly_max,M4_inertia_ridge,10473,10473,10473,10473,27,27,385,388
hourly_max,M5_v10_morphology_ridge,10473,10473,10473,10473,27,27,385,388
hourly_max,M6_v10_overhead_ridge,10473,10473,10473,10473,27,27,385,388
hourly_max,M7_compact_weather_ridge,10473,10473,10473,10473,27,27,385,388
