formula,score_variant,bias_pred_minus_obs,bias_correction_added_c,event_threshold_c,score_threshold_c,n_obs,n_event_obs,tp,fp,fn,tn,precision,recall,f1
existing_v09_proxy,formula_bias_corrected,-0.8566787860115394,0.8566787860115394,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
existing_v09_proxy,formula_bias_corrected,-0.8566787860115394,0.8566787860115394,33.0,33.0,40389,212,0,0,212,40177,,0.0,
reconstructed_from_v09_components,formula_bias_corrected,-0.8566787860115394,0.8566787860115394,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
reconstructed_from_v09_components,formula_bias_corrected,-0.8566787860115394,0.8566787860115394,33.0,33.0,40389,212,0,0,212,40177,,0.0,
stull_simple_globe_k0p0025,formula_bias_corrected,-0.8918103153089554,0.8918103153089554,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
stull_simple_globe_k0p0025,formula_bias_corrected,-0.8918103153089554,0.8918103153089554,33.0,33.0,40389,212,0,0,212,40177,,0.0,
stull_simple_globe_k0p0035,formula_bias_corrected,-0.8742445506602474,0.8742445506602474,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
stull_simple_globe_k0p0035,formula_bias_corrected,-0.8742445506602474,0.8742445506602474,33.0,33.0,40389,212,0,0,212,40177,,0.0,
stull_simple_globe_k0p0045,formula_bias_corrected,-0.8566787860115394,0.8566787860115394,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
stull_simple_globe_k0p0045,formula_bias_corrected,-0.8566787860115394,0.8566787860115394,33.0,33.0,40389,212,0,0,212,40177,,0.0,
stull_simple_globe_k0p0055,formula_bias_corrected,-0.8391130213628312,0.8391130213628312,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
stull_simple_globe_k0p0055,formula_bias_corrected,-0.8391130213628312,0.8391130213628312,33.0,33.0,40389,212,0,0,212,40177,,0.0,
stull_simple_globe_k0p0065,formula_bias_corrected,-0.821547256714123,0.821547256714123,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
stull_simple_globe_k0p0065,formula_bias_corrected,-0.821547256714123,0.821547256714123,33.0,33.0,40389,212,0,0,212,40177,,0.0,
no_radiation_sensitivity_tg_eq_tair,formula_bias_corrected,-0.9357247269307265,0.9357247269307265,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
no_radiation_sensitivity_tg_eq_tair,formula_bias_corrected,-0.9357247269307265,0.9357247269307265,33.0,33.0,40389,212,0,0,212,40177,,0.0,
