formula,event_threshold_c,score_threshold_c,n_obs,n_event_obs,tp,fp,fn,tn,precision,recall,f1
existing_v09_proxy,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
existing_v09_proxy,33.0,33.0,40389,212,0,0,212,40177,,0.0,
reconstructed_from_v09_components,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
reconstructed_from_v09_components,33.0,33.0,40389,212,0,0,212,40177,,0.0,
stull_simple_globe_k0p0025,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
stull_simple_globe_k0p0025,33.0,33.0,40389,212,0,0,212,40177,,0.0,
stull_simple_globe_k0p0035,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
stull_simple_globe_k0p0035,33.0,33.0,40389,212,0,0,212,40177,,0.0,
stull_simple_globe_k0p0045,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
stull_simple_globe_k0p0045,33.0,33.0,40389,212,0,0,212,40177,,0.0,
stull_simple_globe_k0p0055,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
stull_simple_globe_k0p0055,33.0,33.0,40389,212,0,0,212,40177,,0.0,
stull_simple_globe_k0p0065,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
stull_simple_globe_k0p0065,33.0,33.0,40389,212,0,0,212,40177,,0.0,
no_radiation_sensitivity_tg_eq_tair,31.0,31.0,40389,2844,0,0,2844,37545,,0.0,
no_radiation_sensitivity_tg_eq_tair,33.0,33.0,40389,212,0,0,212,40177,,0.0,
