formula,event_threshold_c,operating_point,threshold_c,precision,recall,f1,tp,fp,fn
existing_v09_proxy,31.0,fixed_31,31.0,,0.0,,0,0,2844
existing_v09_proxy,31.0,best_F1,27.55,0.34228855721393037,0.6047819971870605,0.43715846994535523,1720,3305,1124
existing_v09_proxy,31.0,recall_90,,,,,,,
existing_v09_proxy,31.0,precision_70,29.15,0.75,0.0031645569620253164,0.0063025210084033615,9,3,2835
existing_v09_proxy,33.0,fixed_33,33.0,,0.0,,0,0,212
existing_v09_proxy,33.0,best_F1,28.25,0.05082872928176796,0.2169811320754717,0.08236347358997315,46,859,166
existing_v09_proxy,33.0,recall_90,27.0,0.01816633550950894,0.9056603773584906,0.035618217234022816,192,10377,20
existing_v09_proxy,33.0,precision_70,,,,,,,
reconstructed_from_v09_components,31.0,fixed_31,31.0,,0.0,,0,0,2844
reconstructed_from_v09_components,31.0,best_F1,27.55,0.34228855721393037,0.6047819971870605,0.43715846994535523,1720,3305,1124
reconstructed_from_v09_components,31.0,recall_90,,,,,,,
reconstructed_from_v09_components,31.0,precision_70,29.15,0.75,0.0031645569620253164,0.0063025210084033615,9,3,2835
reconstructed_from_v09_components,33.0,fixed_33,33.0,,0.0,,0,0,212
reconstructed_from_v09_components,33.0,best_F1,28.25,0.05082872928176796,0.2169811320754717,0.08236347358997315,46,859,166
reconstructed_from_v09_components,33.0,recall_90,27.0,0.01816633550950894,0.9056603773584906,0.035618217234022816,192,10377,20
reconstructed_from_v09_components,33.0,precision_70,,,,,,,
stull_simple_globe_k0p0025,31.0,fixed_31,31.0,,0.0,,0,0,2844
stull_simple_globe_k0p0025,31.0,best_F1,27.45,0.33468992248062013,0.6072433192686357,0.43153423288355824,1727,3433,1117
stull_simple_globe_k0p0025,31.0,recall_90,,,,,,,
stull_simple_globe_k0p0025,31.0,precision_70,29.0,1.0,0.0014064697609001407,0.0028089887640449437,4,0,2840
stull_simple_globe_k0p0025,33.0,fixed_33,33.0,,0.0,,0,0,212
stull_simple_globe_k0p0025,33.0,best_F1,28.15,0.05317919075144509,0.2169811320754717,0.08542246982358402,46,819,166
stull_simple_globe_k0p0025,33.0,recall_90,,,,,,,
stull_simple_globe_k0p0025,33.0,precision_70,,,,,,,
stull_simple_globe_k0p0035,31.0,fixed_31,31.0,,0.0,,0,0,2844
stull_simple_globe_k0p0035,31.0,best_F1,27.45,0.32842521098940564,0.6431082981715893,0.43480328063710927,1829,3740,1015
stull_simple_globe_k0p0035,31.0,recall_90,,,,,,,
stull_simple_globe_k0p0035,31.0,precision_70,29.05,0.8125,0.004571026722925457,0.009090909090909092,13,3,2831
stull_simple_globe_k0p0035,33.0,fixed_33,33.0,,0.0,,0,0,212
stull_simple_globe_k0p0035,33.0,best_F1,28.2,0.05174353205849269,0.2169811320754717,0.08356039963669391,46,843,166
stull_simple_globe_k0p0035,33.0,recall_90,,,,,,,
stull_simple_globe_k0p0035,33.0,precision_70,,,,,,,
stull_simple_globe_k0p0045,31.0,fixed_31,31.0,,0.0,,0,0,2844
stull_simple_globe_k0p0045,31.0,best_F1,27.55,0.34228855721393037,0.6047819971870605,0.43715846994535523,1720,3305,1124
stull_simple_globe_k0p0045,31.0,recall_90,,,,,,,
stull_simple_globe_k0p0045,31.0,precision_70,29.15,0.75,0.0031645569620253164,0.0063025210084033615,9,3,2835
stull_simple_globe_k0p0045,33.0,fixed_33,33.0,,0.0,,0,0,212
stull_simple_globe_k0p0045,33.0,best_F1,28.25,0.05082872928176796,0.2169811320754717,0.08236347358997315,46,859,166
stull_simple_globe_k0p0045,33.0,recall_90,27.0,0.01816633550950894,0.9056603773584906,0.035618217234022816,192,10377,20
stull_simple_globe_k0p0045,33.0,precision_70,,,,,,,
stull_simple_globe_k0p0055,31.0,fixed_31,31.0,,0.0,,0,0,2844
stull_simple_globe_k0p0055,31.0,best_F1,27.6,0.34522854851643947,0.6054852320675106,0.4397344228804903,1722,3266,1122
stull_simple_globe_k0p0055,31.0,recall_90,,,,,,,
stull_simple_globe_k0p0055,31.0,precision_70,,,,,,,
stull_simple_globe_k0p0055,33.0,fixed_33,33.0,,0.0,,0,0,212
stull_simple_globe_k0p0055,33.0,best_F1,28.35,0.053117782909930716,0.2169811320754717,0.08534322820037107,46,820,166
stull_simple_globe_k0p0055,33.0,recall_90,27.0,0.018472337674332685,0.9433962264150944,0.03623516622882507,200,10627,12
stull_simple_globe_k0p0055,33.0,precision_70,,,,,,,
stull_simple_globe_k0p0065,31.0,fixed_31,31.0,,0.0,,0,0,2844
stull_simple_globe_k0p0065,31.0,best_F1,27.65,0.34728620068095334,0.609704641350211,0.4425162689804772,1734,3259,1110
stull_simple_globe_k0p0065,31.0,recall_90,27.0,0.23278335724533716,0.9127988748241913,0.37096313232352096,2596,8556,248
stull_simple_globe_k0p0065,31.0,precision_70,,,,,,,
stull_simple_globe_k0p0065,33.0,fixed_33,33.0,,0.0,,0,0,212
stull_simple_globe_k0p0065,33.0,best_F1,28.4,0.050997782705099776,0.2169811320754717,0.08258527827648116,46,856,166
stull_simple_globe_k0p0065,33.0,recall_90,27.05,0.018626528692380056,0.9339622641509434,0.036524626452684006,198,10432,14
stull_simple_globe_k0p0065,33.0,precision_70,,,,,,,
no_radiation_sensitivity_tg_eq_tair,31.0,fixed_31,31.0,,0.0,,0,0,2844
no_radiation_sensitivity_tg_eq_tair,31.0,best_F1,27.4,0.34875769318440847,0.5379746835443038,0.4231779836813718,1530,2857,1314
no_radiation_sensitivity_tg_eq_tair,31.0,recall_90,,,,,,,
no_radiation_sensitivity_tg_eq_tair,31.0,precision_70,28.75,0.7083333333333334,0.005977496483825597,0.011854951185495118,17,7,2827
no_radiation_sensitivity_tg_eq_tair,33.0,fixed_33,33.0,,0.0,,0,0,212
no_radiation_sensitivity_tg_eq_tair,33.0,best_F1,28.0,0.0514018691588785,0.20754716981132076,0.08239700374531836,44,812,168
no_radiation_sensitivity_tg_eq_tair,33.0,recall_90,,,,,,,
no_radiation_sensitivity_tg_eq_tair,33.0,precision_70,,,,,,,
