metric,value
input_path,outputs\v11_level1\p_ge31_export\p_ge31_station_diagnostic.csv
input_status,full_station_diagnostic
sample_only,False
full_station_diagnostic,True
row_count,10473
filtered_row_count,10473
station_count,27
filtered_station_count,27
timestamp_count,388
filtered_timestamp_count,388
dataset_label_values,hourly_max
selected_dataset_labels,hourly_max
missing_required_or_preferred_columns,
missing_optional_columns,official_wbgt_c
missing_count__timestamp_sgt,0
missing_fraction__timestamp_sgt,0.0
missing_count__timestamp_utc,0
missing_fraction__timestamp_utc,0.0
missing_count__station_id,0
missing_fraction__station_id,0.0
missing_count__dataset_label,0
missing_fraction__dataset_label,0.0
missing_count__wbgt_a_score_c,0
missing_fraction__wbgt_a_score_c,0.0
missing_count__wbgt_a_score_model_id,0
missing_fraction__wbgt_a_score_model_id,0.0
missing_count__p_ge31_diagnostic,0
missing_fraction__p_ge31_diagnostic,0.0
missing_count__p_ge31_calibrator_id,0
missing_fraction__p_ge31_calibrator_id,0.0
missing_count__p_ge31_validation_context,0
missing_fraction__p_ge31_validation_context,0.0
missing_count__is_retrospective,0
missing_fraction__is_retrospective,0.0
missing_count__quality_flag,0
missing_fraction__quality_flag,0.0
quality_flag_count__low_support_station,388
quality_flag_count__not_operational_warning,10473
quality_flag_count__ok_retrospective_diagnostic,10473
quality_flag_count__station_bias_warning,1552
