validation_scheme,dataset_label,ablation_model,target_col,feature_blocks,feature_list,n_features,row_count,station_count,date_count,fold_count,test_date_min,test_date_max,ridge_backend,fallback_used,imputation_method,scaling_method,alpha_used,n,MAE,RMSE,bias,R2,fixed_31_TP,fixed_31_FP,fixed_31_TN,fixed_31_FN,fixed_31_precision,fixed_31_recall,fixed_31_F1,fixed_31_official_positive_count,fixed_31_predicted_positive_count,fixed_33_TP,fixed_33_FP,fixed_33_TN,fixed_33_FN,fixed_33_precision,fixed_33_recall,fixed_33_F1,fixed_33_official_positive_count,fixed_33_predicted_positive_count,official_ge_31_count,official_ge_33_count,MAE_official_ge_31,bias_official_ge_31
blocked_date_cv,hourly_max,L1_proxy_radiation,official_wbgt_c_max,proxy;radiation_basic;radiation_extra,wbgt_proxy_v09_c;shortwave_radiation;cloud_cover;direct_radiation;diffuse_radiation,5,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,1.0719008741462956,1.4974846852228412,0.0532388187466189,0.5827976273505859,326,242,9035,870,0.573943661971831,0.2725752508361204,0.3696145124716554,1196,568,0,0,10354,119,,0.0,,119,0,1196,119,1.7945350636610793,-1.7291400477425847
blocked_date_cv,hourly_max,M7_like_compact_weather_ridge,official_wbgt_c_max,m7_like_compact_weather,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin_v09;hour_cos_v09,8,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,1.0859240519986386,1.5136298615297448,0.06657804621515616,0.5737529712336216,301,168,9109,895,0.6417910447761194,0.2516722408026756,0.36156156156156155,1196,469,0,0,10354,119,,0.0,,119,0,1196,119,1.7111026549184076,-1.667739565396176
blocked_date_cv,hourly_max,M4_like_inertia_ridge,official_wbgt_c_max,m4_like_inertia,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_lag_1h;shortwave_lag_2h;shortwave_3h_mean;cumulative_day_shortwave_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean;diffuse_fraction;direct_fraction;cloud_cover;hour_sin_v09;hour_cos_v09,18,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,1.116238455253714,1.575375862316184,0.128065687926673,0.5382675849118914,333,216,9061,863,0.6065573770491803,0.27842809364548493,0.38166189111747845,1196,549,0,0,10354,119,,0.0,,119,0,1196,119,1.6818717637639302,-1.6402724478376105
blocked_date_cv,hourly_max,L1_full_dynamic,official_wbgt_c_max,proxy;weather_core;radiation_basic;radiation_extra;time;inertia,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;direct_radiation;diffuse_radiation;hour_sin_v09;hour_cos_v09;shortwave_3h_mean;shortwave_lag_1h;shortwave_lag_2h;cumulative_day_shortwave_whm2;cumulative_day_shortwave_hourly_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean,19,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,1.128556389650807,1.587806546110531,0.10819624053204349,0.5309521315409389,357,241,9036,839,0.596989966555184,0.298494983277592,0.39799331103678937,1196,598,0,0,10354,119,,0.0,,119,0,1196,119,1.6825298580010362,-1.6169048286546774
blocked_date_cv,hourly_max,L1_proxy_weather,official_wbgt_c_max,proxy;weather_core,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m,4,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,1.2166621730523177,1.5631953825955363,0.0027477782238023458,0.5453800209700871,7,7,9270,1189,0.5,0.005852842809364548,0.011570247933884295,1196,14,0,0,10354,119,,0.0,,119,0,1196,119,2.307512026387943,-2.3073896488178516
blocked_date_cv,hourly_max,L1_proxy_only,official_wbgt_c_max,proxy,wbgt_proxy_v09_c,1,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,1.2833278939355859,1.6175692556594492,-0.014901490668407605,0.5132031511071471,43,8,9269,1153,0.8431372549019608,0.03595317725752508,0.06896551724137931,1196,51,0,0,10354,119,,0.0,,119,0,1196,119,2.459796660692824,-2.4570462238976827
blocked_date_cv,hourly_mean,L1_proxy_radiation,official_wbgt_c_mean,proxy;radiation_basic;radiation_extra,wbgt_proxy_v09_c;shortwave_radiation;cloud_cover;direct_radiation;diffuse_radiation,5,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,0.9918318601373224,1.3794130156485278,0.044809517089326754,0.5645153205991076,29,37,9813,594,0.4393939393939394,0.04654895666131621,0.0841799709724238,623,66,0,0,10443,30,,0.0,,30,0,623,30,2.039681634891792,-2.036304671718679
blocked_date_cv,hourly_mean,M7_like_compact_weather_ridge,official_wbgt_c_mean,m7_like_compact_weather,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin_v09;hour_cos_v09,8,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,1.01263452392123,1.4038340354730154,0.05604761714070928,0.5489592539346062,15,37,9813,608,0.28846153846153844,0.024077046548956663,0.044444444444444446,623,52,0,0,10443,30,,0.0,,30,0,623,30,1.993997715389944,-1.992714953996991
blocked_date_cv,hourly_mean,M4_like_inertia_ridge,official_wbgt_c_mean,m4_like_inertia,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_lag_1h;shortwave_lag_2h;shortwave_3h_mean;cumulative_day_shortwave_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean;diffuse_fraction;direct_fraction;cloud_cover;hour_sin_v09;hour_cos_v09,18,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,1.0430166191373784,1.4616684466284213,0.11034842699231484,0.5110302577500327,9,41,9809,614,0.18,0.014446227929373997,0.02674591381872214,623,50,0,0,10443,30,,0.0,,30,0,623,30,1.9687911269057647,-1.9682653483442578
blocked_date_cv,hourly_mean,L1_full_dynamic,official_wbgt_c_mean,proxy;weather_core;radiation_basic;radiation_extra;time;inertia,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;direct_radiation;diffuse_radiation;hour_sin_v09;hour_cos_v09;shortwave_3h_mean;shortwave_lag_1h;shortwave_lag_2h;cumulative_day_shortwave_whm2;cumulative_day_shortwave_hourly_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean,19,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,1.0545083556058834,1.4746891106364561,0.09496461808490314,0.5022798898634849,30,78,9772,593,0.2777777777777778,0.048154093097913325,0.08207934336525309,623,108,0,0,10443,30,,0.0,,30,0,623,30,1.946796794814817,-1.9438470945360138
blocked_date_cv,hourly_mean,L1_proxy_weather,official_wbgt_c_mean,proxy;weather_core,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m,4,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,1.1046042521651775,1.4302972645540881,0.001238156430003662,0.5317941260018759,0,0,9850,623,,0.0,,623,0,0,0,10443,30,,0.0,,30,0,623,30,2.6071780225291663,-2.6071780225291663
blocked_date_cv,hourly_mean,L1_proxy_only,official_wbgt_c_mean,proxy,wbgt_proxy_v09_c,1,10473,27,18,5,2026-05-07,2026-05-24,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,10473,1.1507491990761374,1.4697465468430637,-0.012899307796575844,0.5056106134593537,0,0,9850,623,,0.0,,623,0,0,0,10443,30,,0.0,,30,0,623,30,2.7199276735880034,-2.7199276735880034
