prediction_source,dataset_label,target_col,ablation_model,station_subset,n,station_count,MAE,bias,official_ge_31_count,official_ge_33_count,MAE_official_ge_31,bias_official_ge_31,fixed_31_precision,fixed_31_recall,fixed_31_F1,fixed_31_TP,fixed_31_FP,fixed_31_FN,fixed_31_predicted_positive_count,fixed_31_official_positive_count,fixed_33_precision,fixed_33_recall,fixed_33_F1,fixed_33_TP,fixed_33_FP,fixed_33_FN,fixed_33_predicted_positive_count,fixed_33_official_positive_count
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,all_stations,10473,27,0.9495674777234262,-0.003986167899753382,1196,119,1.5674383834744214,1.508331252741297,0.7489451476793249,0.2968227424749164,0.42514970059880236,355,119,841,474,1196,,0.0,,0,0,119,0,119
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,excluding_S142,10085,26,0.9387465212771785,-0.02642990959639834,1112,87,1.4862952428859453,1.4227231850111097,0.741304347826087,0.3066546762589928,0.4338422391857506,341,119,771,460,1112,,0.0,,0,0,87,0,87
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,all_stations,10473,27,1.2639699644003985,0.0002744168232785705,1196,119,2.381247611757301,2.378490419974539,0.864406779661017,0.042642140468227424,0.08127490039840637,51,8,1145,59,1196,,0.0,,0,0,119,0,119
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,excluding_S142,10085,26,1.2515302508306654,-0.020958470323881102,1112,87,2.294390165082344,2.291424696222466,0.864406779661017,0.045863309352517985,0.08710503842869342,51,8,1061,59,1112,,0.0,,0,0,87,0,87
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,all_stations,10473,27,1.0101392479223916,-0.0001599502739397909,1196,119,1.7179392760246683,1.6605646013201087,0.6304761904761905,0.27675585284280935,0.3846600813480534,331,194,865,525,1196,,0.0,,0,0,119,0,119
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,excluding_S142,10085,26,0.9984092009882793,-0.023083266909342825,1112,87,1.6356831547335788,1.5739744218678835,0.6215686274509804,0.28507194244604317,0.3908754623921085,317,193,795,510,1112,,0.0,,0,0,87,0,87
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,all_stations,10473,27,1.1733212394286576,-0.002480393444549943,1196,119,2.1841383536011048,2.1824848279836044,0.6666666666666666,0.011705685618729096,0.023007395234182416,14,7,1182,21,1196,,0.0,,0,0,119,0,119
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,excluding_S142,10085,26,1.1609407100628812,-0.023340969029783436,1112,87,2.1012794737513345,2.0995010415224407,0.6666666666666666,0.012589928057553957,0.02471315092674316,14,7,1098,21,1112,,0.0,,0,0,87,0,87
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,all_stations,10473,27,0.9365263076352396,-0.003675488222450668,1196,119,1.5712671272927585,1.5251688349245418,0.7632135306553911,0.30183946488294316,0.43259436788496103,361,112,835,473,1196,,0.0,,0,0,119,0,119
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,excluding_S142,10085,26,0.9250387372723676,-0.02623729409649781,1112,87,1.4916722145153893,1.4420916770402208,0.7559912854030502,0.3120503597122302,0.44175684277530236,347,112,765,459,1112,,0.0,,0,0,87,0,87
