prediction_source,validation_scheme,dataset_label,target_col,model,hour,event_target,official_event_threshold_c,n,event_count,best_F1_threshold_if_enough_events,best_F1_if_enough_events,fixed_nominal_threshold,fixed_nominal_recall,fixed_nominal_F1,mapped_threshold,mapped_threshold_recall,mapped_threshold_F1,residual_bias_high_tail_official_minus_score,low_support
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,0,ge31,31.0,432,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,1,ge31,31.0,432,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,2,ge31,31.0,459,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,3,ge31,31.0,432,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,4,ge31,31.0,432,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,5,ge31,31.0,432,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,6,ge31,31.0,432,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,7,ge31,31.0,432,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,8,ge31,31.0,432,5,27.9,0.047619047619047616,31.0,0.0,0.0,30.2,0.0,0.0,4.110038516150543,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,9,ge31,31.0,432,61,28.5,0.4132231404958678,31.0,0.0,0.0,30.2,0.0,0.0,2.9244189462670267,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,10,ge31,31.0,432,123,29.2,0.526027397260274,31.0,0.0,0.0,30.2,0.4146341463414634,0.46363636363636357,1.825133721985624,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,11,ge31,31.0,431,180,30.2,0.690423162583519,31.0,0.24444444444444444,0.3384615384615384,30.2,0.8611111111111112,0.690423162583519,1.2157588547543658,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,12,ge31,31.0,431,223,30.3,0.7482758620689655,31.0,0.5874439461883408,0.6517412935323383,30.2,0.9820627802690582,0.7348993288590604,0.8884824696755581,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,13,ge31,31.0,431,208,28.3,0.651017214397496,31.0,0.5288461538461539,0.5789473684210525,30.2,0.7596153846153846,0.6019047619047619,1.1178016799013692,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,14,ge31,31.0,405,176,27.6,0.6058519793459552,31.0,0.3522727272727273,0.42611683848797255,30.2,0.5568181818181818,0.45161290322580644,1.7041351196769,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,15,ge31,31.0,405,138,27.0,0.5055350553505535,31.0,0.057971014492753624,0.09411764705882354,30.2,0.42028985507246375,0.3905723905723905,2.2983527389322935,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,16,ge31,31.0,459,64,28.9,0.2578616352201258,31.0,0.03125,0.04819277108433735,30.2,0.09375,0.10434782608695652,2.780549603967402,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,17,ge31,31.0,459,17,27.7,0.0687830687830688,31.0,0.0,0.0,30.2,0.0,0.0,3.6524600443004394,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,18,ge31,31.0,459,1,,,31.0,0.0,0.0,30.2,0.0,0.0,3.768590507988719,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,19,ge31,31.0,459,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,20,ge31,31.0,459,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,21,ge31,31.0,432,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,22,ge31,31.0,432,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,23,ge31,31.0,432,0,,,31.0,,0.0,30.2,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,0,ge33,33.0,432,0,,,33.0,,0.0,31.5,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,1,ge33,33.0,432,0,,,33.0,,0.0,31.5,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,2,ge33,33.0,459,0,,,33.0,,0.0,31.5,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,3,ge33,33.0,432,0,,,33.0,,0.0,31.5,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,4,ge33,33.0,432,0,,,33.0,,0.0,31.5,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,5,ge33,33.0,432,0,,,33.0,,0.0,31.5,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,6,ge33,33.0,432,0,,,33.0,,0.0,31.5,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,7,ge33,33.0,432,0,,,33.0,,0.0,31.5,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,8,ge33,33.0,432,0,,,33.0,,0.0,31.5,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,9,ge33,33.0,432,0,,,33.0,,0.0,31.5,,0.0,,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,10,ge33,33.0,432,5,30.2,0.0784313725490196,33.0,0.0,0.0,31.5,0.0,0.0,3.3964879028611383,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,11,ge33,33.0,431,15,31.5,0.10526315789473685,33.0,0.0,0.0,31.5,0.06666666666666667,0.10526315789473685,2.7233924686391116,False
