prediction_source,validation_scheme,dataset_label,target_col,model,event_target,official_event_threshold_c,score_threshold_c,TP,FP,TN,FN,precision,recall,F1,specificity,false_alarm_ratio,miss_rate,critical_success_index,predicted_positive_count,official_positive_count,youden_J
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,27.0,1193,3421,5856,3,0.25856090160381445,0.9974916387959866,0.41067125645438896,0.6312385469440552,0.7414390983961855,0.002508361204013378,0.2583928958197964,4614,1196,0.6287301857400418
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,27.1,1192,3269,6008,4,0.26720466263169695,0.9966555183946488,0.4214247834541277,0.6476231540368653,0.732795337368303,0.0033444816053511705,0.2669652855543113,4461,1196,0.6442786724315142
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,27.2,1191,3159,6118,5,0.27379310344827584,0.995819397993311,0.4294987378290659,0.6594804354856095,0.7262068965517241,0.004180602006688963,0.27347876004592425,4350,1196,0.6552998334789204
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,27.3,1189,3031,6246,7,0.28175355450236966,0.9941471571906354,0.43906942392909903,0.6732779993532392,0.7182464454976303,0.005852842809364548,0.281286964750414,4220,1196,0.6674251565438745
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,27.4,1187,2909,6368,9,0.289794921875,0.9924749163879598,0.4486016628873772,0.6864288024145737,0.710205078125,0.007525083612040134,0.2891595615103532,4096,1196,0.6789037188025335
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,27.5,1185,2771,6506,11,0.2995449949443883,0.9908026755852842,0.4600155279503106,0.7013043009593619,0.7004550050556118,0.00919732441471572,0.2987143937484245,3956,1196,0.6921069765446461
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,27.6,1180,2618,6659,16,0.31068983675618744,0.9866220735785953,0.47256708049659585,0.717796701519888,0.6893101632438126,0.013377926421404682,0.3093864708966964,3798,1196,0.7044187750984832
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,27.7,1176,2517,6760,20,0.31844029244516653,0.9832775919732442,0.4810799754551033,0.7286838417591894,0.6815597075548334,0.016722408026755852,0.31672502019929977,3693,1196,0.7119614337324336
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,27.8,1174,2390,6887,22,0.32940516273849607,0.9816053511705686,0.4932773109243697,0.7423736121591031,0.6705948372615039,0.01839464882943144,0.32738427216954824,3564,1196,0.7239789633296718
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,27.9,1161,2254,7023,35,0.33997071742313323,0.9707357859531772,0.5035783994795054,0.7570335237684597,0.6600292825768668,0.029264214046822744,0.33652173913043476,3415,1196,0.7277693097216369
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,28.0,1160,2143,7134,36,0.3511958825310324,0.9698996655518395,0.5156701489219826,0.7689985986849197,0.6488041174689676,0.030100334448160536,0.3474094040131776,3303,1196,0.7388982642367592
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,28.1,1153,2047,7230,43,0.3603125,0.9640468227424749,0.5245677888989991,0.7793467715856419,0.6396875,0.03595317725752508,0.3555349984582177,3200,1196,0.7433935943281167
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,28.2,1147,1965,7312,49,0.368573264781491,0.9590301003344481,0.532497678737233,0.7881858359383421,0.631426735218509,0.04096989966555184,0.3628598544764315,3112,1196,0.7472159362727901
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,28.3,1139,1881,7396,57,0.37715231788079473,0.9523411371237458,0.5403225806451614,0.7972404872264741,0.6228476821192053,0.047658862876254184,0.3701657458563536,3020,1196,0.74958162435022
