candidate_id,dataset_label,target_col,raw_score_col,validation_scheme,calibration_method,n,MAE,RMSE,bias,R2,p50_abs_error,p90_abs_error,p95_abs_error,high_tail_bias_official_ge31,high_tail_MAE_official_ge31
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,10473,1.2606893357967242,1.5875654830808297,-0.00030146131744656886,0.5310945437476294,1.0658163152622535,2.567618309360026,3.1410677696184703,-2.349399642907256,2.3555778979824273
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,10473,1.3439764960734277,1.6751117565555969,1.4664540806948446e-06,0.47795304871000477,1.127431423120104,2.755487885510305,3.2607585606629397,-3.052426346934717,3.052426346934717
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,567,1.552906538291873,1.9511424228037837,0.02481386132242777,0.35440956683407376,1.2841405335959841,3.2674813732723442,3.81762522175317,-2.663512050556427,2.663512050556427
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,567,1.6194363902146,1.963746078934804,0.02060160930191819,0.3460420790693226,1.395918694420132,3.256466802462494,3.7125949795343094,-3.2781900728898465,3.2781900728898465
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,10473,1.1240863422916825,1.4334373025052498,-0.00030523884534426333,0.5297360950566266,0.9242528004468582,2.364835215080535,2.850905644501552,-2.5959979379411964,2.5959979379411964
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,10473,1.1573444569256397,1.479326772784265,1.8767174847518053e-06,0.49914446660774103,0.9363026429803831,2.4899758412023907,2.9646901878975274,-3.1154469929932715,3.1154469929932715
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,567,1.4319691812256716,1.816290784601448,0.05738418653321887,0.3112789568086408,1.1739389299380143,3.055486394679841,3.60430102717248,-2.6251077998926498,2.6251077998926498
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,567,1.4455473818430415,1.8006644594303276,0.058714847364059415,0.32307870082913315,1.191118874101619,3.056623754243775,3.459484959077415,-3.1586159891687107,3.1586159891687107
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,10473,1.2708397762088564,1.5973153990864049,-0.00027599706371816035,0.5253173616240159,1.0801650167440897,2.5894649522504496,3.150099936313805,-2.379953119012639,2.385060482003738
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,10473,1.3557913785714562,1.6871793480021036,1.4573681687141114e-06,0.4704042490326542,1.142148632051395,2.770600348431348,3.2818974277706956,-3.08839340090634,3.08839340090634
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,567,1.567894893762339,1.9671764377849554,0.011491195929161454,0.34375535806925506,1.310047544689219,3.2746218569837873,3.8447633899765497,-2.7364155426070673,2.7364155426070673
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,567,1.63408769477123,1.9806769216350752,0.01159974405256043,0.33471700111511316,1.4098455142021038,3.3113474334426063,3.7448011847021636,-3.340039079459888,3.340039079459888
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,10473,1.132352387924713,1.441422693489989,-0.0002857522802522408,0.5244820096675061,0.933050306962631,2.3797606185925924,2.865019397460667,-2.6246462572822384,2.6246462572822384
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,10473,1.1670396465308872,1.489684295145205,1.8678997117914647e-06,0.49210642324972187,0.9451023943040724,2.4986896552297315,2.9849218821130448,-3.1540796538547746,3.1540796538547746
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,567,1.4449338047130902,1.8304569437453997,0.045924717340679724,0.3004937014742677,1.1817428889898807,3.082898242130588,3.6374497525522673,-2.700015514732328,2.700015514732328
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,567,1.4582712034181655,1.8151964572128796,0.050271938024523836,0.31210862489539004,1.2056071914298947,3.0964178655616794,3.499207090340971,-3.2310587956706684,3.2310587956706684
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,10473,1.2606893357967248,1.5875654830808308,-0.0003014613174459664,0.5310945437476289,1.0658163152622606,2.5676183093600216,3.141067769618469,-2.3493996429072577,2.3555778979824287
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,10473,1.3439764960734277,1.6751117565555969,1.4664540806568513e-06,0.47795304871000477,1.127431423120104,2.7554878855103024,3.2607585606629383,-3.052426346934717,3.052426346934717
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,567,1.552906538291873,1.9511424228037837,0.024813861322427393,0.35440956683407376,1.2841405335959841,3.2674813732723416,3.81762522175317,-2.6635120505564274,2.6635120505564274
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,567,1.6194363902146003,1.963746078934804,0.020601609301917984,0.3460420790693226,1.395918694420125,3.256466802462494,3.7125949795343094,-3.2781900728898465,3.2781900728898465
k0.0045,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,10473,1.1240863422916818,1.4334373025052496,-0.00030523884534591875,0.5297360950566268,0.9242528004468653,2.364835215080532,2.850905644501552,-2.5959979379411986,2.5959979379411986
k0.0045,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,10473,1.1573444569256397,1.479326772784265,1.8767174846921016e-06,0.49914446660774103,0.9363026429803831,2.4899758412023907,2.9646901878975274,-3.1154469929932715,3.1154469929932715
k0.0045,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,567,1.4319691812256718,1.8162907846014478,0.05738418653321742,0.31127895680864104,1.1739389299380214,3.0554863946798436,3.6043010271724847,-2.6251077998926515,2.6251077998926515
k0.0045,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,567,1.4455473818430415,1.8006644594303276,0.05871484736405937,0.32307870082913315,1.191118874101619,3.056623754243775,3.4594849590774124,-3.1586159891687107,3.1586159891687107
k0.0055,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,10473,1.2509284089500825,1.5782959409911521,-0.0003230550518809505,0.5365542863973752,1.0550360203262201,2.5574779012855697,3.121968616451446,-2.320291334358097,2.327559998803943
k0.0055,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,10473,1.3324177064043576,1.6632799886797005,1.4755498053976293e-06,0.48530172181941134,1.1141550202069936,2.7478247043395587,3.2408147916282033,-3.0164528663145207,3.0164528663145207
k0.0055,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,567,1.5383041095308807,1.9359625930130429,0.03785715213681542,0.36441583916505704,1.2878800544017501,3.2872429119557256,3.8263002248454563,-2.5927508522861906,2.5927508522861906
k0.0055,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,567,1.6049380738533945,1.9472594422191993,0.029602560737468565,0.3569765969741442,1.383130920664975,3.2165006045641262,3.6801873275910997,-3.2163419801336115,3.2163419801336115
k0.0055,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,10473,1.116113953969117,1.4258733897618394,-0.0003214701540870319,0.534685945764023,0.9174650309823349,2.3528322186754838,2.8465778100730152,-2.5687334269607547,2.5687334269607547
k0.0055,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,10473,1.1479008148588297,1.4692601422895861,1.8855352576198766e-06,0.5059377902200949,0.9267089868228418,2.4725490594996296,2.9482338913346617,-3.076814332131767,3.076814332131767
k0.0055,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,567,1.4193606805725394,1.802842420447011,0.06859921317273494,0.3214401947714446,1.1716383760741529,3.05726370306558,3.5761232703969235,-2.5525020041401336,2.5525020041401336
k0.0055,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,567,1.4331466843742604,1.786638232768557,0.0671577567035955,0.33358334799997913,1.1764316875864935,3.0346084072882924,3.395066903327779,-3.0861731826667502,3.0861731826667502
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,10473,1.2415192124099839,1.5694931835528558,-0.0003411683283378184,0.5417094963363144,1.045713251406216,2.543129761121352,3.109523398487395,-2.2925814269086637,2.300934719919802
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,10473,1.3210969724949087,1.6516919258248812,1.4846789834972296e-06,0.4924485392175395,1.1020435900040546,2.724055525162044,3.218374740592473,-2.9804760618003323,2.9804760618003323
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,567,1.524255003349847,1.921602502153494,0.05061393311562684,0.37380981835673466,1.272013684646602,3.2769816380659744,3.827354719766694,-2.5241118207979962,2.5241118207979962
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,567,1.590752680118583,1.931228331119438,0.038600396782798065,0.3675205920221579,1.3692226112194739,3.171187826680595,3.6842397488670198,-3.1544970027675956,3.1544970027675956
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,10473,1.1084458469038407,1.4187130474849179,-0.0003347726214916583,0.5393475688913282,0.9099117703189386,2.3439356761967285,2.8430837993401274,-2.542791161092527,2.542884006198531
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,10473,1.1386648746500718,1.4594904228311283,1.894353030965578e-06,0.5124863940867834,0.9201497779438945,2.463689569478492,2.9281606622438554,-3.0381816712702636,3.0381816712702636
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,567,1.4070884925401508,1.790083656412037,0.07956714531939021,0.33101058135915373,1.1594006498013627,3.070378711733614,3.5900511416521868,-2.482152774419552,2.482152774419552
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,567,1.421045302517732,1.7731297798758858,0.0756006660431332,0.34362256640792754,1.180657384840206,3.0100361828031112,3.348316864893042,-3.0137303761647907,3.0137303761647907
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,10473,1.2280379461058495,1.5571060946630337,-0.00036255860925107756,0.5489149854755109,1.025759614348317,2.5260643807893683,3.1043543119963966,-2.2534491252945,2.263681237827234
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,10473,1.304438519712084,1.6347657458147429,1.498490027710996e-06,0.5027977918593209,1.0815456383144593,2.7016921398820286,3.2004432268836593,-2.9264755826894917,2.9264755826894917
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,567,1.5042435993735859,1.9015258846782412,0.06920052675310859,0.3868261489254169,1.2449501812324044,3.285143521163281,3.82651609192106,-2.4250409836725653,2.4250409836725653
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,567,1.569580582549444,1.908060567037688,0.05208622929451752,0.38260450637688126,1.3557926866725971,3.145863217464812,3.662485340444054,-3.061740458274848,3.061740458274848
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,10473,1.097524682285149,1.4086906345098082,-0.000349884544492473,0.5458330822022156,0.898479070123507,2.3256744321164495,2.8373824065497533,-2.5062257164957127,2.506465262357528
