candidate_id,dataset_label,target_col,score_col,diagnostic_role,n,candidate_mean,candidate_p95,candidate_p99,candidate_max,official_p95,official_p99,official_max,max_gap,high_tail_bias_official_ge31,high_tail_MAE_official_ge31,high_tail_bias_top_decile,top_decile_MAE,top_decile_official_cut
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,26.1367597370072,27.953121848268385,28.534765160019784,29.23536576092879,31.15,32.22733333333334,34.3,-5.064634239071207,-3.9689075667833684,3.9689075667833684,-3.6377017016525754,3.6377017016525754,30.45
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,main,10473,26.164344753974113,27.978706407078786,28.571794272553625,29.23536576092879,31.8,33.0,34.4,-5.1646342390712086,-4.209778762980203,4.209778762980203,-4.260225673168551,4.260225673168551,31.1
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,10473,26.15879028797665,27.978706407078786,28.571794272553625,29.23536576092879,31.8,33.0,34.4,-5.1646342390712086,-4.212069887165706,4.212069887165706,-4.262313636938361,4.262313636938361,31.1
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,26.11928967483964,27.89620176013762,28.465081497775536,29.144670272387234,31.15,32.22733333333334,34.3,-5.155329727612763,-4.025003127802435,4.025003127802435,-3.6913780188434258,3.6913780188434258,30.45
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,main,10473,26.14680701295966,27.92622198217035,28.508859122932357,29.144670272387234,31.8,33.0,34.4,-5.255329727612764,-4.26327799904618,4.26327799904618,-4.314195963273376,4.314195963273376,31.1
k0.0035,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,10473,26.14125680562862,27.92622198217035,28.508859122932357,29.144670272387234,31.8,33.0,34.4,-5.255329727612764,-4.265582300015887,4.265582300015887,-4.316301654628498,4.316301654628498,31.1
k0.0045,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,26.1367597370072,27.953121848268385,28.534765160019784,29.23536576092879,31.15,32.22733333333334,34.3,-5.064634239071207,-3.9689075667833684,3.9689075667833684,-3.637701701652575,3.637701701652575,30.45
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,main,10473,26.164344753974113,27.978706407078786,28.571794272553625,29.23536576092879,31.8,33.0,34.4,-5.1646342390712086,-4.209778762980203,4.209778762980203,-4.260225673168551,4.260225673168551,31.1
k0.0045,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,10473,26.15879028797665,27.978706407078786,28.571794272553625,29.23536576092879,31.8,33.0,34.4,-5.1646342390712086,-4.212069887165706,4.212069887165706,-4.262313636938361,4.262313636938361,31.1
k0.0055,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,26.154229799174768,28.0076603145304,28.598966509953673,29.326061249470342,31.15,32.22733333333334,34.3,-4.973938750529655,-3.9128120057643017,3.9128120057643017,-3.584025384461724,3.584025384461724,30.45
k0.0055,hourly_max,official_wbgt_c_max,candidate_max,main,10473,26.181883359329223,28.03345291610627,28.634729422174892,29.326061249470342,31.8,33.0,34.4,-5.073938750529656,-4.15627224047582,4.15627224047582,-4.20624754621091,4.20624754621091,31.1
k0.0055,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,10473,26.17632437536313,28.03345291610627,28.634729422174892,29.326061249470342,31.8,33.0,34.4,-5.073938750529656,-4.158552373808642,4.158552373808642,-4.208320133451254,4.208320133451254,31.1
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,26.17169986134233,28.061040450153687,28.66380633095153,29.416756738011895,31.15,32.22733333333334,34.3,-4.8832432619881025,-3.856716444745236,3.856716444745236,-3.530349067270872,3.530349067270872,30.45
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,main,10473,26.199424911409764,28.082911658557105,28.716868989169757,29.434283745402624,31.8,33.0,34.4,-4.965716254597375,-4.102759466359237,4.102759466359237,-4.1522626953969795,4.1522626953969795,31.1
