candidate_id,dataset_label,target_col,score_col,diagnostic_role,event_target,official_event_threshold_c,fixed_score_threshold_c,n,official_positive_count,predicted_positive_count,TP,FP,TN,FN,precision,recall,F1,best_F1_threshold,best_F1_precision,best_F1_recall,best_F1,threshold_offset_ge31,threshold_offset_ge33
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge31,31.0,31.0,10473,623,0,0,0,9850,623,,0.0,,27.6,0.32558139534883723,0.6067415730337079,0.42376681614349776,-3.3999999999999986,
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,28.2,0.03137254901960784,0.26666666666666666,0.05614035087719298,,-4.800000000000001
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,main,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.4,0.47596988998262885,0.6872909698996655,0.5624358535750941,-3.6000000000000014,
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,main,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.2,0.12056737588652482,0.2857142857142857,0.16957605985037402,,-4.800000000000001
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.4,0.47866744593804794,0.6847826086956522,0.563467492260062,-3.6000000000000014,
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.2,0.12,0.2773109243697479,0.16751269035532995,,-4.800000000000001
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge31,31.0,31.0,10473,623,0,0,0,9850,623,,0.0,,27.6,0.3374642516682555,0.5682182985553772,0.423444976076555,-3.3999999999999986,
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,28.6,0.04838709677419355,0.1,0.06521739130434784,,-4.399999999999999
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,main,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.4,0.48068669527896996,0.6555183946488294,0.5546515741068271,-3.6000000000000014,
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,main,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.2,0.13333333333333333,0.2689075630252101,0.17827298050139273,,-4.800000000000001
k0.0035,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.4,0.4830142063001853,0.6538461538461539,0.5555950266429841,-3.6000000000000014,
k0.0035,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.2,0.13389121338912133,0.2689075630252101,0.1787709497206704,,-4.800000000000001
k0.0045,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge31,31.0,31.0,10473,623,0,0,0,9850,623,,0.0,,27.6,0.32558139534883723,0.6067415730337079,0.42376681614349776,-3.3999999999999986,
k0.0045,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,28.2,0.03137254901960784,0.26666666666666666,0.05614035087719298,,-4.800000000000001
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,main,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.4,0.47596988998262885,0.6872909698996655,0.5624358535750941,-3.6000000000000014,
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,main,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.2,0.12056737588652482,0.2857142857142857,0.16957605985037402,,-4.800000000000001
k0.0045,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.4,0.47866744593804794,0.6847826086956522,0.563467492260062,-3.6000000000000014,
k0.0045,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.2,0.12,0.2773109243697479,0.16751269035532995,,-4.800000000000001
k0.0055,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge31,31.0,31.0,10473,623,0,0,0,9850,623,,0.0,,27.8,0.36332574031890663,0.5120385232744783,0.42504996668887407,-3.1999999999999993,
k0.0055,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,28.3,0.03375527426160337,0.26666666666666666,0.059925093632958795,,-4.699999999999999
k0.0055,hourly_max,official_wbgt_c_max,candidate_max,main,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.5,0.4905897114178168,0.6538461538461539,0.5605734767025089,-3.5,
k0.0055,hourly_max,official_wbgt_c_max,candidate_max,main,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.3,0.1245136186770428,0.2689075630252101,0.1702127659574468,,-4.699999999999999
k0.0055,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.5,0.4933670246367656,0.653010033444816,0.5620726880172725,-3.5,
k0.0055,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.3,0.1245136186770428,0.2689075630252101,0.1702127659574468,,-4.699999999999999
