dataset_label,model,event_target,validation_scheme,calibrator,hour,n,event_count,observed_event_rate,mean_predicted_probability,probability_bias,Brier
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0,432,0,0.0,0.0030717119941834517,0.0030717119941834517,2.189673716535738e-05
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,1,432,0,0.0,0.0036774974103916773,0.0036774974103916773,3.0917167937476414e-05
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,2,459,0,0.0,0.004025496895539282,0.004025496895539282,3.532868618753003e-05
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,3,432,0,0.0,0.004879143835998539,0.004879143835998539,5.0963965499549444e-05
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,4,432,0,0.0,0.004942719291390906,0.004942719291390906,5.7533235480531524e-05
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,5,432,0,0.0,0.005453830548863977,0.005453830548863977,6.984637592916014e-05
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,6,432,0,0.0,0.005508509204545258,0.005508509204545258,7.015859893611055e-05
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,7,432,0,0.0,0.005666807677084635,0.005666807677084635,7.329050441111769e-05
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,8,432,5,0.011574074074074073,0.02929160758603922,0.017717533511965148,0.012658169445265455
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,9,432,61,0.1412037037037037,0.09200236774416873,-0.049201335959534964,0.11795229149158801
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,10,432,123,0.2847222222222222,0.27872389699596606,-0.0059983252262561515,0.18174763445800604
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,11,431,180,0.4176334106728538,0.449952926867087,0.03231951619423318,0.18903489655728495
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,12,431,223,0.5174013921113689,0.5253505019112268,0.007949109799857856,0.17996563375876337
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,13,431,208,0.48259860788863107,0.44966072261941614,-0.03293788526921493,0.21132055729622023
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,14,405,176,0.4345679012345679,0.37047062250929336,-0.06409727872527454,0.26244468862906956
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,15,405,138,0.34074074074074073,0.24267316938879993,-0.0980675713519408,0.2382266856181708
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,16,459,64,0.1394335511982571,0.14787161793731632,0.008438066739059225,0.12756366880627473
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,17,459,17,0.037037037037037035,0.07928811343781658,0.04225107640077955,0.04195801642712834
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,18,459,1,0.002178649237472767,0.038878991679673514,0.036700342442200745,0.0041226534332965414
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,19,459,0,0.0,0.015897110223081354,0.015897110223081354,0.0003703184034775151
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,20,459,0,0.0,0.0032645504702065874,0.0032645504702065874,1.4557346584512901e-05
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,21,432,0,0.0,0.0039889545856681774,0.0039889545856681774,2.4206937507399127e-05
