comparison_family,dataset_label,model,event_target,method,operating_point,threshold,Brier,F1,precision,recall,false_alarm_ratio,miss_rate,interpretability,temporal_stability,validation_scheme
Sprint_2C_event_score_mapping,hourly_max,M4_like_inertia_ridge,ge31,high_recall_screening,recall_90,28.7,,0.5550999487442337,0.4002217294900221,0.9055183946488294,0.5997782705099778,0.0944816053511705,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,M4_like_inertia_ridge,ge31,best_F1_screening,best_F1,29.5,,0.5972309628697294,0.4788092835519677,0.7934782608695652,0.5211907164480323,0.2065217391304347,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,M4_like_inertia_ridge,ge31,high_precision_screening,precision_70,30.8,,0.5167820990942994,0.7121879588839941,0.4055183946488294,0.2878120411160059,0.5944816053511706,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,M7_like_compact_weather_ridge,ge31,high_recall_screening,recall_90,28.9,,0.5803164387235183,0.4271614686142913,0.9046822742474916,0.5728385313857086,0.0953177257525083,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,M7_like_compact_weather_ridge,ge31,best_F1_screening,best_F1,29.4,,0.6002430133657352,0.4713740458015267,0.8260869565217391,0.5286259541984732,0.1739130434782608,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,M7_like_compact_weather_ridge,ge31,high_precision_screening,precision_70,30.9,,0.4449621432731508,0.7332053742802304,0.3193979933110368,0.2667946257197697,0.6806020066889632,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,L1_full_dynamic,ge31,high_recall_screening,recall_90,28.8,,0.5790179769251409,0.426313709996049,0.9021739130434784,0.573686290003951,0.0978260869565217,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,L1_full_dynamic,ge31,best_F1_screening,best_F1,29.5,,0.600188738597043,0.481089258698941,0.7976588628762542,0.518910741301059,0.2023411371237458,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,L1_full_dynamic,ge31,high_precision_screening,precision_70,30.9,,0.4657223796033994,0.7223198594024605,0.3436454849498327,0.2776801405975395,0.6563545150501672,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,L1_proxy_radiation,ge31,high_recall_screening,recall_90,28.4,,0.537283950617284,0.3812193412754029,0.9096989966555185,0.6187806587245971,0.0903010033444816,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,L1_proxy_radiation,ge31,best_F1_screening,best_F1,29.7,,0.5932380620425235,0.5086670651524208,0.7115384615384616,0.4913329348475792,0.2884615384615384,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
