prediction_source,validation_scheme,dataset_label,target_col,model,event_target,bin_kind,n_bins,n_low_support_bins,monotonicity,event_rate_min,event_rate_max,mean_abs_residual_official_minus_score
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,fixed,12,1,mostly_monotonic,0.025073746312684365,0.7,0.6606061265341738
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,fixed,12,1,not_monotonic,0.0,0.15555555555555556,0.6606061265341738
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,fixed,10,1,mostly_monotonic,0.01662049861495845,0.851063829787234,0.5233546212986674
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,fixed,10,1,mostly_monotonic,0.0,0.12244897959183673,0.5233546212986674
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,fixed,12,1,mostly_monotonic,0.024096385542168676,0.8181818181818182,0.4654383643524212
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,fixed,12,1,not_monotonic,0.0,0.11405835543766578,0.4654383643524212
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,fixed,11,1,not_monotonic,0.033928571428571426,0.6903225806451613,0.4852998148735585
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,fixed,11,1,not_monotonic,0.0,0.12258064516129032,0.4852998148735585
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,fixed,11,1,mostly_monotonic,0.02090032154340836,0.7807017543859649,0.347441579697294
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,fixed,11,1,mostly_monotonic,0.0,0.12280701754385964,0.347441579697294
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,fixed,11,2,not_monotonic,0.0,0.44884488448844884,0.7654220976111099
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge33,fixed,11,2,not_monotonic,0.0,0.0297029702970297,0.7654220976111099
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge31,fixed,8,1,mostly_monotonic,0.005998286203941731,0.589041095890411,0.41583979699239215
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge33,fixed,8,1,not_monotonic,0.0,0.0410958904109589,0.41583979699239215
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge31,fixed,11,2,mostly_monotonic,0.0,0.46808510638297873,0.6796817715401541
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge33,fixed,11,2,not_monotonic,0.0,0.034220532319391636,0.6796817715401541
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,fixed,10,1,not_monotonic,0.01875,0.4554140127388535,0.6211871846822156
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge33,fixed,10,1,not_monotonic,0.0,0.025477707006369428,0.6211871846822156
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge31,fixed,10,1,not_monotonic,0.018072289156626505,0.519650655021834,0.46280468050585843
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge33,fixed,10,1,not_monotonic,0.0,0.034934497816593885,0.46280468050585843
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,fixed,11,1,not_monotonic,0.0,0.7103448275862069,0.6692939453322201
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,fixed,11,1,mostly_monotonic,0.0,0.07586206896551724,0.6692939453322201
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,fixed,10,2,mostly_monotonic,0.014354066985645933,1.0,0.4909205765303494
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,fixed,10,2,mostly_monotonic,0.0,0.10526315789473684,0.4909205765303494
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,fixed,10,1,mostly_monotonic,0.0,0.8333333333333334,0.2822045925369096
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,fixed,10,1,mostly_monotonic,0.0,0.05454545454545454,0.2822045925369096
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,fixed,10,1,mostly_monotonic,0.007194244604316547,0.7122302158273381,0.39107297064103114
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,fixed,10,1,mostly_monotonic,0.0,0.0718562874251497,0.39107297064103114
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,fixed,11,1,mostly_monotonic,0.0,1.0,0.3581196474659336
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,fixed,11,1,mostly_monotonic,0.0,0.06666666666666667,0.3581196474659336
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,fixed,9,1,mostly_monotonic,0.0,0.45864661654135336,0.3235896780243578
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge33,fixed,9,1,mostly_monotonic,0.0,0.03007518796992481,0.3235896780243578
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge31,fixed,8,2,mostly_monotonic,0.0,0.6071428571428571,0.43396682390404706
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge33,fixed,8,2,mostly_monotonic,0.0,0.029411764705882353,0.43396682390404706
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge31,fixed,9,1,mostly_monotonic,0.0,0.53125,0.35586963497302865
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge33,fixed,9,1,mostly_monotonic,0.0,0.02127659574468085,0.35586963497302865
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,fixed,9,1,mostly_monotonic,0.0,0.47191011235955055,0.3964198656377853
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge33,fixed,9,1,mostly_monotonic,0.0,0.02247191011235955,0.3964198656377853
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge31,fixed,9,1,monotonic,0.0,0.6666666666666666,0.24959925645737335
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge33,fixed,9,1,mostly_monotonic,0.0,0.03333333333333333,0.24959925645737335
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,fixed,12,1,mostly_monotonic,0.0,0.8809523809523809,0.4695864266436744
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,fixed,12,1,not_monotonic,0.0,0.21428571428571427,0.4695864266436744
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,fixed,10,1,mostly_monotonic,0.014769765421372719,0.8723404255319149,0.49592292863810317
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,fixed,10,1,mostly_monotonic,0.0,0.1702127659574468,0.49592292863810317
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,fixed,12,1,mostly_monotonic,0.0,0.8478260869565217,0.5996977451990576
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,fixed,12,1,not_monotonic,0.0,0.1678832116788321,0.5996977451990576
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,fixed,11,1,mostly_monotonic,0.022935779816513763,0.88,0.11650463271554495
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,fixed,11,1,mostly_monotonic,0.0,0.28,0.11650463271554495
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,fixed,11,1,mostly_monotonic,0.006920415224913495,0.848,0.2049068195202227
