station_id,event_support,precision,recall,miss_rate,false_alarm_ratio,recall_miss_false_alarm_caveat,interpretation,not_station_correction,recommended_monitoring
S139,n=62.000; n_ge31=1.000,0.111,1.000,0.000,0.889,S139: n_ge31=1.000; recall=1.000; miss_rate=0.000; false_alarm_ratio=0.889,Focus caveat: very low event support and high false-alarm sensitivity.,yes,Track event support before making station-specific reliability claims.
S142,n=62.000; n_ge31=15.000,1.000,0.533,0.467,0.000,S142: n_ge31=15.000; recall=0.533; miss_rate=0.467; false_alarm_ratio=0.000,Focus caveat: high-tail misses remain material; do not treat this as solved or corrected.,yes,"Track S142 recall, miss rate, high-tail residual, and any no-S142 sensitivity in prospective review."
S124,n=62.000; n_ge31=0.000,0.000,NA,NA,1.000,S124: n_ge31=0.000; recall=NA; miss_rate=NA; false_alarm_ratio=1.000,No held-out ge31 events; recall is not interpretable for this station.,yes,Monitor future ge31 support before station-specific interpretation.
S125,n=62.000; n_ge31=8.000,0.667,0.750,0.250,0.333,S125: n_ge31=8.000; recall=0.750; miss_rate=0.250; false_alarm_ratio=0.333,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S126,n=62.000; n_ge31=8.000,0.750,0.750,0.250,0.250,S126: n_ge31=8.000; recall=0.750; miss_rate=0.250; false_alarm_ratio=0.250,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S127,n=62.000; n_ge31=10.000,1.000,0.900,0.100,0.000,S127: n_ge31=10.000; recall=0.900; miss_rate=0.100; false_alarm_ratio=0.000,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S128,n=62.000; n_ge31=11.000,0.889,0.727,0.273,0.111,S128: n_ge31=11.000; recall=0.727; miss_rate=0.273; false_alarm_ratio=0.111,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S129,n=62.000; n_ge31=10.000,0.875,0.700,0.300,0.125,S129: n_ge31=10.000; recall=0.700; miss_rate=0.300; false_alarm_ratio=0.125,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S130,n=62.000; n_ge31=6.000,0.625,0.833,0.167,0.375,S130: n_ge31=6.000; recall=0.833; miss_rate=0.167; false_alarm_ratio=0.375,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S132,n=62.000; n_ge31=9.000,0.875,0.778,0.222,0.125,S132: n_ge31=9.000; recall=0.778; miss_rate=0.222; false_alarm_ratio=0.125,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S135,n=62.000; n_ge31=11.000,0.875,0.636,0.364,0.125,S135: n_ge31=11.000; recall=0.636; miss_rate=0.364; false_alarm_ratio=0.125,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S137,n=62.000; n_ge31=13.000,0.750,0.462,0.538,0.250,S137: n_ge31=13.000; recall=0.462; miss_rate=0.538; false_alarm_ratio=0.250,High miss-rate caveat under best_F1 diagnostic policy.,yes,Review misses in prospective archive snapshot before promotion.
S140,n=62.000; n_ge31=4.000,0.500,1.000,0.000,0.500,S140: n_ge31=4.000; recall=1.000; miss_rate=0.000; false_alarm_ratio=0.500,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S141,n=62.000; n_ge31=10.000,0.778,0.700,0.300,0.222,S141: n_ge31=10.000; recall=0.700; miss_rate=0.300; false_alarm_ratio=0.222,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S143,n=62.000; n_ge31=7.000,0.636,1.000,0.000,0.364,S143: n_ge31=7.000; recall=1.000; miss_rate=0.000; false_alarm_ratio=0.364,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S144,n=62.000; n_ge31=8.000,0.778,0.875,0.125,0.222,S144: n_ge31=8.000; recall=0.875; miss_rate=0.125; false_alarm_ratio=0.222,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S145,n=62.000; n_ge31=8.000,0.875,0.875,0.125,0.125,S145: n_ge31=8.000; recall=0.875; miss_rate=0.125; false_alarm_ratio=0.125,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S146,n=62.000; n_ge31=3.000,0.375,1.000,0.000,0.625,S146: n_ge31=3.000; recall=1.000; miss_rate=0.000; false_alarm_ratio=0.625,High false-alarm caveat under best_F1 diagnostic policy.,yes,Review false alarms in prospective archive snapshot before promotion.
S147,n=62.000; n_ge31=10.000,1.000,0.900,0.100,0.000,S147: n_ge31=10.000; recall=0.900; miss_rate=0.100; false_alarm_ratio=0.000,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S148,n=62.000; n_ge31=5.000,0.333,0.600,0.400,0.667,S148: n_ge31=5.000; recall=0.600; miss_rate=0.400; false_alarm_ratio=0.667,High miss-rate caveat under best_F1 diagnostic policy.,yes,Review misses in prospective archive snapshot before promotion.
S149,n=62.000; n_ge31=5.000,0.444,0.800,0.200,0.556,S149: n_ge31=5.000; recall=0.800; miss_rate=0.200; false_alarm_ratio=0.556,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S150,n=62.000; n_ge31=3.000,0.250,0.667,0.333,0.750,S150: n_ge31=3.000; recall=0.667; miss_rate=0.333; false_alarm_ratio=0.750,High false-alarm caveat under best_F1 diagnostic policy.,yes,Review false alarms in prospective archive snapshot before promotion.
S151,n=62.000; n_ge31=9.000,0.875,0.778,0.222,0.125,S151: n_ge31=9.000; recall=0.778; miss_rate=0.222; false_alarm_ratio=0.125,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S153,n=62.000; n_ge31=7.000,0.750,0.857,0.143,0.250,S153: n_ge31=7.000; recall=0.857; miss_rate=0.143; false_alarm_ratio=0.250,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S180,n=62.000; n_ge31=9.000,1.000,0.889,0.111,0.000,S180: n_ge31=9.000; recall=0.889; miss_rate=0.111; false_alarm_ratio=0.000,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S184,n=62.000; n_ge31=6.000,0.556,0.833,0.167,0.444,S184: n_ge31=6.000; recall=0.833; miss_rate=0.167; false_alarm_ratio=0.444,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
S187,n=62.000; n_ge31=8.000,0.875,0.875,0.125,0.125,S187: n_ge31=8.000; recall=0.875; miss_rate=0.125; false_alarm_ratio=0.125,No station correction; retain routine caveat monitoring.,yes,Continue prospective station diagnostics.
