sensitivity_id,validation_method,output_id,model_id,status,n,station_count,event_count_ge31,event_count_ge33,MAE,RMSE,bias_pred_minus_obs,p90_abs_error,p95_abs_error,high_tail_mae_obs_ge31,high_tail_mae_obs_ge33,worst_station_abs_bias,worst_station_by_abs_bias,fixed_ge31_TP,fixed_ge31_FP,fixed_ge31_FN,fixed_ge31_TN,fixed_ge31_precision,fixed_ge31_recall,fixed_ge31_F1,fixed_ge31_CSI,fixed_ge31_false_alarm_ratio,fixed_ge31_miss_rate,fixed_ge31_specificity,fixed_ge31_Youden,fixed_ge31_predicted_positive_count,fixed_ge31_observed_positive_count,fixed_ge31_n,fixed_ge33_TP,fixed_ge33_FP,fixed_ge33_FN,fixed_ge33_TN,fixed_ge33_precision,fixed_ge33_recall,fixed_ge33_F1,fixed_ge33_CSI,fixed_ge33_false_alarm_ratio,fixed_ge33_miss_rate,fixed_ge33_specificity,fixed_ge33_Youden,fixed_ge33_predicted_positive_count,fixed_ge33_observed_positive_count,fixed_ge33_n
all,blocked_time,m7_compact_weather,M7_compact_weather_ridge,evaluated,1674,27,204,15,0.8133330744703028,1.1026260111393662,0.05122163629763142,1.768965430136588,2.327836826570941,1.296238763689633,2.0138250133814855,0.6747986019638725,S142,114,81,90,1389,0.5846153846153846,0.5588235294117647,0.5714285714285715,0.4,0.4153846153846154,0.4411764705882353,0.9448979591836735,0.5037214885954382,195,204,1674,0,2,15,1657,0.0,0.0,,0.0,1.0,1.0,0.9987944544906571,-0.0012055455093429313,2,15,1674
all,blocked_time,v09_proxy,M0_raw_proxy,evaluated,1674,27,204,15,1.472012317993481,2.09503101491062,-1.3504609966000118,3.8707201982760604,4.493820799350038,4.27728442204468,5.824880991694884,2.065270761476671,S142,0,0,204,1470,,0.0,,0.0,,1.0,1.0,0.0,0,204,1674,0,0,15,1659,,0.0,,0.0,,1.0,1.0,0.0,0,15,1674
all,blocked_time,wbgt_a_m4,M4_inertia_ridge,evaluated,1674,27,204,15,0.8141774934233972,1.0577795146065971,-0.20637996827671287,1.7458040452909003,2.106263125569089,1.3070799798669852,2.642426790469194,0.9557763002430132,S142,74,40,130,1430,0.6491228070175439,0.3627450980392157,0.46540880503144655,0.30327868852459017,0.3508771929824561,0.6372549019607843,0.9727891156462585,0.3355342136854742,114,204,1674,0,0,15,1659,,0.0,,0.0,,1.0,1.0,0.0,0,15,1674
no_s142_eval,blocked_time,m7_compact_weather,M7_compact_weather_ridge,evaluated,1612,26,189,8,0.8079392491117171,1.091615260830082,0.07914549161538159,1.7302258601687086,2.302221437191204,1.2288193053647447,1.7071921085109443,0.6741560957098242,S137,107,81,82,1342,0.5691489361702128,0.5661375661375662,0.5676392572944298,0.3962962962962963,0.4308510638297872,0.43386243386243384,0.9430780042164442,0.5092155703540104,188,189,1612,0,2,8,1602,0.0,0.0,,0.0,1.0,1.0,0.9987531172069826,-0.0012468827930174342,2,8,1612
no_s142_eval,blocked_time,v09_proxy,M0_raw_proxy,evaluated,1612,26,189,8,1.4485818190311153,2.051090524723516,-1.322968313335525,3.754444369416497,4.357116731797983,4.174635646259006,5.511099753895893,2.04361586613363,S137,0,0,189,1423,,0.0,,0.0,,1.0,1.0,0.0,0,189,1612,0,0,8,1604,,0.0,,0.0,,1.0,1.0,0.0,0,8,1612
no_s142_eval,blocked_time,wbgt_a_m4,M4_inertia_ridge,evaluated,1612,26,189,8,0.8018185273803865,1.034285235192718,-0.17755703243185517,1.7084289360018976,2.0796222547729872,1.2028403521353515,2.4046573724702562,0.9527663800533179,S137,71,40,118,1383,0.6396396396396397,0.37566137566137564,0.4733333333333333,0.31004366812227074,0.36036036036036034,0.6243386243386243,0.971890372452565,0.34755174811394074,111,189,1612,0,0,8,1604,,0.0,,0.0,,1.0,1.0,0.0,0,8,1612
all,station_grouped_loso,m7_compact_weather,M7_compact_weather_ridge,evaluated,1674,27,204,15,0.6824409157368325,0.9122512205350194,0.0014033201864090982,1.4582629610289959,1.9444065681676161,1.1092291606893183,2.204024212319881,0.7355559420157546,S142,117,45,87,1425,0.7222222222222222,0.5735294117647058,0.639344262295082,0.46987951807228917,0.2777777777777778,0.4264705882352941,0.9693877551020408,0.5429171668667467,162,204,1674,0,0,15,1659,,0.0,,0.0,,1.0,1.0,0.0,0,15,1674
all,station_grouped_loso,v09_proxy,M0_raw_proxy,evaluated,1674,27,204,15,1.472012317993481,2.09503101491062,-1.3504609966000118,3.8707201982760604,4.493820799350038,4.27728442204468,5.824880991694884,2.065270761476671,S142,0,0,204,1470,,0.0,,0.0,,1.0,1.0,0.0,0,204,1674,0,0,15,1659,,0.0,,0.0,,1.0,1.0,0.0,0,15,1674
all,station_grouped_loso,wbgt_a_m4,M4_inertia_ridge,evaluated,1674,27,204,15,0.6385250252038897,0.8615203579134916,0.0016186380750904932,1.4381940056244003,1.7948392405169613,0.9951819352116459,2.32331888326575,0.765018500829569,S137,120,56,84,1414,0.6818181818181818,0.5882352941176471,0.631578947368421,0.46153846153846156,0.3181818181818182,0.4117647058823529,0.9619047619047619,0.550140056022409,176,204,1674,0,0,15,1659,,0.0,,0.0,,1.0,1.0,0.0,0,15,1674
no_s142_eval,station_grouped_loso,m7_compact_weather,M7_compact_weather_ridge,evaluated,1612,26,189,8,0.6731635740058383,0.8922253617970768,0.029747907194184606,1.423136786212732,1.8577379170875545,1.0163805109814592,2.0067473040281345,0.7333515136741472,S137,111,45,78,1378,0.7115384615384616,0.5873015873015873,0.6434782608695652,0.47435897435897434,0.28846153846153844,0.4126984126984127,0.9683766690091357,0.555678256310723,156,189,1612,0,0,8,1604,,0.0,,0.0,,1.0,1.0,0.0,0,8,1612
