probability_bin,n,event_count,mean_predicted_probability,p_min,p_max,station_count,observed_event_rate,calibration_gap,abs_calibration_gap,low_support,bin_kind,sensitivity_id,validation_method,event_target,companion_id,model_family,diagnostic_only
"[0.00,0.10)",1222,8,0.0033699107761023307,1e-06,0.0909090909090909,27,0.006546644844517185,-0.0031767340684148546,0.0031767340684148546,False,fixed,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.10,0.20)",142,47,0.1566973274045317,0.10344827586206895,0.1884057971014493,27,0.33098591549295775,-0.17428858808842604,0.17428858808842604,False,fixed,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.20,0.30)",39,14,0.25887082869203376,0.2,0.2857142857142857,22,0.358974358974359,-0.10010353028232521,0.10010353028232521,False,fixed,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.30,0.40)",24,1,0.3636363636363637,0.3636363636363637,0.3636363636363637,24,0.041666666666666664,0.321969696969697,0.321969696969697,True,fixed,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.40,0.50)",99,56,0.4303797468354432,0.4303797468354432,0.4303797468354433,27,0.5656565656565656,-0.1352768188211224,0.1352768188211224,False,fixed,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.50,0.60)",22,14,0.5393921393921393,0.5135135135135135,0.5714285714285714,18,0.6363636363636364,-0.0969714969714971,0.0969714969714971,True,fixed,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.70,0.80)",124,64,0.7325818196973485,0.7272727272727272,0.7777777777777778,27,0.5161290322580645,0.21645278743928398,0.21645278743928398,False,fixed,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.90,1.00)",2,0,0.999999,0.999999,0.999999,2,0.0,0.999999,0.999999,True,fixed,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"(-0.000999, 0.037]",1181,6,0.0011715695178027832,1e-06,0.037037037037037035,27,0.005080440304826418,-0.003908870787023635,0.003908870787023635,False,quantile,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"(0.037, 0.188]",167,42,0.131562485662828,0.06578947368421052,0.18840579710144928,27,0.25149700598802394,-0.11993452032519594,0.11993452032519594,False,quantile,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"(0.188, 0.43]",163,72,0.3557645799635734,0.1884057971014493,0.4303797468354432,27,0.44171779141104295,-0.08595321144746954,0.08595321144746954,False,quantile,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"(0.43, 1.0]",163,84,0.6819783246112265,0.4303797468354433,0.999999,27,0.5153374233128835,0.16664090129834308,0.16664090129834308,False,quantile,all,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.00,0.10)",1292,68,0.014917643171837665,1.1927468192328784e-09,0.0999262966118556,27,0.05263157894736842,-0.037713935775530755,0.037713935775530755,False,fixed,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.10,0.20)",56,6,0.14202835595482452,0.10109569708773183,0.18465851494921232,27,0.10714285714285714,0.03488549881196738,0.03488549881196738,False,fixed,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.20,0.30)",71,30,0.2545342491271807,0.20256326909072864,0.2991719105342501,26,0.4225352112676056,-0.16800096214042493,0.16800096214042493,False,fixed,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.30,0.40)",75,19,0.34032634063741635,0.30528091071840413,0.3958907214869255,27,0.25333333333333335,0.08699300730408299,0.08699300730408299,False,fixed,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.40,0.50)",74,32,0.4507487305583887,0.40696270626565473,0.49572494602605,26,0.43243243243243246,0.018316298125956254,0.018316298125956254,False,fixed,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.50,0.60)",52,25,0.5428129806053895,0.5020659444200273,0.5978805638280594,26,0.4807692307692308,0.062043749836158735,0.062043749836158735,False,fixed,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.60,0.70)",50,23,0.6465195168369078,0.6116876355757385,0.6873229689458824,26,0.46,0.18651951683690776,0.18651951683690776,False,fixed,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
