companion_id,model_family,operating_point,station_id,focus_station_flag,n,event_count_ge31,TP,FP,FN,TN,precision,recall,F1,false_alarm_ratio,miss_rate,mean_output_value,mean_expected_exceedance_ge31_c
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S124,False,62,0,0,9,0,53,0.0,,,1.0,,0.1268822180490889,0.10773295157177701
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S125,False,62,8,6,3,2,51,0.6666666666666666,0.75,0.7058823529411765,0.3333333333333333,0.25,0.13567672657812865,0.10505955855720618
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S126,False,62,8,6,2,2,52,0.75,0.75,0.75,0.25,0.25,0.1219497735398,0.08919566540618101
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S127,False,62,10,9,0,1,52,1.0,0.9,0.9473684210526316,0.0,0.1,0.12431259194065776,0.12005875098099912
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S128,False,62,11,8,1,3,50,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.1111111111111111,0.2727272727272727,0.11980449131611615,0.10361391851435259
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S129,False,62,10,7,1,3,51,0.875,0.7,0.7777777777777777,0.125,0.3,0.11251100886980496,0.10267409217676263
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S130,False,62,6,5,3,1,53,0.625,0.8333333333333334,0.7142857142857143,0.375,0.16666666666666666,0.12051932547509009,0.11402809472831008
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S132,False,62,9,7,1,2,52,0.875,0.7777777777777778,0.823529411764706,0.125,0.2222222222222222,0.12362288450081663,0.09568681415346668
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S135,False,62,11,7,1,4,50,0.875,0.6363636363636364,0.7368421052631579,0.125,0.36363636363636365,0.10885143998503183,0.09103077590946063
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S137,False,62,13,6,2,7,47,0.75,0.46153846153846156,0.5714285714285714,0.25,0.5384615384615384,0.11597618457951105,0.10644218964300546
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S139,True,62,1,1,8,0,53,0.1111111111111111,1.0,0.19999999999999998,0.8888888888888888,0.0,0.12195950247524151,0.11224474738870474
isotonic_m4_score_ge31,sklearn_isotonic_regression,best_F1,S140,False,62,4,4,4,0,54,0.5,1.0,0.6666666666666666,0.5,0.0,0.12626854734196485,0.09363213526842022
