path,exists,row_count,columns,detected_target_columns,detected_prediction_columns,detected_model_name_columns,detected_station_columns,detected_time_columns,detected_weather_columns,candidate_score,selected_for_analysis,reason
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,yes,30132,row_id|timestamp|date|station_id|official_wbgt_c_max|wbgt_proxy_v09_c|model|cv_scheme|fold|prediction_wbgt_c|residual_obs_minus_pred_c,official_wbgt_c_max,prediction_wbgt_c,model,station_id,timestamp,,200,yes,preferred_rank_1; hourly_max_threshold_relevant; selected_existing_usable_input
outputs/v11_beta_calibration/hourly_mean/v11_beta_oof_predictions.csv,yes,30132,row_id|timestamp|date|station_id|official_wbgt_c_mean|wbgt_proxy_v09_c|model|cv_scheme|fold|prediction_wbgt_c|residual_obs_minus_pred_c,official_wbgt_c_mean,prediction_wbgt_c,model,station_id,timestamp,,150,no,preferred_rank_2
outputs/v11_beta_calibration/all_stations/v11_beta_oof_predictions.csv,yes,111276,row_id|timestamp|date|station_id|official_wbgt_c|wbgt_proxy_v09_c|model|cv_scheme|fold|prediction_wbgt_c|residual_obs_minus_pred_c,official_wbgt_c,prediction_wbgt_c,model,station_id,timestamp,,140,no,preferred_rank_3
outputs/v11_beta_calibration/no_S142/v11_beta_oof_predictions.csv,yes,107172,row_id|timestamp|date|station_id|official_wbgt_c|wbgt_proxy_v09_c|model|cv_scheme|fold|prediction_wbgt_c|residual_obs_minus_pred_c,official_wbgt_c,prediction_wbgt_c,model,station_id,timestamp,,130,no,preferred_rank_4
outputs/v11_beta_calibration/ablation_A_all/v11_beta_oof_predictions.csv,yes,111276,row_id|timestamp|date|station_id|official_wbgt_c|wbgt_proxy_v09_c|model|cv_scheme|fold|prediction_wbgt_c|residual_obs_minus_pred_c,official_wbgt_c,prediction_wbgt_c,model,station_id,timestamp,,60,no,usable_nonpreferred_candidate
outputs/v11_beta_calibration/ablation_B_retrospective/v11_beta_oof_predictions.csv,yes,111276,row_id|timestamp|date|station_id|official_wbgt_c|wbgt_proxy_v09_c|model|cv_scheme|fold|prediction_wbgt_c|residual_obs_minus_pred_c,official_wbgt_c,prediction_wbgt_c,model,station_id,timestamp,,60,no,usable_nonpreferred_candidate
outputs/v11_beta_calibration/ablation_C_fresh_v11/v11_beta_oof_predictions.csv,yes,14580,row_id|timestamp|date|station_id|official_wbgt_c|wbgt_proxy_v09_c|model|cv_scheme|fold|prediction_wbgt_c|residual_obs_minus_pred_c,official_wbgt_c,prediction_wbgt_c,model,station_id,timestamp,,60,no,usable_nonpreferred_candidate
outputs/v11_beta_calibration/ablation_D_migrated/v11_beta_oof_predictions.csv,yes,96696,row_id|timestamp|date|station_id|official_wbgt_c|wbgt_proxy_v09_c|model|cv_scheme|fold|prediction_wbgt_c|residual_obs_minus_pred_c,official_wbgt_c,prediction_wbgt_c,model,station_id,timestamp,,60,no,usable_nonpreferred_candidate
outputs/v11_beta_calibration/v11_beta_oof_predictions.csv,yes,75964,row_id|timestamp|date|station_id|official_wbgt_c|raw_proxy_wbgt_radiative_fallback_c|model|cv_scheme|fold|prediction_wbgt_c|residual_obs_minus_pred_c,official_wbgt_c,prediction_wbgt_c,model,station_id,timestamp,,60,no,usable_nonpreferred_candidate
outputs/v11_level1/reproduction/metrics_reproduction_table.csv,yes,9,dataset_label|model|cv_scheme|target_col|raw_proxy_col|filter_mode|input_csv|row_count|station_count|fold_count|n_features|ridge_backend|ridge_backend_requested|imputation_method|scaling_method|alpha_used|sklearn_failed|fallback_used|sklearn_failure_message|sys_executable|command_run|n|mae|rmse|bias|r2|wbgt_ge_31_tp|wbgt_ge_31_fp|wbgt_ge_31_tn|wbgt_ge_31_fn|wbgt_ge_31_precision|wbgt_ge_31_recall|wbgt_ge_31_f1|wbgt_ge_33_tp|wbgt_ge_33_fp|wbgt_ge_33_tn|wbgt_ge_33_fn|wbgt_ge_33_precision|wbgt_ge_33_recall|wbgt_ge_33_f1|previous_metrics_csv|previous_mae|previous_rmse|previous_bias|previous_r2|delta_mae_minus_previous|delta_rmse_minus_previous|delta_bias_minus_previous|delta_r2_minus_previous|evaluation_sys_executable|evaluation_command_run,,,model,,,,10,no,no_detected_target; no_detected_prediction
