"base","relative_path","local_preflight_path","exists","size_bytes","readable","row_count","station_column","time_column","weather_columns","unique_weather_keys","matched_residual_rows","retention_rate","candidate_score","error"
"orig","outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv","local_preflight_path_omitted","True","75254765","True","40419","station_id","timestamp_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation","10476","6696","1.0","1099.2569376573529",""
"orig","outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_diag.csv","local_preflight_path_omitted","True","63934574","True","40419","station_id","timestamp_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation","10476","6696","1.0","1099.2569376573529",""
"orig","outputs/v11_level1/feature_ablation/feature_matrix_hourly_max.csv","local_preflight_path_omitted","True","6322811","True","10473","station_id","timestamp_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation","10473","6696","1.0","1099.2566512748394",""
"orig","outputs/v11_level1/reproduction/feature_matrix_hourly_max.csv","local_preflight_path_omitted","True","984623","True","1674","station_id","timestamp_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation","1674","6696","1.0","1097.4235684442592",""
"orig","data/calibration/v11/v11_station_weather_pairs_hourly.csv","local_preflight_path_omitted","True","939314","True","1674","station_id","timestamp_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation","1674","6696","1.0","1097.4235684442592",""
"orig","data/calibration/v11/v11_station_weather_pairs_v091.csv","local_preflight_path_omitted","True","11216255","True","6372","station_id","timestamp_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation","1674","6696","1.0","1097.4235684442592",""
"orig","data/calibration/v09_historical_forecast_by_station_hourly.csv","local_preflight_path_omitted","True","1174908","True","1296","station_id","time_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|cloud_cover|direct_radiation|diffuse_radiation","1296","2700","0.4032258064516129","480.39361563592934",""
"al1h","data/calibration/v09_historical_forecast_by_station_hourly.csv","local_preflight_path_omitted","True","1173611","True","1296","station_id","time_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|cloud_cover|direct_radiation|diffuse_radiation","1296","2700","0.4032258064516129","480.39361563592934",""
"orig","data/calibration/v09_wbgt_station_pairs.csv","local_preflight_path_omitted","True","1849401","True","2564","station_id","timestamp_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|cloud_cover|direct_radiation|diffuse_radiation","675","2700","0.4032258064516129","479.7419995276558",""
"al1h","data/calibration/v09_wbgt_station_pairs.csv","local_preflight_path_omitted","True","1846836","True","2564","station_id","timestamp_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|cloud_cover|direct_radiation|diffuse_radiation","675","2700","0.4032258064516129","479.7419995276558",""
"orig","data/calibration/v11/live_chunks/wbgt_pairs_2026-05-24.csv.gz","local_preflight_path_omitted","True","40831","True","243","station_id","timestamp_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation","243","0","0.0","95.49716822529321",""
"al1h","data/calibration/v11/live_chunks/wbgt_pairs_2026-05-24.csv.gz","local_preflight_path_omitted","True","40831","True","243","station_id","timestamp_sgt","temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation","243","0","0.0","95.49716822529321",""
"al1h","outputs/v11_level1/reproduction/feature_matrix_hourly_max.csv","local_preflight_path_omitted","False","0","False","0","","","","0","0","0.0","-100.0",""
"al1h","outputs/v11_level1/feature_ablation/feature_matrix_hourly_max.csv","local_preflight_path_omitted","False","0","False","0","","","","0","0","0.0","-100.0",""
"al1h","data/calibration/v11/v11_station_weather_pairs_hourly.csv","local_preflight_path_omitted","False","0","False","0","","","","0","0","0.0","-100.0",""
"al1h","data/calibration/v11/v11_station_weather_pairs_v091.csv","local_preflight_path_omitted","False","0","False","0","","","","0","0","0.0","-100.0",""
"al1h","outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv","local_preflight_path_omitted","False","0","False","0","","","","0","0","0.0","-100.0",""
"al1h","outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_diag.csv","local_preflight_path_omitted","False","0","False","0","","","","0","0","0.0","-100.0",""
