feature_name,source_column,source_role,source_path,feature_class,available,allowed_for_future_preflight_model,station_level_static,explicit_station_mapping,n_stations_available,leakage_check,notes,n_station_universe,station_coverage_rate
station_name,station_name,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,station_metadata,True,True,True,True,27.0,allowed descriptive station-context field,,27,1.0
station_town_center,station_town_center,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,station_metadata,True,True,True,True,27.0,allowed descriptive station-context field,,27,1.0
station_lat,station_lat,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,station_metadata,True,True,True,True,27.0,allowed descriptive station-context field,,27,1.0
station_lon,station_lon,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,station_metadata,True,True,True,True,27.0,allowed descriptive station-context field,,27,1.0
nearest_grid_cell,nearest_grid_cell,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,forcing_pairing_metadata,True,True,True,True,27.0,allowed descriptive station-context field,"May describe station/weather pairing context, not causal correction.",27,1.0
nearest_grid_distance_m,nearest_grid_distance_m,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,forcing_pairing_metadata,True,True,True,True,27.0,allowed descriptive station-context field,"May describe station/weather pairing context, not causal correction.",27,1.0
morphology_representativeness,morphology_representativeness,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,forcing_pairing_metadata,True,True,True,True,27.0,allowed descriptive station-context field,"May describe station/weather pairing context, not causal correction.",27,1.0
station_nearest_grid_svf,station_nearest_grid_svf,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,morphology_proxy,True,True,True,True,27.0,allowed only as descriptive proxy through explicit station-to-cell mapping; not a local WBGT target,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,1.0
station_nearest_grid_shade_fraction,station_nearest_grid_shade_fraction,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,morphology_proxy,True,True,True,True,27.0,allowed only as descriptive proxy through explicit station-to-cell mapping; not a local WBGT target,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,1.0
station_nearest_grid_tree_canopy_fraction,station_nearest_grid_tree_canopy_fraction,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,morphology_proxy,True,True,True,True,27.0,allowed only as descriptive proxy through explicit station-to-cell mapping; not a local WBGT target,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,1.0
station_nearest_grid_ndvi_mean,station_nearest_grid_ndvi_mean,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,morphology_proxy,True,True,True,True,27.0,allowed only as descriptive proxy through explicit station-to-cell mapping; not a local WBGT target,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,1.0
station_nearest_grid_gvi_percent,station_nearest_grid_gvi_percent,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,morphology_proxy,True,True,True,True,27.0,allowed only as descriptive proxy through explicit station-to-cell mapping; not a local WBGT target,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,1.0
station_nearest_grid_road_fraction,station_nearest_grid_road_fraction,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,morphology_proxy,True,True,True,True,27.0,allowed only as descriptive proxy through explicit station-to-cell mapping; not a local WBGT target,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,1.0
station_nearest_grid_building_density,station_nearest_grid_building_density,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,morphology_proxy,True,True,True,True,27.0,allowed only as descriptive proxy through explicit station-to-cell mapping; not a local WBGT target,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,1.0
station_nearest_grid_park_distance_m,station_nearest_grid_park_distance_m,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,morphology_proxy,True,True,True,True,27.0,allowed only as descriptive proxy through explicit station-to-cell mapping; not a local WBGT target,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,1.0
station_nearest_grid_water_distance_m,station_nearest_grid_water_distance_m,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,morphology_proxy,True,True,True,True,27.0,allowed only as descriptive proxy through explicit station-to-cell mapping; not a local WBGT target,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,1.0
station_nearest_grid_land_use_hint,station_nearest_grid_land_use_hint,v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,morphology_proxy,True,True,True,True,27.0,allowed only as descriptive proxy through explicit station-to-cell mapping; not a local WBGT target,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,1.0
