signal_metric,probability_case_id,feature_class,n_stations,stable_signal_station_count,low_support_station_count,n_feature_columns_available,max_station_feature_coverage,best_descriptive_rank_feature,best_abs_spearman_rank_association,association_n_stations,association_interpretation,identifiability_assessment
mean_context_adjusted_score_residual_c,,station_metadata,27,14,0,7,27.0,station_lat,0.4578754578754578,27,descriptive_only_low_n_not_causal,scoped_preflight_model_possible_descriptive_low_n
mean_context_adjusted_score_residual_c,,forcing_pairing_metadata,27,14,0,6,27.0,nearest_grid_distance_m,0.2045177045177045,27,descriptive_only_low_n_not_causal,scoped_preflight_model_possible_descriptive_low_n
mean_context_adjusted_score_residual_c,,morphology_proxy,27,14,0,23,27.0,station_nearest_grid_water_distance_m,0.6136715355209267,27,descriptive_only_low_n_not_causal,scoped_preflight_model_possible_descriptive_low_n
mean_context_adjusted_high_tail_residual_c,,station_metadata,26,8,19,7,27.0,station_lon,0.33128205128205124,26,descriptive_only_low_n_not_causal,scoped_preflight_model_possible_descriptive_low_n
mean_context_adjusted_high_tail_residual_c,,forcing_pairing_metadata,26,8,19,6,27.0,nearest_grid_distance_m,0.4051282051282051,26,descriptive_only_low_n_not_causal,scoped_preflight_model_possible_descriptive_low_n
mean_context_adjusted_high_tail_residual_c,,morphology_proxy,26,8,19,23,27.0,station_nearest_grid_water_distance_m,0.41968047434145095,26,descriptive_only_low_n_not_causal,scoped_preflight_model_possible_descriptive_low_n
mean_context_adjusted_probability_error_obs_minus_p,current_companion_best_f1,station_metadata,27,1,19,7,27.0,station_lat,0.23015873015873015,27,descriptive_only_low_n_not_causal,signal_not_stable_enough
mean_context_adjusted_probability_error_obs_minus_p,current_companion_best_f1,forcing_pairing_metadata,27,1,19,6,27.0,nearest_grid_distance_m,0.24053724053724052,27,descriptive_only_low_n_not_causal,signal_not_stable_enough
mean_context_adjusted_probability_error_obs_minus_p,current_companion_best_f1,morphology_proxy,27,1,19,23,27.0,station_nearest_grid_water_distance_m,0.46411613612911984,27,descriptive_only_low_n_not_causal,signal_not_stable_enough
mean_context_adjusted_probability_error_obs_minus_p,current_companion_recall90,station_metadata,27,1,19,7,27.0,station_lat,0.23015873015873015,27,descriptive_only_low_n_not_causal,signal_not_stable_enough
mean_context_adjusted_probability_error_obs_minus_p,current_companion_recall90,forcing_pairing_metadata,27,1,19,6,27.0,nearest_grid_distance_m,0.24053724053724052,27,descriptive_only_low_n_not_causal,signal_not_stable_enough
mean_context_adjusted_probability_error_obs_minus_p,current_companion_recall90,morphology_proxy,27,1,19,23,27.0,station_nearest_grid_water_distance_m,0.46411613612911984,27,descriptive_only_low_n_not_causal,signal_not_stable_enough
mean_context_adjusted_probability_error_obs_minus_p,recall_first_challenger_selected_policy,station_metadata,27,1,19,7,27.0,station_lat,0.24542124542124538,27,descriptive_only_low_n_not_causal,signal_not_stable_enough
mean_context_adjusted_probability_error_obs_minus_p,recall_first_challenger_selected_policy,forcing_pairing_metadata,27,1,19,6,27.0,nearest_grid_distance_m,0.17826617826617824,27,descriptive_only_low_n_not_causal,signal_not_stable_enough
mean_context_adjusted_probability_error_obs_minus_p,recall_first_challenger_selected_policy,morphology_proxy,27,1,19,23,27.0,station_nearest_grid_water_distance_m,0.49223502320485213,27,descriptive_only_low_n_not_causal,signal_not_stable_enough
