inventory_role,path,exists,is_directory,file_size_bytes,rows_total,column_count_sampled,columns_present_sample,has_station_id,has_cell_id,has_timestamp_key,forbidden_like_column_sample_count,forbidden_like_column_sample,selected_for_analysis,source_class,notes
residual_weather_merge,outputs/v11_systema_l1_high_tail/weather_regime_merge_full_period/residual_weather_merge_full_period.csv,True,False,3418461.0,6696,44,source_path;row_id;model_name;official_wbgt_c;model_score;station_id;hour_sgt;timestamp;date;cv_scheme;fold;residual_c;abs_error_c;obs_ge31;pred_ge31_fixed;obs_ge33;pred_ge33_fixed;ge31_event_class;observed_wbgt_bin;predicted_score_bin;merge_station_id;merge_time_sgt_hour;merge_key_available;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;cloud_cover;precipitation;direct_radiation;diffuse_radiation;weather_source_base;weather_source_relative_path;has_weather_match;shortwave_bin;shortwave_3h_mean_bin;humidity_bin;wind_bin;temperature_bin;cloud_cover_bin;direct_radiation_bin;diffuse_radiation_bin;combined_radiation_hot_regime,True,False,True,4,official_wbgt_c;residual_c;obs_ge31;obs_ge33,True,diagnostic_input,Station key available.
probability_predictions_oof,outputs/v11_systema_l1_high_tail/probability_threshold_calibration/probability_predictions_oof.csv.gz,True,False,553842.0,33356,40,row_id;model_name;station_id;fold;cv_scheme;timestamp;date;hour_sgt;official_wbgt_c;model_score;radiation_hot_flag;shortwave_very_high_flag;shortwave_3h_very_high_flag;combined_radiation_hot_regime;shortwave_bin;shortwave_3h_mean_bin;temperature_bin;humidity_bin;wind_bin;cloud_cover_bin;direct_radiation_bin;diffuse_radiation_bin;event_target;event_col;official_event_threshold_c;event_observed;calibrator_id;calibrator_family;diagnostic_only;validation_method;fold_id;probability;p_ge31;p_ge33;fit_status;train_n;train_event_count;train_non_event_count;train_event_rate;low_support_bins,True,False,True,2,official_wbgt_c;event_target,True,diagnostic_input,Station key available.
threshold_operating_points,outputs/v11_systema_l1_high_tail/probability_threshold_calibration/threshold_operating_points.csv,True,False,34415.0,103,28,model_name;event_target;official_event_threshold_c;output_kind;output_id;validation_method;operating_point;threshold_source;status;n_folds_evaluated;n_folds_skipped;threshold;threshold_min;threshold_max;precision;recall;F1;CSI;false_alarm_ratio;miss_rate;TP;FP;FN;TN;n;fold_F1_std;fold_recall_std;fold_precision_std,False,False,False,1,event_target,True,diagnostic_input,
threshold_by_station,outputs/v11_systema_l1_high_tail/probability_threshold_calibration/threshold_by_station.csv,True,False,607684.0,2359,25,model_name;event_target;output_kind;output_id;validation_method;operating_point;station_id;focus_station_flag;threshold_mean;n;event_count;observed_event_rate;mean_output_value;probability_bias;Brier;TP;FP;FN;TN;precision;recall;F1;CSI;false_alarm_ratio;miss_rate,True,False,False,1,event_target,True,diagnostic_input,Station key available.
station_regime_caveats,outputs/v11_systema_l1_high_tail/level1_integration/systema_l1h_station_regime_caveats.csv,True,False,2328.0,6,7,caveat_id;topic;evidence;interpretation;safe_claim;forbidden_claim;recommended_handling,False,False,False,0,,False,diagnostic_input,
challenger_oof_predictions,outputs/v11_systema_l1_high_tail/high_tail_challenger/challenger_oof_predictions.csv.gz,True,False,321438.0,10044,57,row_id;station_id;fold;cv_scheme;timestamp;date;hour_sgt;official_wbgt_c;model_score;obs_ge31;obs_ge33;expected_exceedance_above31_c;radiation_hot_flag;shortwave_very_high_flag;shortwave_3h_very_high_flag;combined_radiation_hot_regime;shortwave_bin;shortwave_3h_mean_bin;temperature_bin;humidity_bin;wind_bin;cloud_cover_bin;direct_radiation_bin;diffuse_radiation_bin;candidate_id;candidate_family;event_target;event_col;official_event_threshold_c;event_observed;output_kind;diagnostic_only;validation_method;fold_id;output_value;probability;p_ge31;selected_params;feature_columns;fit_status;train_n;train_event_count;train_non_event_count;train_event_rate;low_support_bins;source_probability;refit_probability;source_probability_delta_abs;resolved_positive_weight;inner_selected_F1;inner_selected_CSI;inner_selected_precision;inner_selected_recall;inner_selected_threshold;mean_train_correction_c;mean_test_correction_c;p95_abs_test_correction_c,True,False,True,4,official_wbgt_c;obs_ge31;obs_ge33;event_target,True,diagnostic_input,Station key available.
challenger_threshold_metrics,outputs/v11_systema_l1_high_tail/high_tail_challenger/challenger_threshold_metrics.csv,True,False,8980.0,17,30,candidate_id;candidate_family;event_target;official_event_threshold_c;output_kind;diagnostic_only;validation_method;operating_point;threshold_source;status;n_folds_evaluated;n_folds_skipped;threshold;threshold_min;threshold_max;precision;recall;F1;CSI;false_alarm_ratio;miss_rate;TP;FP;FN;TN;n;fold_F1_std;fold_recall_std;fold_precision_std;selected_params_summary,False,False,False,1,event_target,True,diagnostic_input,
challenger_by_station,outputs/v11_systema_l1_high_tail/high_tail_challenger/challenger_by_station.csv,True,False,142058.0,445,26,candidate_id;candidate_family;event_target;output_kind;validation_method;operating_point;station_id;focus_station_flag;threshold_mean;n;event_count;observed_event_rate;mean_output_value;probability_bias;Brier;mean_expected_exceedance_above31_c;TP;FP;FN;TN;precision;recall;F1;CSI;false_alarm_ratio;miss_rate,True,False,False,1,event_target,True,diagnostic_input,Station key available.
challenger_pairwise_vs_current_companion,outputs/v11_systema_l1_high_tail/high_tail_challenger/challenger_pairwise_vs_current_companion.csv,True,False,12689.0,30,22,baseline_candidate_id;baseline_operating_point;candidate_id;candidate_family;candidate_operating_point;delta_recall;delta_miss_rate;delta_precision;delta_false_alarm_ratio;delta_F1;delta_CSI;candidate_precision;candidate_recall;candidate_F1;candidate_CSI;candidate_false_alarm_ratio;candidate_miss_rate;station_where_it_improves_misses;station_where_it_worsens_false_alarms;radiation_hot_misses_improved_count;radiation_hot_false_alarm_delta;radiation_hot_recall_delta,False,False,False,0,,False,diagnostic_input,
station_grid_mapping,outputs/v11_level1/pairing_audit/station_grid_mapping.csv,True,False,9930.0,27,35,input_file;station_id;station_name;station_name_n_unique;station_lat;station_lat_n_unique;station_lon;station_lon_n_unique;latitude;latitude_n_unique;longitude;longitude_n_unique;location_id;location_id_n_unique;location_name;location_name_n_unique;cell_id;cell_id_n_unique;n_rows;n_timestamps;min_timestamp;max_timestamp;temperature_2m_n_nonnull;temperature_2m_n_unique;relative_humidity_2m_n_nonnull;relative_humidity_2m_n_unique;wind_speed_10m_n_nonnull;wind_speed_10m_n_unique;shortwave_radiation_n_nonnull;shortwave_radiation_n_unique;wbgt_proxy_v09_c_n_nonnull;wbgt_proxy_v09_c_n_unique;station_to_openmeteo_coord_delta_deg;openmeteo_coord_key;n_stations_sharing_openmeteo_coord,True,True,False,0,,True,station_metadata_or_pairing,Station key available.
