probability_case_id,probability_case_label,probability_source_kind,policy_operating_point,station_id,policy_threshold,n_rows,n_ge31,n_ge33_exploratory,observed_event_rate,mean_probability,p_ge31_Brier,mean_probability_error_obs_minus_p,probability_bias_pred_minus_obs,mean_context_adjusted_probability_error_obs_minus_p,radiation_hot_support_count,very_high_shortwave_support_count,very_high_shortwave_3h_support_count,computed_TP,computed_FP,computed_FN,computed_TN,computed_precision,computed_recall,computed_false_alarm_ratio,computed_false_alarm_rate,computed_miss_rate,low_support_warning_flag,low_support_reason,source_policy_threshold_mean,source_policy_TP,source_policy_FP,source_policy_FN,source_policy_TN,source_policy_precision,source_policy_recall,source_policy_F1,source_policy_CSI,source_policy_false_alarm_ratio,source_policy_miss_rate,miss_rate_at_policy,false_alarm_ratio_at_policy,precision_at_policy,recall_at_policy,TP_at_policy,FP_at_policy,FN_at_policy,TN_at_policy,false_alarm_rate_note
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S142,0.2800000000000001,62,15,7,0.24193548387096775,0.11412229578107011,0.08965081404105156,0.12781318808989764,-0.12781318808989764,0.1300358979139762,29,15,15,8,0,7,47,1.0,0.5333333333333333,0.0,0.0,0.4666666666666667,False,,0.2800000000000001,8,0,7,47,1.0,0.5333333333333333,0.6956521739130436,0.5333333333333333,0.0,0.4666666666666667,0.4666666666666667,0.0,1.0,0.5333333333333333,8,0,7,47,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S137,0.2899999999999998,62,13,2,0.20967741935483872,0.11597618457951105,0.10513503435019975,0.09370123477532767,-0.09370123477532767,0.09592394459940624,29,15,15,6,2,7,47,0.75,0.46153846153846156,0.25,0.04081632653061224,0.5384615384615384,False,,0.2899999999999998,6,2,7,47,0.75,0.4615384615384615,0.5714285714285714,0.4,0.25,0.5384615384615384,0.5384615384615384,0.25,0.75,0.4615384615384615,6,2,7,47,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S135,0.2899999999999998,62,11,0,0.1774193548387097,0.10885143998503181,0.06278220371304118,0.06856791485367787,-0.06856791485367787,0.06736410394910079,25,14,15,7,1,4,50,0.875,0.6363636363636364,0.125,0.0196078431372549,0.36363636363636365,False,,0.2899999999999998,7,1,4,50,0.875,0.6363636363636364,0.7368421052631579,0.5833333333333334,0.125,0.3636363636363636,0.3636363636363636,0.125,0.875,0.6363636363636364,7,1,4,50,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S128,0.2899999999999998,62,11,2,0.1774193548387097,0.11980449131611613,0.04818053326573115,0.057614863522593526,-0.057614863522593526,0.05455689694728274,28,15,15,8,1,3,50,0.8888888888888888,0.7272727272727273,0.1111111111111111,0.0196078431372549,0.2727272727272727,False,,0.2899999999999998,8,1,3,50,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.6666666666666666,0.1111111111111111,0.2727272727272727,0.2727272727272727,0.1111111111111111,0.8888888888888888,0.7272727272727273,8,1,3,50,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S129,0.3000000000000001,62,10,0,0.16129032258064516,0.11251100886980495,0.04955290817635703,0.048779313710840225,-0.048779313710840225,0.052923102180187566,32,16,17,7,1,3,51,0.875,0.7,0.125,0.019230769230769232,0.3,False,,0.3000000000000001,7,1,3,51,0.875,0.7,0.7777777777777777,0.6363636363636364,0.125,0.3,0.3,0.125,0.875,0.7,7,1,3,51,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S127,0.3099999999999999,62,10,0,0.16129032258064516,0.12431259194065776,0.03102963086272176,0.0369777306399874,-0.0369777306399874,0.03830716338165443,30,16,16,9,0,1,52,1.0,0.9,0.0,0.0,0.1,False,,0.3099999999999999,9,0,1,52,1.0,0.9,0.9473684210526316,0.9,0.0,0.1,0.1,0.0,1.0,0.9,9,0,1,52,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S147,0.3099999999999999,62,10,0,0.16129032258064516,0.12459648610765457,0.03103462837618949,0.036693836472990585,-0.036693836472990585,0.03802326921465761,30,16,16,9,0,1,52,1.0,0.9,0.0,0.0,0.1,False,,0.3099999999999999,9,0,1,52,1.0,0.9,0.9473684210526316,0.9,0.0,0.1,0.1,0.0,1.0,0.9,9,0,1,52,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S141,0.3000000000000001,62,10,2,0.16129032258064516,0.12174529051042551,0.05952697942060766,0.039545032070219664,-0.039545032070219664,0.036487065494908856,28,15,15,7,2,3,50,0.7777777777777778,0.7,0.2222222222222222,0.038461538461538464,0.3,False,,0.3000000000000001,7,2,3,50,0.7777777777777778,0.7,0.7368421052631577,0.5833333333333334,0.2222222222222222,0.3,0.3,0.2222222222222222,0.7777777777777778,0.7,7,2,3,50,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S151,0.3000000000000001,62,9,0,0.14516129032258066,0.11460871182232375,0.03980567951492362,0.03055257850025693,-0.03055257850025693,0.02785650566177548,28,15,15,7,1,2,52,0.875,0.7777777777777778,0.125,0.018867924528301886,0.2222222222222222,True,n_ge31<10,0.3000000000000001,7,1,2,52,0.875,0.7777777777777778,0.823529411764706,0.7,0.125,0.2222222222222222,0.2222222222222222,0.125,0.875,0.7777777777777778,7,1,2,52,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S180,0.3099999999999999,62,9,0,0.14516129032258066,0.12260423435970774,0.027315177479001675,0.022557055962872934,-0.022557055962872934,0.02106547391586257,26,16,15,8,0,1,53,1.0,0.8888888888888888,0.0,0.0,0.1111111111111111,True,n_ge31<10,0.3099999999999999,8,0,1,53,1.0,0.8888888888888888,0.9411764705882352,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,0.0,1.0,0.8888888888888888,8,0,1,53,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S132,0.3399999999999999,62,9,0,0.14516129032258066,0.12362288450081663,0.039680280880983666,0.02153840582176403,-0.02153840582176403,0.019684930037924295,25,16,15,7,1,2,52,0.875,0.7777777777777778,0.125,0.018867924528301886,0.2222222222222222,True,n_ge31<10,0.3399999999999999,7,1,2,52,0.875,0.7777777777777778,0.823529411764706,0.7,0.125,0.2222222222222222,0.2222222222222222,0.125,0.875,0.7777777777777778,7,1,2,52,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
