feature_set_id,feature_set_role,decision_eligible,feature_count,feature_columns,notes
null_baseline,null_baseline,True,0,,Intercept-only LOO mean prediction.
primary_8,primary,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;road_density_m_per_ha_250m;distance_to_water_m_250m;water_fraction_250m,A-L2.1b small primary candidate set.
water_sensitivity,sensitivity,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;road_density_m_per_ha_250m;distance_to_water_m_250m;water_fraction_100m,Replace water_fraction_250m with low-variance water_fraction_100m.
road_sensitivity,sensitivity,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;distance_to_water_m_250m;water_fraction_250m;road_density_m_per_ha_500m,Replace road_density_m_per_ha_250m with road_density_m_per_ha_500m.
road_length_sensitivity,sensitivity,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;distance_to_water_m_250m;water_fraction_250m;road_length_m_500m,Alternative A-L2.1b road sensitivity using road_length_m_500m.
compact_water_road,compact,True,4,distance_to_water_m_250m;water_fraction_250m;road_density_m_per_ha_250m;building_footprint_fraction_250m,Compact water/road/building context set for n=27 parsimony.
building_50m_exploratory,exploratory_sensitivity,False,2,building_count_50m;building_footprint_fraction_50m,Exploratory 50 m building sensitivity only; not promotion-eligible.
one_feature:building_footprint_fraction_250m,one_feature,True,1,building_footprint_fraction_250m,Single primary candidate screen with nested Ridge.
one_feature:distance_to_park_or_green_m_250m,one_feature,True,1,distance_to_park_or_green_m_250m,Single primary candidate screen with nested Ridge.
one_feature:green_space_fraction_250m,one_feature,True,1,green_space_fraction_250m,Single primary candidate screen with nested Ridge.
one_feature:landuse_entropy_250m,one_feature,True,1,landuse_entropy_250m,Single primary candidate screen with nested Ridge.
one_feature:major_road_length_m_250m,one_feature,True,1,major_road_length_m_250m,Single primary candidate screen with nested Ridge.
one_feature:road_density_m_per_ha_250m,one_feature,True,1,road_density_m_per_ha_250m,Single primary candidate screen with nested Ridge.
one_feature:distance_to_water_m_250m,one_feature,True,1,distance_to_water_m_250m,Single primary candidate screen with nested Ridge.
one_feature:water_fraction_250m,one_feature,True,1,water_fraction_250m,Single primary candidate screen with nested Ridge.
