target_column,target_label,model_family,feature_set_id,feature_set_role,decision_eligible,feature_count,feature_columns,n_stations,n_folds,mae,rmse,bias_pred_minus_obs,r2,spearman_observed_vs_predicted,pearson_observed_vs_predicted,sign_accuracy,median_absolute_error,p90_absolute_error,worst_station_id,worst_station_abs_error,s142_error_pred_minus_obs,s142_abs_error,s139_error_pred_minus_obs,s139_abs_error,no_s142_mae,no_s142_rmse,no_s142_r2,no_s142_spearman,no_s139_mae,no_s139_spearman,selected_params_summary,hyperparameter_mode,bias_definition
mean_context_adjusted_score_residual_c,score residual,ridge,primary_8,primary,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;road_density_m_per_ha_250m;distance_to_water_m_250m;water_fraction_250m,27,27,0.2960647659753094,0.3585370335766379,-0.0007212369317493439,-0.15517868025507542,-0.5805860805860806,-0.6366732776434185,0.2962962962962963,0.30958984795032723,0.4444776714326305,S137,0.8550567078053016,-0.8114924983903403,0.8114924983903403,0.3629727440687215,0.3629727440687215,0.2762406224208852,0.32888492522791507,-0.17928276342464566,-0.5391452991452992,0.29349138220248594,-0.5562393162393162,alpha=100.0000:27,nested_inner_loo,predicted_minus_observed
mean_context_adjusted_score_residual_c,score residual,ridge,water_sensitivity,sensitivity,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;road_density_m_per_ha_250m;distance_to_water_m_250m;water_fraction_100m,27,27,0.2955991790783368,0.3583785935155613,-0.002857183156241821,-0.15415794251729786,-0.5860805860805861,-0.6537672760098834,0.2962962962962963,0.31167712118498775,0.4446271144006252,S137,0.855597411997353,-0.8145017405811545,0.8145017405811545,0.3617846312283818,0.3617846312283818,0.27564138825130535,0.32841915961310614,-0.1759449368317083,-0.5398290598290598,0.2930535847648736,-0.561025641025641,alpha=100.0000:27,nested_inner_loo,predicted_minus_observed
mean_context_adjusted_score_residual_c,score residual,ridge,road_sensitivity,sensitivity,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;distance_to_water_m_250m;water_fraction_250m;road_density_m_per_ha_500m,27,27,0.29630131114621217,0.35891754764786976,-0.0011823436220366032,-0.157631955393152,-0.5641025641025641,-0.6405095303784432,0.25925925925925924,0.3128380083653534,0.4400669368412667,S137,0.8615361910351456,-0.8181989086303353,0.8181989086303353,0.3646004560873597,0.3646004560873597,0.276228326627592,0.3286767940238247,-0.17779064348275297,-0.5268376068376068,0.293674420956168,-0.5418803418803418,alpha=100.0000:27,nested_inner_loo,predicted_minus_observed
mean_context_adjusted_score_residual_c,score residual,ridge,road_length_sensitivity,sensitivity,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;distance_to_water_m_250m;water_fraction_250m;road_length_m_500m,27,27,0.29630131114250263,0.3589175476476168,-0.0011823436223774716,-0.1576319553915202,-0.5641025641025641,-0.6405095303191626,0.25925925925925924,0.31283800832972386,0.4400669368383609,S137,0.8615361910199841,-0.8181989086730688,0.8181989086730688,0.36460045607589914,0.36460045607589914,0.2762283266220962,0.32867679401944633,-0.17779064345137385,-0.5268376068376068,0.29367442095275653,-0.5418803418803418,alpha=100.0000:27,nested_inner_loo,predicted_minus_observed
mean_context_adjusted_score_residual_c,score residual,ridge,compact_water_road,compact,True,4,distance_to_water_m_250m;water_fraction_250m;road_density_m_per_ha_250m;building_footprint_fraction_250m,27,27,0.29833546048330056,0.3575501398225816,0.0007033991927513963,-0.1488280413704548,-0.8528693528693528,-0.7935855520289764,0.07407407407407407,0.31450185725763397,0.4472225798058454,S137,0.8223058093570886,-0.8046955201319713,0.8046955201319713,0.3348369868657214,0.3348369868657214,0.27886007357373627,0.32841120372487315,-0.17588796346159907,-0.8393162393162393,0.2969315556224382,-0.8550427350427351,alpha=100.0000:27,nested_inner_loo,predicted_minus_observed
mean_context_adjusted_score_residual_c,score residual,ridge,building_50m_exploratory,exploratory_sensitivity,False,2,building_count_50m;building_footprint_fraction_50m,27,27,0.28035728858405407,0.3384587476530803,-0.004325145193028047,-0.02942001855103138,-0.3998778998778999,-0.04503655297811565,0.37037037037037035,0.2791219549515154,0.431335749238294,S137,0.7864654309258432,-0.7843043519435662,0.7843043519435662,0.3479176198445231,0.3479176198445231,0.26097470922407284,0.3087090631734062,-0.03903164629853717,-0.38393162393162394,0.27775881430480526,-0.37162393162393165,alpha=100.0000:27,nested_inner_loo,predicted_minus_observed
mean_context_adjusted_high_tail_residual_c,high-tail residual,ridge,primary_8,primary,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;road_density_m_per_ha_250m;distance_to_water_m_250m;water_fraction_250m,26,26,0.437827626408108,0.5396725082479937,-0.02664263186900806,-0.07174372156653241,0.14188034188034188,0.045614635918250476,0.9230769230769231,0.4065398460237557,0.737280329260845,S142,1.629512744663479,-1.629512744663479,1.629512744663479,0.48441787604234104,0.48441787604234104,0.39016022167789316,0.4434904749870057,-0.14410309820588263,0.14615384615384616,0.4359640164227387,0.12230769230769231,alpha=10.0000:1;alpha=100.0000:25,nested_inner_loo,predicted_minus_observed
mean_context_adjusted_high_tail_residual_c,high-tail residual,ridge,water_sensitivity,sensitivity,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;road_density_m_per_ha_250m;distance_to_water_m_250m;water_fraction_100m,26,26,0.41470258282973865,0.5209526478892353,-0.008473580800969828,0.0013188386455855738,0.13777777777777778,0.09323412617903908,0.9615384615384616,0.383760275747343,0.7314313780317736,S142,1.6393887021379203,-1.6393887021379203,1.6393887021379203,0.48493372724399436,0.48493372724399436,0.3657151380574114,0.4180233428035086,-0.01647718634022266,0.14307692307692307,0.4118933370531684,0.1176923076923077,alpha=100.0000:26,nested_inner_loo,predicted_minus_observed
mean_context_adjusted_high_tail_residual_c,high-tail residual,ridge,road_sensitivity,sensitivity,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;distance_to_water_m_250m;water_fraction_250m;road_density_m_per_ha_500m,26,26,0.44819739995832086,0.5479665497987223,-0.035928874642674975,-0.10493938554705551,0.13025641025641024,0.0443062893503804,0.9230769230769231,0.4265410489448119,0.7635930738277037,S142,1.6228413033791298,-1.6228413033791298,1.6228413033791298,0.5205455070951273,0.5205455070951273,0.40121164382148855,0.45489941464912576,-0.20372512113675523,0.1453846153846154,0.4453034756728486,0.13076923076923078,alpha=10.0000:5;alpha=100.0000:21,nested_inner_loo,predicted_minus_observed
mean_context_adjusted_high_tail_residual_c,high-tail residual,ridge,road_length_sensitivity,sensitivity,True,8,building_footprint_fraction_250m;distance_to_park_or_green_m_250m;green_space_fraction_250m;landuse_entropy_250m;major_road_length_m_250m;distance_to_water_m_250m;water_fraction_250m;road_length_m_500m,26,26,0.4481974000096651,0.5479665498488625,-0.0359288746629514,-0.10493938574926442,0.13025641025641024,0.04430628919589018,0.9230769230769231,0.4265410489923122,0.7635930737799287,S142,1.6228413033018323,-1.6228413033018323,1.6228413033018323,0.520545507109947,0.520545507109947,0.4012116438779785,0.4548994147229703,-0.20372512152756017,0.1453846153846154,0.4453034757256538,0.13076923076923078,alpha=10.0000:5;alpha=100.0000:21,nested_inner_loo,predicted_minus_observed
