feature_name,feature_group,buffer_m,source_name,source_path,dtype,unit,n_stations_non_null,missing_fraction,allowed_for_future_model,leakage_check,notes
water_fraction,water,50,unavailable,,float,fraction,0,1.0,False,PASS_NO_LEAKAGE_TOKEN,Unavailable or excluded in A-L2.1a; no invented value. Not safe for future modelling until all-27 station-local source coverage exists.
water_fraction,water,100,unavailable,,float,fraction,0,1.0,False,PASS_NO_LEAKAGE_TOKEN,Unavailable or excluded in A-L2.1a; no invented value. Not safe for future modelling until all-27 station-local source coverage exists.
water_fraction,water,250,unavailable,,float,fraction,0,1.0,False,PASS_NO_LEAKAGE_TOKEN,Unavailable or excluded in A-L2.1a; no invented value. Not safe for future modelling until all-27 station-local source coverage exists.
water_fraction,water,500,unavailable,,float,fraction,0,1.0,False,PASS_NO_LEAKAGE_TOKEN,Unavailable or excluded in A-L2.1a; no invented value. Not safe for future modelling until all-27 station-local source coverage exists.
distance_to_water_m,water,50,unavailable,,float,m,0,1.0,False,PASS_NO_LEAKAGE_TOKEN,Unavailable or excluded in A-L2.1a; no invented value. Not safe for future modelling until all-27 station-local source coverage exists.
distance_to_water_m,water,100,unavailable,,float,m,0,1.0,False,PASS_NO_LEAKAGE_TOKEN,Unavailable or excluded in A-L2.1a; no invented value. Not safe for future modelling until all-27 station-local source coverage exists.
distance_to_water_m,water,250,unavailable,,float,m,0,1.0,False,PASS_NO_LEAKAGE_TOKEN,Unavailable or excluded in A-L2.1a; no invented value. Not safe for future modelling until all-27 station-local source coverage exists.
distance_to_water_m,water,500,unavailable,,float,m,0,1.0,False,PASS_NO_LEAKAGE_TOKEN,Unavailable or excluded in A-L2.1a; no invented value. Not safe for future modelling until all-27 station-local source coverage exists.
nearest_water_type,water,50,unavailable,,string,category,0,1.0,False,PASS_NO_LEAKAGE_TOKEN,Unavailable or excluded in A-L2.1a; no invented value. Not safe for future modelling until all-27 station-local source coverage exists.
nearest_water_type,water,100,unavailable,,string,category,0,1.0,False,PASS_NO_LEAKAGE_TOKEN,Unavailable or excluded in A-L2.1a; no invented value. Not safe for future modelling until all-27 station-local source coverage exists.
nearest_water_type,water,250,unavailable,,string,category,0,1.0,False,PASS_NO_LEAKAGE_TOKEN,Unavailable or excluded in A-L2.1a; no invented value. Not safe for future modelling until all-27 station-local source coverage exists.
