source_name,source_path,source_kind,exists,file_size_bytes,row_count,read_status,columns_sample,geometry_type_sample,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,bbox_crs_status,station_coverage_count,expected_station_count,candidate_feature_groups,coverage_status,allowed_for_27_station_buffer_model,extraction_status,exclusion_reason,notes
unavailable_built_impervious_source,,requested_feature_group_unavailable,False,,0,unavailable,,,,,,,not_available,0,27,built_impervious,unavailable_no_27_station_source,False,unavailable,No all-27 station-local source was available for this requested feature group.,Feature values left null; not allowed for future model until a valid source is added.
unavailable_distance_context_source,,requested_feature_group_unavailable,False,,0,unavailable,,,,,,,not_available,0,27,distance_context,unavailable_no_27_station_source,False,unavailable,No all-27 station-local source was available for this requested feature group.,Feature values left null; not allowed for future model until a valid source is added.
unavailable_landuse_lcz_source,,requested_feature_group_unavailable,False,,0,unavailable,,,,,,,not_available,0,27,landuse_lcz,unavailable_no_27_station_source,False,unavailable,No all-27 station-local source was available for this requested feature group.,Feature values left null; not allowed for future model until a valid source is added.
unavailable_morphology_source,,requested_feature_group_unavailable,False,,0,unavailable,,,,,,,not_available,0,27,morphology,unavailable_no_27_station_source,False,unavailable,No all-27 station-local source was available for this requested feature group.,Feature values left null; not allowed for future model until a valid source is added.
unavailable_surface_source,,requested_feature_group_unavailable,False,,0,unavailable,,,,,,,not_available,0,27,surface,unavailable_no_27_station_source,False,unavailable,No all-27 station-local source was available for this requested feature group.,Feature values left null; not allowed for future model until a valid source is added.
unavailable_vegetation_source,,requested_feature_group_unavailable,False,,0,unavailable,,,,,,,not_available,0,27,vegetation,unavailable_no_27_station_source,False,unavailable,No all-27 station-local source was available for this requested feature group.,Feature values left null; not allowed for future model until a valid source is added.
unavailable_water_source,,requested_feature_group_unavailable,False,,0,unavailable,,,,,,,not_available,0,27,water,unavailable_no_27_station_source,False,unavailable,No all-27 station-local source was available for this requested feature group.,Feature values left null; not allowed for future model until a valid source is added.
building_density,data/features/building_density.csv,spatial_or_grid_table,True,17999.0,986,readable,cell_id;building_density,,,,,,unknown,0,27,built_impervious;morphology,unknown_or_unbounded_source_coverage,False,excluded,Source coverage is not established for all 27 stations.,
land_use_hint,data/features/land_use_hint.csv,spatial_or_grid_table,True,63359.0,986,readable,cell_id;land_use_hint;land_use_raw;land_use_fraction;gpr_area_weighted,,,,,,unknown,0,27,landuse_lcz,unknown_or_unbounded_source_coverage,False,excluded,Source coverage is not established for all 27 stations.,
park_distances,data/features/park_distances.csv,spatial_or_grid_table,True,92367.0,986,readable,cell_id;park_distance_m;nearest_park_name;large_park_distance_m;nearest_large_park_name,,,,,,unknown,0,27,distance_context;vegetation,unknown_or_unbounded_source_coverage,False,excluded,Source coverage is not established for all 27 stations.,
road_fraction,data/features/road_fraction.csv,spatial_or_grid_table,True,23017.0,986,readable,cell_id;road_fraction,,,,,,unknown,0,27,built_impervious;distance_context,unknown_or_unbounded_source_coverage,False,excluded,Source coverage is not established for all 27 stations.,
v071_node_scores_raw,data/features/v071/v071_node_scores_raw.csv,spatial_or_grid_table,True,108711.0,986,readable,cell_id;bus_stop_score_raw;bus_stop_count;mrt_exit_score_raw;mrt_exit_count;sport_facility_score_raw;sport_facility_count;hawker_centre_score_raw;hawker_centre_count;eldercare_score_raw;eldercare_count;preschool_score_raw;preschool_count,,,,,,unknown,0,27,,unknown_or_unbounded_source_coverage,False,not_applicable,Source does not provide requested station-local buffer feature groups.,
v071_risk_exposure_features,data/features/v071/v071_risk_exposure_features.csv,spatial_or_grid_table,True,318645.0,986,readable,cell_id;elderly_pct_65plus;children_pct_under5;subzone_area_weighted;dominant_subzone;dominant_planning_area;demographic_vulnerability_raw;demographic_vulnerability_score;bus_stop_score_raw;bus_stop_count;mrt_exit_score_raw;mrt_exit_count;sport_facility_score_raw;sport_facility_count;hawker_centre_score_raw;hawker_centre_count;eldercare_score_raw;eldercare_count;preschool_score_raw;preschool_count;outdoor_exposure_raw;node_vulnerability_raw;outdoor_exposure_score_v071;node_vulnerability_score;vulnerability_score_v071,,,,,,unknown,0,27,,unknown_or_unbounded_source_coverage,False,not_applicable,Source does not provide requested station-local buffer feature groups.,
v071_subzone_demographic_vulnerability,data/features/v071/v071_subzone_demographic_vulnerability.csv,spatial_or_grid_table,True,126639.0,986,readable,cell_id;elderly_pct_65plus;children_pct_under5;subzone_area_weighted;dominant_subzone;dominant_planning_area;demographic_vulnerability_raw;demographic_vulnerability_score,,,,,,unknown,0,27,,unknown_or_unbounded_source_coverage,False,not_applicable,Source does not provide requested station-local buffer feature groups.,
water_distance,data/features/water_distance.csv,spatial_or_grid_table,True,31125.0,986,readable,cell_id;water_distance_m;nearest_water_name,,,,,,unknown,0,27,distance_context;water,unknown_or_unbounded_source_coverage,False,excluded,Source coverage is not established for all 27 stations.,
v10_beta1_height_geometry_corrections,data/features_3d/v10/manual_qa/v10_beta1_height_geometry_corrections.csv,spatial_or_grid_table,True,446.0,2,readable,target_type;target_id;manual_decision;manual_height_m;manual_notes,,,,,,unknown,0,27,built_impervious;morphology,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v07,data/grid/toa_payoh_grid_v07.csv,spatial_or_grid_table,True,68718.0,986,readable,cell_id;cell_area_m2;centroid_x_svy21;centroid_y_svy21;lon;lat,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v07_features,data/grid/toa_payoh_grid_v07_features.csv,spatial_or_grid_table,True,706741.0,986,readable,cell_id;lat;lon;building_density;road_fraction;gvi_percent;svf;shade_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;mean_building_height_m;height_source;max_building_height_m;tree_canopy_fraction;tree_canopy_source;gvi_source;impervious_fraction;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v07_features_alpha,data/grid/toa_payoh_grid_v07_features_alpha.csv,spatial_or_grid_table,True,706741.0,986,readable,cell_id;lat;lon;building_density;road_fraction;gvi_percent;svf;shade_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;mean_building_height_m;height_source;max_building_height_m;tree_canopy_fraction;tree_canopy_source;gvi_source;impervious_fraction;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v07_features_alpha_backup,data/grid/toa_payoh_grid_v07_features_alpha_backup.csv,spatial_or_grid_table,True,706741.0,986,readable,cell_id;lat;lon;building_density;road_fraction;gvi_percent;svf;shade_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;mean_building_height_m;height_source;max_building_height_m;tree_canopy_fraction;tree_canopy_source;gvi_source;impervious_fraction;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v07_features_beta_final,data/grid/toa_payoh_grid_v07_features_beta_final.csv,spatial_or_grid_table,True,1140255.0,986,readable,cell_id;lat;lon;building_density;road_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;max_building_height_m;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note;mean_building_height_m;tree_canopy_fraction;grass_fraction;water_fraction;built_up_fraction;ndvi_mean;dynamic_world_tree_fraction;dynamic_world_grass_fraction;dynamic_world_water_fraction;dynamic_world_built_up_fraction;ndvi_norm_for_greenery_proxy;greenery_fraction_beta;gvi_percent;gvi_source;height_source;tree_canopy_source;ndvi_source;svf;shade_fraction;impervious_fraction;svf_source;shade_fraction_source;impervious_source;impervious_fraction_old_beta;impervious_fraction_vector_component;impervious_fraction_dw_component;impervious_fraction_green_component,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v07_features_beta_final_v071_risk,data/grid/toa_payoh_grid_v07_features_beta_final_v071_risk.csv,spatial_or_grid_table,True,1577954.0,986,readable,cell_id;lat;lon;building_density;road_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;max_building_height_m;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note;mean_building_height_m;tree_canopy_fraction;grass_fraction;water_fraction;built_up_fraction;ndvi_mean;dynamic_world_tree_fraction;dynamic_world_grass_fraction;dynamic_world_water_fraction;dynamic_world_built_up_fraction;ndvi_norm_for_greenery_proxy;greenery_fraction_beta;gvi_percent;gvi_source;height_source;tree_canopy_source;ndvi_source;svf;shade_fraction;impervious_fraction;svf_source;shade_fraction_source;impervious_source;impervious_fraction_old_beta;impervious_fraction_vector_component;impervious_fraction_dw_component;impervious_fraction_green_component;elderly_pct_65plus;children_pct_under5;subzone_area_weighted;dominant_subzone;dominant_planning_area;demographic_vulnerability_raw;demographic_vulnerability_score;bus_stop_score_raw;bus_stop_count;mrt_exit_score_raw;mrt_exit_count;sport_facility_score_raw;sport_facility_count;hawker_centre_score_raw;hawker_centre_count;eldercare_score_raw;eldercare_count;preschool_score_raw;preschool_count;outdoor_exposure_raw;node_vulnerability_raw;outdoor_exposure_score_v071;node_vulnerability_score;vulnerability_score_v071;risk_exposure_note_v071,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v07_features_beta_gee,data/grid/toa_payoh_grid_v07_features_beta_gee.csv,spatial_or_grid_table,True,1082692.0,986,readable,cell_id;lat;lon;building_density;road_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;max_building_height_m;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note;mean_building_height_m;tree_canopy_fraction;grass_fraction;water_fraction;built_up_fraction;ndvi_mean;dynamic_world_tree_fraction;dynamic_world_grass_fraction;dynamic_world_water_fraction;dynamic_world_built_up_fraction;ndvi_norm_for_greenery_proxy;greenery_fraction_beta;gvi_percent;gvi_source;height_source;tree_canopy_source;ndvi_source;svf;shade_fraction;impervious_fraction;svf_source;shade_fraction_source;impervious_source,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v07_features_beta_gee_impervfix,data/grid/toa_payoh_grid_v07_features_beta_gee_impervfix.csv,spatial_or_grid_table,True,1140255.0,986,readable,cell_id;lat;lon;building_density;road_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;max_building_height_m;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note;mean_building_height_m;tree_canopy_fraction;grass_fraction;water_fraction;built_up_fraction;ndvi_mean;dynamic_world_tree_fraction;dynamic_world_grass_fraction;dynamic_world_water_fraction;dynamic_world_built_up_fraction;ndvi_norm_for_greenery_proxy;greenery_fraction_beta;gvi_percent;gvi_source;height_source;tree_canopy_source;ndvi_source;svf;shade_fraction;impervious_fraction;svf_source;shade_fraction_source;impervious_source;impervious_fraction_old_beta;impervious_fraction_vector_component;impervious_fraction_dw_component;impervious_fraction_green_component,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v08_features_umep_with_veg,data/grid/toa_payoh_grid_v08_features_umep_with_veg.csv,spatial_or_grid_table,True,2350952.0,986,readable,cell_id;lat;lon;building_density;road_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;max_building_height_m;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note;mean_building_height_m;tree_canopy_fraction;grass_fraction;water_fraction;built_up_fraction;ndvi_mean;dynamic_world_tree_fraction;dynamic_world_grass_fraction;dynamic_world_water_fraction;dynamic_world_built_up_fraction;ndvi_norm_for_greenery_proxy;greenery_fraction_beta;gvi_percent;gvi_source;height_source;tree_canopy_source;ndvi_source;svf;shade_fraction;impervious_fraction;svf_source;shade_fraction_source;impervious_source;impervious_fraction_old_beta;impervious_fraction_vector_component;impervious_fraction_dw_component;impervious_fraction_green_component;elderly_pct_65plus;children_pct_under5;subzone_area_weighted;dominant_subzone;dominant_planning_area;demographic_vulnerability_raw;demographic_vulnerability_score;bus_stop_score_raw;bus_stop_count;mrt_exit_score_raw;mrt_exit_count;sport_facility_score_raw;sport_facility_count;hawker_centre_score_raw;hawker_centre_count;eldercare_score_raw;eldercare_count;preschool_score_raw;preschool_count;outdoor_exposure_raw;node_vulnerability_raw;outdoor_exposure_score_v071;node_vulnerability_score;vulnerability_score_v071;risk_exposure_note_v071;svf_proxy_v07;shade_fraction_proxy_v07;open_pixel_fraction;building_pixel_fraction,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v08_umep_morphology,data/grid/toa_payoh_grid_v08_umep_morphology.csv,spatial_or_grid_table,True,266588.0,986,readable,cell_id;open_pixel_fraction;building_pixel_fraction;n_total_pixels;n_open_pixels;svf_umep_mean_open;svf_umep_p10_open;svf_umep_p90_open;shade_fraction_umep_10_16_open;shade_fraction_umep_13_15_open;shade_fraction_umep_peak_open;shade_fraction_umep_1000_open;shade_fraction_umep_1100_open;shade_fraction_umep_1200_open;shade_fraction_umep_1300_open;shade_fraction_umep_1400_open;shade_fraction_umep_1500_open;shade_fraction_umep_1600_open;svf_umep_mean_all;dsm_mean_height_all;dsm_max_height;dsm_mean_height_buildings_only;umep_dsm_resolution_m;umep_shadow_date;umep_shadow_time_window,,,,,,unknown,0,27,built_impervious;morphology,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v08_umep_morphology_with_veg,data/grid/toa_payoh_grid_v08_umep_morphology_with_veg.csv,spatial_or_grid_table,True,426644.0,986,readable,cell_id;open_pixel_fraction;building_pixel_fraction;n_total_pixels;n_open_pixels;svf_umep_mean_open_with_veg;svf_umep_p10_open_with_veg;svf_umep_p90_open_with_veg;shade_fraction_umep_10_16_open_with_veg;shade_fraction_umep_13_15_open_with_veg;shade_fraction_umep_peak_open_with_veg;shade_fraction_umep_1000_open_with_veg;shade_fraction_umep_1100_open_with_veg;shade_fraction_umep_1200_open_with_veg;shade_fraction_umep_1300_open_with_veg;shade_fraction_umep_1400_open_with_veg;shade_fraction_umep_1500_open_with_veg;shade_fraction_umep_1600_open_with_veg;svf_umep_mean_all_with_veg;dsm_mean_height_all;dsm_max_height;dsm_mean_height_buildings_only;umep_dsm_resolution_m;umep_shadow_date;umep_shadow_time_window;umep_includes_vegetation;veg_canopy_source;veg_transmissivity_pct;veg_trunk_zone_pct,,,,,,unknown,0,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v10_basic_morphology,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,spatial_or_grid_table,True,450255.0,986,readable,cell_id;old_valid_pixel_count;old_building_pixel_count;old_building_area_m2;old_building_density;old_open_pixel_fraction;old_dsm_mean_all_m;old_dsm_max_all_m;old_building_height_mean_m;old_building_height_max_m;old_building_height_p50_m;old_building_height_p90_m;v10_valid_pixel_count;v10_building_pixel_count;v10_building_area_m2;v10_building_density;v10_open_pixel_fraction;v10_dsm_mean_all_m;v10_dsm_max_all_m;v10_building_height_mean_m;v10_building_height_max_m;v10_building_height_p50_m;v10_building_height_p90_m;cell_area_m2;delta_building_area_m2;delta_building_density;delta_open_pixel_fraction;delta_building_height_mean_m;delta_building_height_max_m;delta_building_height_p50_m;delta_building_height_p90_m;lat;lon;land_use_hint;road_fraction;gvi_percent;tree_canopy_fraction;ndvi_mean;shade_fraction;svf;building_density;mean_building_height_m;max_building_height_m,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v10_features_overhead_sensitivity,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,spatial_or_grid_table,True,3612425.0,986,readable,cell_id;lat;lon;building_density;road_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;max_building_height_m;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note;mean_building_height_m;tree_canopy_fraction;grass_fraction;water_fraction;built_up_fraction;ndvi_mean;dynamic_world_tree_fraction;dynamic_world_grass_fraction;dynamic_world_water_fraction;dynamic_world_built_up_fraction;ndvi_norm_for_greenery_proxy;greenery_fraction_beta;gvi_percent;gvi_source;height_source;tree_canopy_source;ndvi_source;svf;shade_fraction;impervious_fraction;svf_source;shade_fraction_source;impervious_source;impervious_fraction_old_beta;impervious_fraction_vector_component;impervious_fraction_dw_component;impervious_fraction_green_component;elderly_pct_65plus;children_pct_under5;subzone_area_weighted;dominant_subzone;dominant_planning_area;demographic_vulnerability_raw;demographic_vulnerability_score;bus_stop_score_raw;bus_stop_count;mrt_exit_score_raw;mrt_exit_count;sport_facility_score_raw;sport_facility_count;hawker_centre_score_raw;hawker_centre_count;eldercare_score_raw;eldercare_count;preschool_score_raw;preschool_count;outdoor_exposure_raw;node_vulnerability_raw;outdoor_exposure_score_v071;node_vulnerability_score;vulnerability_score_v071;risk_exposure_note_v071;svf_proxy_v07;shade_fraction_proxy_v07;open_pixel_fraction;building_pixel_fraction,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v10_features_umep_with_veg,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,spatial_or_grid_table,True,3129014.0,986,readable,cell_id;lat;lon;building_density;road_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;max_building_height_m;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note;mean_building_height_m;tree_canopy_fraction;grass_fraction;water_fraction;built_up_fraction;ndvi_mean;dynamic_world_tree_fraction;dynamic_world_grass_fraction;dynamic_world_water_fraction;dynamic_world_built_up_fraction;ndvi_norm_for_greenery_proxy;greenery_fraction_beta;gvi_percent;gvi_source;height_source;tree_canopy_source;ndvi_source;svf;shade_fraction;impervious_fraction;svf_source;shade_fraction_source;impervious_source;impervious_fraction_old_beta;impervious_fraction_vector_component;impervious_fraction_dw_component;impervious_fraction_green_component;elderly_pct_65plus;children_pct_under5;subzone_area_weighted;dominant_subzone;dominant_planning_area;demographic_vulnerability_raw;demographic_vulnerability_score;bus_stop_score_raw;bus_stop_count;mrt_exit_score_raw;mrt_exit_count;sport_facility_score_raw;sport_facility_count;hawker_centre_score_raw;hawker_centre_count;eldercare_score_raw;eldercare_count;preschool_score_raw;preschool_count;outdoor_exposure_raw;node_vulnerability_raw;outdoor_exposure_score_v071;node_vulnerability_score;vulnerability_score_v071;risk_exposure_note_v071;svf_proxy_v07;shade_fraction_proxy_v07;open_pixel_fraction;building_pixel_fraction,,103.84005773633348,1.3260191481001729,103.86521764134852,1.3558633739435624,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
