feature_name,buffer_m,feature_column,feature_group,feature_unit,source_name,extraction_method,n_stations_non_null,expected_station_count,missing_fraction,constant_non_null,allowed_for_future_model,leakage_check,coverage_status,notes
building_count,50,building_count_50m,buildings,count,osm_station_context_buildings,polygon_intersects_metric_buffer_count,27,27,0.000000,False,True,PASS_NO_FORBIDDEN_FEATURE_TOKEN,all_27_non_null,station_id is metadata/key only; official WBGT/residual/event labels are not used as features.
building_count,100,building_count_100m,buildings,count,osm_station_context_buildings,polygon_intersects_metric_buffer_count,27,27,0.000000,False,True,PASS_NO_FORBIDDEN_FEATURE_TOKEN,all_27_non_null,station_id is metadata/key only; official WBGT/residual/event labels are not used as features.
building_count,250,building_count_250m,buildings,count,osm_station_context_buildings,polygon_intersects_metric_buffer_count,27,27,0.000000,False,True,PASS_NO_FORBIDDEN_FEATURE_TOKEN,all_27_non_null,station_id is metadata/key only; official WBGT/residual/event labels are not used as features.
building_count,500,building_count_500m,buildings,count,osm_station_context_buildings,polygon_intersects_metric_buffer_count,27,27,0.000000,False,True,PASS_NO_FORBIDDEN_FEATURE_TOKEN,all_27_non_null,station_id is metadata/key only; official WBGT/residual/event labels are not used as features.
building_footprint_fraction,50,building_footprint_fraction_50m,buildings,fraction,osm_station_context_buildings,deterministic_grid_polygon_union_fraction,27,27,0.000000,False,True,PASS_NO_FORBIDDEN_FEATURE_TOKEN,all_27_non_null,station_id is metadata/key only; official WBGT/residual/event labels are not used as features.
building_footprint_fraction,100,building_footprint_fraction_100m,buildings,fraction,osm_station_context_buildings,deterministic_grid_polygon_union_fraction,27,27,0.000000,False,True,PASS_NO_FORBIDDEN_FEATURE_TOKEN,all_27_non_null,station_id is metadata/key only; official WBGT/residual/event labels are not used as features.
building_footprint_fraction,250,building_footprint_fraction_250m,buildings,fraction,osm_station_context_buildings,deterministic_grid_polygon_union_fraction,27,27,0.000000,False,True,PASS_NO_FORBIDDEN_FEATURE_TOKEN,all_27_non_null,station_id is metadata/key only; official WBGT/residual/event labels are not used as features.
building_footprint_fraction,500,building_footprint_fraction_500m,buildings,fraction,osm_station_context_buildings,deterministic_grid_polygon_union_fraction,27,27,0.000000,False,True,PASS_NO_FORBIDDEN_FEATURE_TOKEN,all_27_non_null,station_id is metadata/key only; official WBGT/residual/event labels are not used as features.
distance_to_major_road_m,50,distance_to_major_road_m_50m,roads,m,osm_station_context_roads,nearest_major_highway_distance,27,27,0.000000,False,True,PASS_NO_FORBIDDEN_FEATURE_TOKEN,all_27_non_null,station_id is metadata/key only; official WBGT/residual/event labels are not used as features.
distance_to_major_road_m,100,distance_to_major_road_m_100m,roads,m,osm_station_context_roads,nearest_major_highway_distance,27,27,0.000000,False,True,PASS_NO_FORBIDDEN_FEATURE_TOKEN,all_27_non_null,station_id is metadata/key only; official WBGT/residual/event labels are not used as features.
