station_id,station_name,station_town_center,station_lat,station_lon,station_source_epsg,metric_buffer_epsg,building_count_100m,building_count_250m,building_count_500m,building_count_50m,building_footprint_fraction_100m,building_footprint_fraction_250m,building_footprint_fraction_500m,building_footprint_fraction_50m,distance_to_major_road_m_100m,distance_to_major_road_m_250m,distance_to_major_road_m_500m,distance_to_major_road_m_50m,distance_to_park_or_green_m_100m,distance_to_park_or_green_m_250m,distance_to_park_or_green_m_500m,distance_to_park_or_green_m_50m,distance_to_water_m_100m,distance_to_water_m_250m,distance_to_water_m_500m,distance_to_water_m_50m,green_space_fraction_100m,green_space_fraction_250m,green_space_fraction_500m,green_space_fraction_50m,landuse_entropy_100m,landuse_entropy_250m,landuse_entropy_500m,landuse_entropy_50m,landuse_majority_100m,landuse_majority_250m,landuse_majority_500m,landuse_majority_50m,major_road_length_m_100m,major_road_length_m_250m,major_road_length_m_500m,major_road_length_m_50m,road_density_m_per_ha_100m,road_density_m_per_ha_250m,road_density_m_per_ha_500m,road_density_m_per_ha_50m,road_length_m_100m,road_length_m_250m,road_length_m_500m,road_length_m_50m,water_fraction_100m,water_fraction_250m,water_fraction_500m,water_fraction_50m
S124,Upper Changi Road North,Changi Meteorological Station,1.367770,103.982262,4326,3414,3.000000,31.000000,99.000000,1.000000,0.060127,0.097561,0.051834,0.044164,388.030451,388.030451,388.030451,388.030451,147.822343,147.822343,147.822343,147.822343,406.484369,406.484369,406.484369,406.484369,0.000000,0.152439,0.282297,0.000000,,0.173781,1.234528,,,green_space,green_space,,0.000000,0.000000,899.303578,0.000000,100.949075,112.923959,108.397478,96.524630,317.140871,2217.256752,8513.518027,75.810267,0.000000,0.000000,0.000000,0.000000
S125,Woodlands Street 13,Woodlands Stadium,1.433789,103.780731,4326,3414,2.000000,34.000000,206.000000,1.000000,0.098101,0.172485,0.221161,0.009464,63.087062,63.087062,63.087062,63.087062,212.168889,212.168889,212.168889,212.168889,17.850515,17.850515,17.850515,17.850515,0.000000,0.006160,0.098648,0.000000,2.164392,1.563587,1.108515,1.834960,pitch,built_or_urban,built_or_urban,stadium,297.811579,1098.432385,4499.686867,0.000000,380.815403,446.313402,423.970147,326.057131,1196.366873,8763.343153,33298.537450,256.084672,0.000000,0.014374,0.002387,0.000000
S126,Old Chua Chu Kang Road,Old Choa Chu Kang Road,1.372566,103.724358,4326,3414,2.000000,14.000000,43.000000,2.000000,0.006329,0.081136,0.069323,0.031646,50.842334,50.842334,50.842334,50.842334,135.850634,135.850634,135.850634,135.850634,278.042696,278.042696,278.042696,278.042696,0.000000,0.170385,0.393625,0.000000,1.417786,1.654676,1.569988,0.880821,military,military,green_space,military,276.147060,1515.554489,3808.359831,0.000000,231.680249,258.000877,184.262556,115.843531,727.844968,5065.835374,14471.947293,90.983297,0.000000,0.000000,0.000000,0.000000
S127,Stadium Road,Kallang Practice Track,1.305738,103.878174,4326,3414,1.000000,7.000000,98.000000,0.000000,0.012618,0.040984,0.225935,0.000000,90.196806,90.196806,90.196806,90.196806,105.686975,105.686975,105.686975,105.686975,509.137350,509.137350,509.137350,509.137350,0.000000,0.432377,0.414479,0.000000,0.827160,1.125607,1.782909,0.998553,pitch,green_space,green_space,pitch,86.360551,3965.779582,12979.369036,0.000000,84.947729,464.123977,433.143291,13.950869,266.871162,9113.052979,34018.994548,10.956987,0.000000,0.000000,0.000000,0.000000
S128,Bishan Street,Bishan Stadium,1.354825,103.852219,4326,3414,2.000000,22.000000,79.000000,0.000000,0.031746,0.259109,0.196016,0.000000,194.694524,194.694524,194.694524,194.694524,11.501454,11.501454,11.501454,11.501454,30.010074,30.010074,30.010074,30.010074,0.114286,0.093117,0.173705,0.214744,2.479291,2.528756,2.343288,2.120223,stadium,transport,transport,sports_centre,0.000000,409.616008,5907.835327,0.000000,178.733160,203.779391,303.271627,356.854941,561.506784,4001.198978,23818.897892,280.273215,0.130159,0.056680,0.037450,0.144231
S129,Bedok North Street 2,Bedok Stadium,1.325746,103.939691,4326,3414,2.000000,34.000000,118.000000,1.000000,0.048544,0.190669,0.174224,0.000000,53.619652,53.619652,53.619652,53.619652,238.303349,238.303349,238.303349,238.303349,31.356570,31.356570,31.356570,31.356570,0.000000,0.002028,0.043755,0.000000,1.903922,1.724528,1.237313,1.251541,stadium,built_or_urban,built_or_urban,stadium,596.056845,1681.857472,4069.483646,0.000000,340.870219,339.723942,307.773354,133.030005,1070.875376,6670.463999,24172.462714,104.481522,0.000000,0.000000,0.010342,0.000000
S130,West Coast Road,Clementi Stadium,1.310524,103.763426,4326,3414,1.000000,68.000000,304.000000,0.000000,0.015873,0.150713,0.200957,0.000000,57.301452,57.301452,57.301452,57.301452,5.394009,5.394009,5.394009,5.394009,274.626194,274.626194,274.626194,274.626194,0.377778,0.199593,0.070973,0.389241,1.380556,1.620015,1.041153,0.977273,green_space,built_or_urban,built_or_urban,green_space,303.939963,1201.449920,8772.439045,0.000000,321.056847,394.198752,522.864933,377.820033,1008.629831,7740.074387,41065.715795,296.739160,0.000000,0.000000,0.000797,0.000000
S132,Jurong West Street 93,Jurong West Stadium,1.337859,103.695383,4326,3414,6.000000,45.000000,344.000000,0.000000,0.063898,0.248980,0.246400,0.000000,45.500814,45.500814,45.500814,45.500814,212.517954,212.517954,212.517954,212.517954,349.286153,349.286153,349.286153,349.286153,0.000000,0.012245,0.072000,0.000000,1.575653,1.347807,1.125251,1.203071,built_or_urban,built_or_urban,built_or_urban,sports_centre,419.280211,1575.477623,8157.242186,42.787707,472.395620,437.048024,480.812857,234.838918,1484.074609,8581.417883,37762.953476,184.442055,0.000000,0.000000,0.005600,0.000000
S135,Mandai Wildlife Reserve,Mandai Wildlife Reserve,1.408424,103.780863,4326,3414,18.000000,46.000000,76.000000,6.000000,0.215190,0.132383,0.065561,0.091772,249.299666,249.299666,249.299666,249.299666,0.000000,0.000000,0.000000,0.000000,32.799269,32.799269,32.799269,32.799269,0.632911,0.378819,0.661927,0.765823,0.111020,0.048052,0.069189,0.000000,green_space,green_space,green_space,green_space,0.000000,37.975481,1766.849047,0.000000,825.041287,555.458328,306.632204,868.963303,2591.943646,10906.398757,24082.836971,682.482183,0.009494,0.002037,0.005529,0.000000
S137,Sakra Road,Sakra Road (Jurong Island),1.257100,103.698000,4326,3414,1.000000,4.000000,6.000000,0.000000,0.019293,0.063395,0.024623,0.000000,31.978150,31.978150,31.978150,31.978150,264.238004,264.238004,264.238004,264.238004,368.688771,368.688771,368.688771,368.688771,0.000000,0.000000,0.062748,0.000000,0.000000,0.000000,0.493172,,built_or_urban,built_or_urban,built_or_urban,,188.072855,493.710411,1096.068302,76.873868,151.528531,147.295741,162.710701,97.878849,476.040920,2892.145108,12779.268600,76.873868,0.000000,0.000000,0.000000,0.000000
