source_name,source_path,source_root,source_group,source_format,exists,file_size_bytes,read_status,table_name,row_count,usable_geometry_count,geometry_type_sample,source_crs,crs_assumption,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,station_coverage_count,expected_station_count,coverage_status,allowed_for_27_station_buffer_model,extraction_status,notes
osm_station_context_buildings,C:/OpenHeat-local/station_context_sources/raw/osm/osm_station_context_buildings.gpkg,C:/OpenHeat-local/station_context_sources/raw/osm,buildings,.gpkg,True,5148672,readable,buildings,7557,7557,Point;Polygon;MultiPolygon,EPSG:4326,,103.6107233,1.2474253,103.984564,1.4394424,27,27,bbox_covers_all_27_stations,True,used,GeoPackage geometries parsed locally; no raw layer written into the repo.
osm_station_context_green,C:/OpenHeat-local/station_context_sources/raw/osm/osm_station_context_green.gpkg,C:/OpenHeat-local/station_context_sources/raw/osm,green,.gpkg,True,552960,readable,green,385,385,Point;MultiPolygon;Polygon,EPSG:4326,,103.607987,1.2452664,103.9923793,1.4447987,27,27,bbox_covers_all_27_stations,True,used,GeoPackage geometries parsed locally; no raw layer written into the repo.
osm_station_context_landuse,C:/OpenHeat-local/station_context_sources/raw/osm/osm_station_context_landuse.gpkg,C:/OpenHeat-local/station_context_sources/raw/osm,landuse,.gpkg,True,1679360,readable,landuse,2349,2349,Point;MultiPolygon;Polygon;LineString,EPSG:4326,,103.6056666,1.2101324,103.9968824,1.4454512,27,27,bbox_covers_all_27_stations,True,used,GeoPackage geometries parsed locally; no raw layer written into the repo.
osm_station_context_roads,C:/OpenHeat-local/station_context_sources/raw/osm/osm_station_context_roads.gpkg,C:/OpenHeat-local/station_context_sources/raw/osm,roads,.gpkg,True,9592832,readable,roads,20485,20485,Point;Polygon;MultiPolygon;LineString,EPSG:4326,,103.6058459,1.2472181,103.986685,1.4406028,27,27,bbox_covers_all_27_stations,True,used,GeoPackage geometries parsed locally; no raw layer written into the repo.
osm_station_context_water,C:/OpenHeat-local/station_context_sources/raw/osm/osm_station_context_water.gpkg,C:/OpenHeat-local/station_context_sources/raw/osm,water,.gpkg,True,299008,readable,water,270,270,Point;Polygon;LineString,EPSG:4326,,103.6056666,1.2101324,103.9878809,1.4351674,27,27,bbox_covers_all_27_stations,True,used,GeoPackage geometries parsed locally; no raw layer written into the repo.
mp2019_building_layer,,C:/OpenHeat-local/station_context_sources/raw/osm;C:/OpenHeat-local/station_context_sources/raw/data_gov_sg;C:/OpenHeat-local/station_context_sources/processed,buildings,.geojson,False,,missing,,0,0,,,,,,,,0,27,missing_local_source,False,missing,Expected candidate source pattern not present in configured local source roots.
osm_station_context_buildings,,C:/OpenHeat-local/station_context_sources/raw/osm;C:/OpenHeat-local/station_context_sources/raw/data_gov_sg;C:/OpenHeat-local/station_context_sources/processed,buildings,.geojson,False,,missing,,0,0,,,,,,,,0,27,missing_local_source,False,missing,Expected candidate source pattern not present in configured local source roots.
nparks_*,,C:/OpenHeat-local/station_context_sources/raw/osm;C:/OpenHeat-local/station_context_sources/raw/data_gov_sg;C:/OpenHeat-local/station_context_sources/processed,green,.geojson,False,,missing,,0,0,,,,,,,,0,27,missing_local_source,False,missing,Expected candidate source pattern not present in configured local source roots.
osm_station_context_green,,C:/OpenHeat-local/station_context_sources/raw/osm;C:/OpenHeat-local/station_context_sources/raw/data_gov_sg;C:/OpenHeat-local/station_context_sources/processed,green,.geojson,False,,missing,,0,0,,,,,,,,0,27,missing_local_source,False,missing,Expected candidate source pattern not present in configured local source roots.
mp2019_land_use,,C:/OpenHeat-local/station_context_sources/raw/osm;C:/OpenHeat-local/station_context_sources/raw/data_gov_sg;C:/OpenHeat-local/station_context_sources/processed,landuse,.geojson,False,,missing,,0,0,,,,,,,,0,27,missing_local_source,False,missing,Expected candidate source pattern not present in configured local source roots.
osm_station_context_landuse,,C:/OpenHeat-local/station_context_sources/raw/osm;C:/OpenHeat-local/station_context_sources/raw/data_gov_sg;C:/OpenHeat-local/station_context_sources/processed,landuse,.geojson,False,,missing,,0,0,,,,,,,,0,27,missing_local_source,False,missing,Expected candidate source pattern not present in configured local source roots.
lta_*,,C:/OpenHeat-local/station_context_sources/raw/osm;C:/OpenHeat-local/station_context_sources/raw/data_gov_sg;C:/OpenHeat-local/station_context_sources/processed,roads,.geojson,False,,missing,,0,0,,,,,,,,0,27,missing_local_source,False,missing,Expected candidate source pattern not present in configured local source roots.
osm_station_context_roads,,C:/OpenHeat-local/station_context_sources/raw/osm;C:/OpenHeat-local/station_context_sources/raw/data_gov_sg;C:/OpenHeat-local/station_context_sources/processed,roads,.geojson,False,,missing,,0,0,,,,,,,,0,27,missing_local_source,False,missing,Expected candidate source pattern not present in configured local source roots.
national_map_polygon,,C:/OpenHeat-local/station_context_sources/raw/osm;C:/OpenHeat-local/station_context_sources/raw/data_gov_sg;C:/OpenHeat-local/station_context_sources/processed,water,.geojson,False,,missing,,0,0,,,,,,,,0,27,missing_local_source,False,missing,Expected candidate source pattern not present in configured local source roots.
osm_station_context_water,,C:/OpenHeat-local/station_context_sources/raw/osm;C:/OpenHeat-local/station_context_sources/raw/data_gov_sg;C:/OpenHeat-local/station_context_sources/processed,water,.geojson,False,,missing,,0,0,,,,,,,,0,27,missing_local_source,False,missing,Expected candidate source pattern not present in configured local source roots.
