collinearity_cluster,cluster_type,cluster_size,feature_column,feature_group,base_feature,buffer_m,representative_feature,is_representative,max_abs_spearman_in_cluster,cluster_members,representative_reason
C001,singleton,1,building_footprint_fraction_250m,buildings,building_footprint_fraction,250,building_footprint_fraction_250m,yes,0.000000,building_footprint_fraction_250m,configured preference then 250m/500m stable-scale fallback
C002,high_collinearity,2,green_space_fraction_250m,green,green_space_fraction,250,green_space_fraction_250m,yes,0.831602,green_space_fraction_250m;green_space_fraction_500m,configured preference then 250m/500m stable-scale fallback
C002,high_collinearity,2,green_space_fraction_500m,green,green_space_fraction,500,green_space_fraction_250m,no,0.831602,green_space_fraction_250m;green_space_fraction_500m,configured preference then 250m/500m stable-scale fallback
C003,singleton,1,water_fraction_250m,water,water_fraction,250,water_fraction_250m,yes,0.000000,water_fraction_250m,configured preference then 250m/500m stable-scale fallback
C004,high_collinearity,4,distance_to_water_m_100m,water,distance_to_water_m,100,distance_to_water_m_250m,no,1.000000,distance_to_water_m_100m;distance_to_water_m_250m;distance_to_water_m_500m;distance_to_water_m_50m,configured preference then 250m/500m stable-scale fallback
C004,high_collinearity,4,distance_to_water_m_250m,water,distance_to_water_m,250,distance_to_water_m_250m,yes,1.000000,distance_to_water_m_100m;distance_to_water_m_250m;distance_to_water_m_500m;distance_to_water_m_50m,configured preference then 250m/500m stable-scale fallback
C004,high_collinearity,4,distance_to_water_m_500m,water,distance_to_water_m,500,distance_to_water_m_250m,no,1.000000,distance_to_water_m_100m;distance_to_water_m_250m;distance_to_water_m_500m;distance_to_water_m_50m,configured preference then 250m/500m stable-scale fallback
C004,high_collinearity,4,distance_to_water_m_50m,water,distance_to_water_m,50,distance_to_water_m_250m,no,1.000000,distance_to_water_m_100m;distance_to_water_m_250m;distance_to_water_m_500m;distance_to_water_m_50m,configured preference then 250m/500m stable-scale fallback
C005,high_collinearity,2,road_density_m_per_ha_250m,roads,road_density_m_per_ha,250,road_density_m_per_ha_250m,yes,1.000000,road_density_m_per_ha_250m;road_length_m_250m,configured preference then 250m/500m stable-scale fallback
C005,high_collinearity,2,road_length_m_250m,roads,road_length_m,250,road_density_m_per_ha_250m,no,1.000000,road_density_m_per_ha_250m;road_length_m_250m,configured preference then 250m/500m stable-scale fallback
