review_item,feature_column,station_id,review_reason,suggested_action,source_table
distribution_outlier,building_count_50m,S140:20.000(z=12.82);S187:8.000(z=4.72),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,building_count_100m,S140:64.000(z=20.23);S187:27.000(z=7.76);S135:18.000(z=4.72),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,building_count_250m,S144:319.000(z=12.14);S140:315.000(z=11.97);S187:173.000(z=5.99),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,building_count_500m,S144:996.000(z=8.71);S140:589.000(z=4.67);S187:517.000(z=3.96),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,building_footprint_fraction_50m,S187:0.300(z=7.31);S140:0.198(z=4.60);S151:0.170(z=3.86);S141:0.165(z=3.71),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,distance_to_park_or_green_m_50m,S187:468.578(z=5.55),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,distance_to_park_or_green_m_100m,S187:468.578(z=5.55),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,distance_to_park_or_green_m_250m,S187:468.578(z=5.55),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,distance_to_park_or_green_m_500m,S187:468.578(z=5.55),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,green_space_fraction_100m,S145:0.987(z=6.25);S151:0.975(z=6.16);S141:0.940(z=5.92);S143:0.733(z=4.47);S135:0.633(z=3.77),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,green_space_fraction_250m,S151:0.990(z=4.63),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,green_space_fraction_500m,S151:0.704(z=4.38);S135:0.662(z=4.06);S145:0.611(z=3.67),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,landuse_entropy_50m,S128:2.120(z=5.47);S125:1.835(z=4.64);S150:1.522(z=3.73);S141:1.502(z=3.68),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,distance_to_major_road_m_50m,S151:2273.982(z=48.83);S187:1400.517(z=29.50);S142:456.259(z=8.60);S124:388.030(z=7.09);S135:249.300(z=4.02),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,distance_to_major_road_m_100m,S151:2273.982(z=48.83);S187:1400.517(z=29.50);S142:456.259(z=8.60);S124:388.030(z=7.09);S135:249.300(z=4.02),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,distance_to_major_road_m_250m,S151:2273.982(z=48.83);S187:1400.517(z=29.50);S142:456.259(z=8.60);S124:388.030(z=7.09);S135:249.300(z=4.02),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,distance_to_major_road_m_500m,S151:2273.982(z=48.83);S187:1400.517(z=29.50);S142:456.259(z=8.60);S124:388.030(z=7.09);S135:249.300(z=4.02),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,major_road_length_m_50m,S184:341.785(z=5.63),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,major_road_length_m_500m,S127:12979.369(z=3.55),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,road_density_m_per_ha_250m,S151:82.202(z=-3.78),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,road_length_m_250m,S151:1614.036(z=-3.78),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,water_fraction_250m,S145:0.312(z=61.65);S147:0.087(z=17.25);S143:0.068(z=13.35);S128:0.057(z=11.19);S141:0.018(z=3.61),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
distribution_outlier,water_fraction_500m,S145:0.253(z=30.21);S147:0.214(z=25.40);S144:0.098(z=11.28);S143:0.052(z=5.65);S128:0.037(z=3.89),robust-z outlier station values,inspect source extraction assumptions before using as primary evidence,station_feature_distribution_summary.csv
high_collinearity_cluster,green_space_fraction_250m,,C002 contains 2 correlated features,use only one representative in the primary set,station_feature_correlation_clusters.csv
high_collinearity_cluster,distance_to_water_m_250m,,C004 contains 4 correlated features,use only one representative in the primary set,station_feature_correlation_clusters.csv
high_collinearity_cluster,road_density_m_per_ha_250m,,C005 contains 2 correlated features,use only one representative in the primary set,station_feature_correlation_clusters.csv
high_collinearity_cluster,landuse_entropy_250m,,C007 contains 4 correlated features,use only one representative in the primary set,station_feature_correlation_clusters.csv
high_collinearity_cluster,distance_to_park_or_green_m_250m,,C008 contains 6 correlated features,use only one representative in the primary set,station_feature_correlation_clusters.csv
