section,check_name,status,expected,observed,detail
b5,target_freeze_report_pass,PASS,PASS,PASS,
b5,target_family_freeze_csv_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\outputs\v12_systemb_target_freeze\systemb_target_family_freeze.csv,exists,
b5,modifier_reference_rules_md_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\outputs\v12_systemb_target_freeze\systemb_modifier_reference_rules.md,exists,
b5,primary_target_frozen,PASS,tmrt_p90_c,['tmrt_p90_c'],
b5,primary_modifier_delta_frozen,PASS,delta_tmrt_p90_c,['delta_tmrt_p90_c'],
b5,normalized_modifier_frozen,PASS,m_rad_pct01,['m_rad_pct01'],
b6,sample_design_report_pass,PASS,PASS,PASS,
b6_1,simple_map_qa_report_pass,PASS,PASS,PASS,
b6_2,human_qa_freeze_report_pass,PASS,PASS,PASS,
b6_2,human_qa_freeze_csv_exists,PASS,exists,exists,
counts,n150_selected_rows,PASS,150,150,
counts,n150_selected_unique_cells,PASS,150,150,
counts,retained_n24_count,PASS,24,24,
counts,new_cells_count,PASS,126,126,
counts,n150_new_cells_file_rows,PASS,126,126,
counts,full_run_matrix_rows,PASS,1500,1500,
counts,new_run_matrix_rows,PASS,1260,1260,
matrix,new_run_matrix_excludes_retained_n24,PASS,no retained N24 cells,[],
matrix,new_run_matrix_includes_only_new_cells,PASS,126 selected_new cells,126,
matrix,new_run_matrix_excludes_replaced_out_cells,PASS,none,[],
matrix,full_run_matrix_excludes_replaced_out_cells,PASS,none,[],
matrix,full_run_matrix_includes_all_selected_cells,PASS,150,150,
matrix,full_run_matrix_includes_retained_n24,PASS,all retained N24 cells,24,
matrix,full_run_matrix_includes_new126,PASS,all 126 new cells,126,
matrix,full_run_matrix_all_cell_scenario_hour_pairs,PASS,1500,1500,
matrix,new_run_matrix_all_new_cell_scenario_hour_pairs,PASS,1260,1260,
matrix,new_base_manifest_rows,PASS,630,630,
matrix,new_overhead_manifest_rows,PASS,630,630,
n24_reuse,n24_focus_summary_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\outputs\v12_solweig_n24_execution\n24_focus_tmrt_summary.csv,exists,
n24_reuse,n24_delta_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\outputs\v12_solweig_n24_execution\n24_base_vs_overhead_delta.csv,exists,
n24_reuse,n24_existing_summary_rows,PASS,240,240,
