run_id,cell_id,scenario,hour,tmrt_output_path,n_pixels,valid_pixel_count,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,hour_sgt,source_run_id,selection_status,reuse_existing_n24_label,source,target_version,reference_domain_version
v12_n150_base_TP_0005_h10,TP_0005,base,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,37.305023193359375,33.33879852294922,43.86498260498047,45.378231048583984,45.69548797607422,46.22352600097656,37.92,14.32,0.0,0.0,10,v12_n150_base_TP_0005_h10,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0005_h12,TP_0005,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,47.822635650634766,39.162742614746094,61.08539581298828,61.562965393066406,61.74673461914063,62.07234191894531,48.6,46.760000000000005,46.760000000000005,46.68,12,v12_n150_base_TP_0005_h12,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0005_h13,TP_0005,base,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,47.53071212768555,39.05916595458984,60.57359313964844,61.44207382202149,61.74003219604492,62.24656677246094,48.2,46.48,46.48,45.64,13,v12_n150_base_TP_0005_h13,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0005_h15,TP_0005,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,45.13542938232422,37.296573638916016,57.5936279296875,59.52803802490234,59.907657623291016,60.49763488769531,43.04,41.0,41.0,36.88,15,v12_n150_base_TP_0005_h15,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0005_h16,TP_0005,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,39.88134765625,35.05388641357422,47.76235580444336,50.49081039428711,50.89179611206055,51.491825103759766,35.64,34.599999999999994,14.72,0.0,16,v12_n150_base_TP_0005_h16,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0005_h10,TP_0005,overhead_as_canopy,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,37.19248580932617,33.32368850708008,43.72516632080078,45.378231048583984,45.69548797607422,46.22352600097656,36.68,14.32,0.0,0.0,10,v12_n150_overhead_TP_0005_h10,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0005_h12,TP_0005,overhead_as_canopy,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,47.67801284790039,39.07588958740234,61.032020568847656,61.5621223449707,61.74673461914063,62.07234191894531,48.52,46.36,46.0,45.92,12,v12_n150_overhead_TP_0005_h12,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0005_h13,TP_0005,overhead_as_canopy,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,47.3816032409668,38.90858459472656,60.425968170166016,61.44207382202149,61.74003219604492,62.24656677246094,47.92,46.08,45.68,44.76,13,v12_n150_overhead_TP_0005_h13,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0005_h15,TP_0005,overhead_as_canopy,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,44.98033142089844,37.256614685058594,57.246768951416016,59.52803802490234,59.907657623291016,60.49763488769531,43.04,40.48,40.16,35.64,15,v12_n150_overhead_TP_0005_h15,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0005_h16,TP_0005,overhead_as_canopy,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,39.70865631103516,34.989952087402344,47.335845947265625,50.49081039428711,50.89179611206055,51.491825103759766,34.4,33.08,14.72,0.0,16,v12_n150_overhead_TP_0005_h16,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0006_h10,TP_0006,base,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,40.45783996582031,43.62635040283203,45.15644454956055,45.39290237426758,45.49520111083984,45.70246505737305,64.36,30.76,0.0,0.0,10,v12_n150_base_TP_0006_h10,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0006_h12,TP_0006,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,55.03829193115234,60.81630325317383,61.498531341552734,61.64630126953125,61.68882369995117,61.808223724365234,80.47999999999999,75.03999999999999,75.03999999999999,74.96000000000001,12,v12_n150_base_TP_0006_h12,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0006_h13,TP_0006,base,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,54.8311882019043,60.1543083190918,61.44993591308594,61.64959335327149,61.71140670776367,61.90304946899414,79.96,75.92,75.88000000000001,75.28,13,v12_n150_base_TP_0006_h13,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0006_h15,TP_0006,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,51.96051406860352,57.24510192871094,59.43777084350586,59.71195602416992,59.78770446777344,60.02943420410156,75.56,70.24000000000001,70.24000000000001,62.24,15,v12_n150_base_TP_0006_h15,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0006_h16,TP_0006,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,44.528228759765625,47.94969940185547,50.33716583251953,50.63304901123047,50.71694564819336,50.947059631347656,66.44,65.44,37.24,0.0,16,v12_n150_base_TP_0006_h16,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
