run_id,source_run_id,cell_id,scenario,hour_sgt,source,target_version,reference_domain_version,tmrt_p90_c,tmrt_ref_p90_c,delta_tmrt_p90_c,rank_average_delta_tmrt_p90_c,n_reference_cells,m_rad_pct01,primary_modifier_delta,normalized_modifier,reference_rule,rank_rule,hour,tmrt_output_path,n_pixels,valid_pixel_count,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,selection_status,reuse_existing_n24_label
v12_n150_base_TP_0005_h10,v12_n150_base_TP_0005_h10,TP_0005,base,10,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,45.378231048583984,45.56442070007324,-0.1861896514892578,66.0,150,0.436241610738255,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,37.305023193359375,33.33879852294922,43.86498260498047,45.69548797607422,46.22352600097656,37.92,14.32,0.0,0.0,selected_new,False
v12_n150_base_TP_0005_h12,v12_n150_base_TP_0005_h12,TP_0005,base,12,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,61.562965393066406,61.820411682128906,-0.2574462890625,57.0,150,0.3758389261744966,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,47.822635650634766,39.162742614746094,61.08539581298828,61.74673461914063,62.07234191894531,48.6,46.760000000000005,46.760000000000005,46.68,selected_new,False
v12_n150_base_TP_0005_h13,v12_n150_base_TP_0005_h13,TP_0005,base,13,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,61.44207382202149,61.75910568237305,-0.3170318603515554,59.0,150,0.3892617449664429,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,47.53071212768555,39.05916595458984,60.57359313964844,61.74003219604492,62.24656677246094,48.2,46.48,46.48,45.64,selected_new,False
v12_n150_base_TP_0005_h15,v12_n150_base_TP_0005_h15,TP_0005,base,15,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,59.52803802490234,59.77000427246094,-0.2419662475586008,64.0,150,0.4228187919463087,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,45.13542938232422,37.296573638916016,57.5936279296875,59.907657623291016,60.49763488769531,43.04,41.0,41.0,36.88,selected_new,False
v12_n150_base_TP_0005_h16,v12_n150_base_TP_0005_h16,TP_0005,base,16,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,50.49081039428711,50.70027732849121,-0.2094669342041015,64.0,150,0.4228187919463087,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,39.88134765625,35.05388641357422,47.76235580444336,50.89179611206055,51.491825103759766,35.64,34.599999999999994,14.72,0.0,selected_new,False
v12_n150_overhead_TP_0005_h10,v12_n150_overhead_TP_0005_h10,TP_0005,overhead_as_canopy,10,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,45.378231048583984,45.30916595458984,0.0690650939941406,77.0,150,0.5100671140939598,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,37.19248580932617,33.32368850708008,43.72516632080078,45.69548797607422,46.22352600097656,36.68,14.32,0.0,0.0,selected_new,False
v12_n150_overhead_TP_0005_h12,v12_n150_overhead_TP_0005_h12,TP_0005,overhead_as_canopy,12,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,61.5621223449707,61.65906524658203,-0.0969429016113281,67.0,150,0.4429530201342282,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,47.67801284790039,39.07588958740234,61.032020568847656,61.74673461914063,62.07234191894531,48.52,46.36,46.0,45.92,selected_new,False
v12_n150_overhead_TP_0005_h13,v12_n150_overhead_TP_0005_h13,TP_0005,overhead_as_canopy,13,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,61.44207382202149,61.50412178039551,-0.0620479583740163,73.0,150,0.4832214765100671,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,47.3816032409668,38.90858459472656,60.425968170166016,61.74003219604492,62.24656677246094,47.92,46.08,45.68,44.76,selected_new,False
v12_n150_overhead_TP_0005_h15,v12_n150_overhead_TP_0005_h15,TP_0005,overhead_as_canopy,15,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,59.52803802490234,59.58326530456543,-0.055227279663093,73.0,150,0.4832214765100671,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,44.98033142089844,37.256614685058594,57.246768951416016,59.907657623291016,60.49763488769531,43.04,40.48,40.16,35.64,selected_new,False
v12_n150_overhead_TP_0005_h16,v12_n150_overhead_TP_0005_h16,TP_0005,overhead_as_canopy,16,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,50.49081039428711,50.49507141113281,-0.0042610168457031,75.0,150,0.4966442953020134,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0005\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,39.70865631103516,34.989952087402344,47.335845947265625,50.89179611206055,51.491825103759766,34.4,33.08,14.72,0.0,selected_new,False
