hour_sgt,scenario,tmrt_ref_p90_c,n_reference_cells,target_version,reference_domain_version,reference_rule,primary_target,hour
10,base,45.56442070007324,150,systemb_target_family_v0_1_b5,n150_training_future,same_hour_same_scenario_reference_domain_median,tmrt_p90_c,10
12,base,61.820411682128906,150,systemb_target_family_v0_1_b5,n150_training_future,same_hour_same_scenario_reference_domain_median,tmrt_p90_c,12
13,base,61.75910568237305,150,systemb_target_family_v0_1_b5,n150_training_future,same_hour_same_scenario_reference_domain_median,tmrt_p90_c,13
15,base,59.77000427246094,150,systemb_target_family_v0_1_b5,n150_training_future,same_hour_same_scenario_reference_domain_median,tmrt_p90_c,15
16,base,50.70027732849121,150,systemb_target_family_v0_1_b5,n150_training_future,same_hour_same_scenario_reference_domain_median,tmrt_p90_c,16
10,overhead_as_canopy,45.30916595458984,150,systemb_target_family_v0_1_b5,n150_training_future,same_hour_same_scenario_reference_domain_median,tmrt_p90_c,10
12,overhead_as_canopy,61.65906524658203,150,systemb_target_family_v0_1_b5,n150_training_future,same_hour_same_scenario_reference_domain_median,tmrt_p90_c,12
13,overhead_as_canopy,61.50412178039551,150,systemb_target_family_v0_1_b5,n150_training_future,same_hour_same_scenario_reference_domain_median,tmrt_p90_c,13
15,overhead_as_canopy,59.58326530456543,150,systemb_target_family_v0_1_b5,n150_training_future,same_hour_same_scenario_reference_domain_median,tmrt_p90_c,15
16,overhead_as_canopy,50.49507141113281,150,systemb_target_family_v0_1_b5,n150_training_future,same_hour_same_scenario_reference_domain_median,tmrt_p90_c,16
