run_id,cell_id,scenario,hour,tmrt_output_path,n_pixels,valid_pixel_count,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55
v12_n24_base_TP_0037_h10,TP_0037,base,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0037\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,39.52685546875,42.65448760986328,44.465980529785156,46.506309509277344,46.53591537475586,46.57469177246094,54.800000000000004,22.0,0.0,0.0
v12_n24_base_TP_0037_h12,TP_0037,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0037\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,53.81845474243164,60.58280944824219,61.796531677246094,62.27238082885742,62.30147933959961,62.31979751586914,73.8,68.0,67.84,67.84
v12_n24_base_TP_0037_h13,TP_0037,base,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0037\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,54.51276397705078,59.69611358642578,60.81851577758789,62.51641082763672,62.54996109008789,62.57920837402344,78.8,73.2,73.11999999999999,72.84
v12_n24_base_TP_0037_h15,TP_0037,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0037\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,47.56985092163086,40.82197189331055,57.98145294189453,60.72555160522461,60.75756072998047,60.80853271484375,51.92,46.0,46.0,41.28
v12_n24_base_TP_0037_h16,TP_0037,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0037\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,41.15784454345703,36.70075225830078,48.72393035888672,51.73152160644531,51.76597213745117,51.81732177734375,38.48,37.8,22.919999999999998,0.0
v12_n24_overhead_as_canopy_TP_0037_h10,TP_0037,overhead_as_canopy,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0037\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,36.680328369140625,33.450233459472656,43.04587936401367,44.148170471191406,44.36546325683594,45.45430374145508,33.4,0.32,0.0,0.0
v12_n24_overhead_as_canopy_TP_0037_h12,TP_0037,overhead_as_canopy,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0037\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,48.12201690673828,40.37653350830078,60.997520446777344,61.5823974609375,61.7863883972168,62.188446044921875,51.480000000000004,45.56,45.4,45.4
v12_n24_overhead_as_canopy_TP_0037_h13,TP_0037,overhead_as_canopy,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0037\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,48.9164924621582,55.79290008544922,60.13227844238281,60.607398986816406,60.7894401550293,61.602298736572266,56.92,51.160000000000004,51.04,50.8
v12_n24_overhead_as_canopy_TP_0037_h15,TP_0037,overhead_as_canopy,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0037\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,42.47830581665039,38.71324157714844,51.92868423461914,56.638301849365234,57.8499641418457,59.78483581542969,31.6,25.319999999999997,25.319999999999997,20.599999999999998
v12_n24_overhead_as_canopy_TP_0037_h16,TP_0037,overhead_as_canopy,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0037\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,37.77617645263672,35.685211181640625,37.07508850097656,47.296287536621094,48.68126678466797,50.71839904785156,19.16,18.48,1.96,0.0
v12_n24_base_TP_0059_h10,TP_0059,base,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0059\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,45.32170486450195,46.09529113769531,46.1701545715332,46.24119186401367,46.29170227050781,46.46051788330078,92.28,90.64,0.0,0.0
v12_n24_base_TP_0059_h12,TP_0059,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0059\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,62.01827621459961,62.031517028808594,62.06294631958008,62.11625671386719,62.14785385131836,62.24058151245117,100.0,100.0,100.0,100.0
