feature_set,model,strata_column,strata_value,n,MAE,RMSE,bias,p90_absolute_error,claim_boundary
b87f2_pruned_best_effort,extra_trees,sample_group,existing_n150,1500,0.13699406786666668,0.2907312405100148,0.0057491449333333285,0.38817630333333364,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,sample_group,new150_b87c,1500,0.13849317251111112,0.23452563449590982,-0.01762276055555555,0.3779463600000006,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,forcing_day_id,FD01_high_shortwave_hot_20260507,1500,0.1387628058,0.2656548832874695,-0.005618006599999996,0.3752986800000002,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,forcing_day_id,FD02_humid_hot_cloudy_or_diffuse_20260508,1500,0.13672443457777778,0.26259171812858484,-0.006255609022222214,0.38703459666666695,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,hour_sgt,10,600,0.08536604244444446,0.16604488128063727,-0.004124379555555557,0.23030774666666678,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,hour_sgt,12,600,0.12817673094444446,0.24356198313263627,-0.005251966611111116,0.3502615866666665,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,hour_sgt,13,600,0.14972095866666668,0.28280902997861845,-0.006033322777777777,0.4090236100000001,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,hour_sgt,15,600,0.15958137044444445,0.2946389758202008,-0.0067894048888888885,0.42729641333333335,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,hour_sgt,16,600,0.16587299844444445,0.3084329795493268,-0.007484965222222201,0.45168204333333356,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,spatial_bin,east_north,420,0.22755096865079363,0.34012465452543705,-0.024321233730158688,0.6153316033333334,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,spatial_bin,east_south,360,0.11757397527777778,0.17746833862252798,-0.014536033981481487,0.3057090100000002,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,spatial_bin,west_north,420,0.0897435257936508,0.1371135901409248,-0.022128546587301588,0.25439265333333355,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,spatial_bin,west_south,300,0.10716479999999999,0.22122040732736023,-0.005640869555555555,0.24816228999999998,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,spatial_bin,,1500,0.13699406786666668,0.2907312405100148,0.0057491449333333285,0.38817630333333364,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology,civic_institutional,200,0.062035931,0.09696721818963269,-0.028328725666666665,0.15215556666666658,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology,commercial,140,0.04339301976190476,0.06831942174633979,-0.01750661261904762,0.13493496666666674,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology,other,30,0.15157796999999995,0.22971405096240555,-0.15157796999999995,0.4444881599999998,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology,park_open_space,10,0.07359904333333335,0.07954782260418294,-0.06132911666666668,0.09873865666666666,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology,residential,580,0.10273422879310345,0.20353872573608053,0.01305783833333333,0.27479218333333344,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology,transport,540,0.23034882882716048,0.3170899017115515,-0.03838960351851849,0.4770597833333333,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology,,1500,0.13699406786666668,0.2907312405100148,0.0057491449333333285,0.38817630333333364,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology_label,civic_institutional,470,0.07516845574468084,0.13047020671319443,-0.04771286794326242,0.1845740966666667,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology_label,clean_confident_hot_anchor_null_control,10,2.6899999999999997e-05,7.695388373709427e-05,-2.6899999999999997e-05,3.656333333333325e-05,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology_label,commercial,220,0.09186211500000001,0.1717838143474276,0.014954044393939395,0.2012805299999999,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology_label,confident_hot_anchor,10,0.04888067333333334,0.051195337514721224,-0.04888067333333334,0.06098026333333334,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology_label,dense_shaded_low_svf,10,0.031572206666666665,0.033570475864786634,-0.031572206666666665,0.042890616666666666,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology_label,exposed_bus_stop_waiting_node,10,0.009053349999999998,0.009826429176896129,0.009053349999999998,0.014804516666666665,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology_label,grass_or_park_open,10,0.08190097333333334,0.08490294957605159,-0.07246994000000001,0.10610413000000005,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology_label,hdb_canyon,10,1.9978174599999998,2.1152898449688085,1.9978174599999998,2.6744628466666667,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology_label,open_paved_high_svf,10,0.29083044999999996,0.30817528432180197,-0.29083044999999996,0.3743350966666667,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87f2_pruned_best_effort,extra_trees,typology_label,other,70,0.14506239571428572,0.2036115105339413,-0.013862594761904755,0.3801062266666667,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
