feature_set,model,strata_column,strata_value,n,MAE,RMSE,bias,p90_absolute_error,water_river_caveat,vegetation_overhead_proxy_caveat,claim_boundary
b87e_original_main,context_mean,sample_group,existing_n150,1500,0.2540757121722222,0.37042203874175167,-0.06977044145555555,0.331729075,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,sample_group,new150_b87c,1500,0.37729748362777776,0.6823295387305911,0.06977044145555554,0.767545338333335,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,forcing_day_id,FD01_high_shortwave_hot_20260507,1500,0.31585727757777776,0.541358195234147,-8.289665250534503e-18,0.5129977741666675,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,forcing_day_id,FD02_humid_hot_cloudy_or_diffuse_20260508,1500,0.3155159182222222,0.5565225877381116,-2.3684757858670005e-18,0.494454077916667,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,hour_sgt,10,600,0.2035069812361111,0.3654842316818602,2.960594732333751e-18,0.33022056791666693,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,hour_sgt,12,600,0.2864164035416667,0.4998002583325665,-3.7007434154171884e-18,0.45018899,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,hour_sgt,13,600,0.3381592459722222,0.5784079344601432,-4.440892098500626e-18,0.5305273500000001,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,hour_sgt,15,600,0.36922944884722225,0.6200938741934091,-7.401486830834377e-18,0.6234995312500005,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,hour_sgt,16,600,0.3811209099027778,0.6360141839839121,-1.4802973661668754e-17,0.6632356883333339,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology,civic_institutional,200,0.23340422508333333,0.24962170348471097,-0.19725673024999998,0.32933460833333333,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology,commercial,140,0.22718367934523812,0.24212061496559112,-0.22596454565476193,0.30318211375,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology,other,30,0.20770845305555555,0.22376239510193874,-0.20770845305555555,0.30469119541666667,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology,park_open_space,10,0.031706699583333324,0.042855768249872736,-0.00030052291666665123,0.060422223749999934,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology,residential,580,0.22364033864942526,0.29296386868482976,-0.11955280324712643,0.3089331916666667,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology,transport,540,0.6503702746527777,1.0770247687591656,0.46540172097993826,1.7072978216666677,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology,nan,1500,0.2540757121722222,0.37042203874175167,-0.06977044145555555,0.331729075,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology_label,civic_institutional,470,0.21195348250886525,0.23227314448276715,-0.19036848706560283,0.3089331916666667,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology_label,clean_confident_hot_anchor_null_control,10,0.24853790750000004,0.2581888390178261,-0.24853790750000004,0.30615241083333333,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology_label,commercial,220,0.24450120378787882,0.26194716635479603,-0.17661087651515153,0.3082259583333334,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology_label,confident_hot_anchor,10,0.23338180749999998,0.2432755716465991,-0.23338180749999998,0.29585946416666675,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology_label,dense_shaded_low_svf,10,0.26967807708333336,0.28047240426872666,-0.26967807708333336,0.3321089870833333,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology_label,exposed_bus_stop_waiting_node,10,0.2271446441666667,0.2364005415702731,-0.2271446441666667,0.27935852999999994,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology_label,grass_or_park_open,10,0.0605600275,0.06452603600431046,-0.05934870750000001,0.08363146416666671,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology_label,hdb_canyon,10,2.299503671666667,2.420637755960018,2.299503671666667,3.02399936875,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology_label,open_paved_high_svf,10,0.04945399458333333,0.05327188704434982,-0.037674622916666664,0.08043651916666669,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,context_mean,typology_label,other,70,0.19371490464285715,0.212249129937097,-0.05659627071428573,0.30318647875,no,no,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
