asset_type,logical_name,expected_path,exists,required_for_execution,commit_safe,notes
control_file,active_dev_board,docs/handoff/OpenHeat_ACTIVE_DEV_BOARD_2026-05-26.md,yes,yes,yes,Required compact control input for B8.5-F1.
control_file,f0_status,outputs/v12_surrogate/b8_5_multiforcing_preflight/B8_5_F0_STATUS.md,yes,yes,yes,Required compact control input for B8.5-F1.
control_file,f0_run_matrix,outputs/v12_surrogate/b8_5_multiforcing_preflight/b85_f0_solweig_run_matrix.csv,yes,yes,yes,Required compact control input for B8.5-F1.
control_file,selected_forcing_days,outputs/v12_surrogate/b8_5_multiforcing_preflight/selected_forcing_days.csv,yes,yes,yes,Required compact control input for B8.5-F1.
control_file,n24_cell_set,outputs/v12_surrogate/b8_5_multiforcing_preflight/n24_cell_set_for_multiforcing.csv,yes,yes,yes,Required compact control input for B8.5-F1.
control_file,f0_qgis_execution_readme,outputs/v12_surrogate/b8_5_multiforcing_preflight/b85_f0_qgis_execution_readme.md,yes,yes,yes,Required compact control input for B8.5-F1.
control_file,f0_stability_metrics_protocol,outputs/v12_surrogate/b8_5_multiforcing_preflight/b85_f0_stability_metrics_protocol.md,yes,yes,yes,Required compact control input for B8.5-F1.
cell_geometry_or_vector,grid_feature_path,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,yes,yes,yes,Geometry/vector reference; not copied.
cell_geometry_or_vector,v12_grid_typology_revised,data/grid/v12/solweig_typology_pilot_cells_revised_v2.csv,yes,no,yes,Geometry/vector reference; not copied.
cell_geometry_or_vector,v12_grid_typology_candidates,data/grid/v12/solweig_typology_cell_candidates.csv,yes,no,yes,Geometry/vector reference; not copied.
cell_geometry_or_vector,overhead_vector_path,data/features_3d/v10/overhead/overhead_structures_v10.geojson,yes,yes,yes,Geometry/vector reference; not copied.
global_raster_reference,building_dsm_path,data/rasters/v10/dsm_buildings_2m_augmented_reviewed_heightqa.tif,no,yes,no,Raster reference only; do not copy or commit.
global_raster_reference,vegetation_dsm_path,data/rasters/v08/dsm_vegetation_2m_toapayoh.tif,yes,yes,no,Raster reference only; do not copy or commit.
reference_script_or_manifest,b3_qgis_runner,scripts/qgis/v12_b3_n24_run_solweig_from_manifest.py,yes,no,yes,Reference for parameter contract or prior execution behavior.
reference_script_or_manifest,b7_qgis_runner,scripts/qgis/v12_b7_n150_run_solweig_new_from_manifest.py,yes,no,yes,Reference for parameter contract or prior execution behavior.
reference_script_or_manifest,aggregate_tmrt_reference,scripts/v12_solweig_aggregate_tmrt.py,yes,no,yes,Reference for parameter contract or prior execution behavior.
reference_script_or_manifest,n24_effective_parameters,outputs/v12_solweig_n24_execution/n24_effective_solweig_parameters.json,yes,no,yes,Reference for parameter contract or prior execution behavior.
reference_script_or_manifest,n150_effective_parameters,outputs/v12_solweig_n150_execution/n150_effective_solweig_parameters.json,yes,no,yes,Reference for parameter contract or prior execution behavior.
reference_script_or_manifest,n24_qgis_algorithm_resolution,outputs/v12_solweig_n24_execution/qgis_algorithm_resolution.md,yes,no,yes,Reference for parameter contract or prior execution behavior.
reference_script_or_manifest,n24_qgis_preprocess_algorithm_resolution,outputs/v12_solweig_n24_execution/qgis_preprocess_algorithm_resolution.md,yes,no,yes,Reference for parameter contract or prior execution behavior.
reference_script_or_manifest,n150_qgis_algorithm_resolution,outputs/v12_solweig_n150_execution/qgis_algorithm_resolution.md,yes,no,yes,Reference for parameter contract or prior execution behavior.
reference_script_or_manifest,n150_qgis_preprocess_algorithm_resolution,outputs/v12_solweig_n150_execution/qgis_preprocess_algorithm_resolution.md,yes,no,yes,Reference for parameter contract or prior execution behavior.
qgis_algorithm_manual_check,solweig_algorithm_id_hint,umep:Outdoor Thermal Comfort: SOLWEIG,no,yes,yes,Must be verified inside QGIS/UMEP before execution; not checked by this package.
local_output_root,manual_local_raw_output_root,C:/OpenHeat-local/solweig/b85_f1_tiles,no,yes,no,Manual QGIS output root should remain outside the Git worktree by default.
cell_geometry,TP_0037_focus_cell,data/solweig/v12_n24_tiles/TP_0037/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0037_dsm_buildings,data/solweig/v12_n24_tiles/TP_0037/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
